#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 44 330  1.5  2.6    MM    MM    MM  MM     MM   7.3    MM   0.4   MM   MM    MM
2023 09 28 21 34 330  1.5  3.1    MM    MM    MM  MM     MM   7.2    MM   0.1   MM   MM    MM
2023 09 28 21 24 360  1.5  3.1    MM    MM    MM  MM     MM   7.4    MM   0.0   MM   MM    MM
2023 09 28 21 14 360  1.5  2.6    MM    MM    MM  MM     MM   7.4    MM   0.1   MM   MM    MM
2023 09 28 21 04 360  1.5  3.1    MM    MM    MM  MM     MM   7.2    MM   0.1   MM   MM    MM
2023 09 28 20 54 360  1.5  3.1    MM    MM    MM  MM     MM   7.1    MM   0.1   MM   MM    MM
2023 09 28 20 44 350  1.5  2.6    MM    MM    MM  MM     MM   7.0    MM   0.0   MM   MM    MM
2023 09 28 20 34 360  1.5  3.1    MM    MM    MM  MM     MM   6.9    MM  -0.3   MM   MM    MM
2023 09 28 20 24 360  1.5  3.1    MM    MM    MM  MM     MM   6.9    MM   0.1   MM   MM    MM
2023 09 28 20 14  10  1.5  2.6    MM    MM    MM  MM     MM   6.9    MM   0.0   MM   MM    MM
2023 09 28 20 04  30  1.0  2.6    MM    MM    MM  MM     MM   6.8    MM   0.1   MM   MM    MM
2023 09 28 19 54  20  1.5  3.6    MM    MM    MM  MM     MM   6.6    MM  -0.2   MM   MM    MM
2023 09 28 19 44  30  2.1  3.1    MM    MM    MM  MM     MM   6.4    MM  -0.1   MM   MM    MM
2023 09 28 19 34  10  2.1  4.6    MM    MM    MM  MM     MM   6.3    MM  -0.4   MM   MM    MM
2023 09 28 19 24 360  2.1  3.6    MM    MM    MM  MM     MM   6.3    MM  -0.4   MM   MM    MM
2023 09 28 19 13 360  2.6  5.1    MM    MM    MM  MM     MM   6.4    MM  -0.7   MM   MM    MM
2023 09 28 19 04  10  2.1  4.1    MM    MM    MM  MM     MM   6.7    MM  -0.2   MM   MM    MM
2023 09 28 18 54  30  1.0  2.1    MM    MM    MM  MM     MM   7.1    MM  -0.4   MM   MM    MM
2023 09 28 18 44  40  1.0  2.6    MM    MM    MM  MM     MM   7.0    MM  -0.5   MM   MM    MM
2023 09 28 18 34  40  1.0  1.5    MM    MM    MM  MM     MM   7.0    MM  -0.6   MM   MM    MM
2023 09 28 18 24 100  0.5  1.0    MM    MM    MM  MM     MM   6.7    MM  -0.2   MM   MM    MM
2023 09 28 18 14 110  0.5  1.0    MM    MM    MM  MM     MM   6.2    MM  -0.5   MM   MM    MM
2023 09 28 18 02 170  1.0  1.5    MM    MM    MM  MM     MM   5.4    MM  -1.0   MM   MM    MM
2023 09 28 17 54 180  1.5  2.1    MM    MM    MM  MM     MM   5.3    MM  -1.3   MM   MM    MM
2023 09 28 17 44 150  0.5  3.1    MM    MM    MM  MM     MM   5.2    MM  -1.3   MM   MM    MM
2023 09 28 17 34 180  0.5  1.0    MM    MM    MM  MM     MM   4.7    MM  -1.4   MM   MM    MM
2023 09 28 17 24 180  1.0  1.5    MM    MM    MM  MM     MM   4.3    MM  -1.5   MM   MM    MM
2023 09 28 17 14 180  1.5  3.1    MM    MM    MM  MM     MM   4.0    MM  -1.5   MM   MM    MM
