#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 36 280  7.7 11.3    MM    MM    MM  MM     MM   9.3    MM   9.1   MM   MM    MM
2023 09 28 21 26 270  7.7 10.3    MM    MM    MM  MM     MM   9.3    MM   9.1   MM   MM    MM
2023 09 28 21 16 270  8.2 11.3    MM    MM    MM  MM     MM   9.3    MM   9.1   MM   MM    MM
2023 09 28 21 06 270  8.2 11.3    MM    MM    MM  MM     MM   9.2    MM   9.0   MM   MM    MM
2023 09 28 20 56 280  8.8 12.4    MM    MM    MM  MM     MM   9.1    MM   8.9   MM   MM    MM
2023 09 28 20 46 270  8.8 11.8    MM    MM    MM  MM     MM   9.0    MM   8.8   MM   MM    MM
2023 09 28 20 36 270  8.8 13.4    MM    MM    MM  MM     MM   8.9    MM   8.8   MM   MM    MM
2023 09 28 20 26 280  9.8 11.8    MM    MM    MM  MM     MM   8.8    MM   8.7   MM   MM    MM
2023 09 28 20 16 280  9.3 12.4    MM    MM    MM  MM     MM   8.7    MM   8.7   MM   MM    MM
2023 09 28 20 06 280  8.8 11.3    MM    MM    MM  MM     MM   8.6    MM   8.6   MM   MM    MM
2023 09 28 19 56 280  8.8 12.4    MM    MM    MM  MM     MM   8.6    MM   8.6   MM   MM    MM
2023 09 28 19 46 280  8.8 12.9    MM    MM    MM  MM     MM   8.6    MM   8.6   MM   MM    MM
2023 09 28 19 36 280  8.8 11.8    MM    MM    MM  MM     MM   8.6    MM   8.6   MM   MM    MM
2023 09 28 19 26 270  8.8 12.9    MM    MM    MM  MM     MM   8.5    MM   8.5   MM   MM    MM
2023 09 28 19 15 270  8.8 13.4    MM    MM    MM  MM     MM   8.6    MM   8.6   MM   MM    MM
2023 09 28 19 06 270 10.3 13.4    MM    MM    MM  MM     MM   8.5    MM   8.5   MM   MM    MM
2023 09 28 18 56 270 10.8 14.9    MM    MM    MM  MM     MM   8.5    MM   8.5   MM   MM    MM
2023 09 28 18 46 260 11.3 16.0    MM    MM    MM  MM     MM   8.5    MM   8.5   MM   MM    MM
2023 09 28 18 36 260 10.3 16.0    MM    MM    MM  MM     MM   8.4    MM   8.4   MM   MM    MM
2023 09 28 18 26 260 10.3 15.4    MM    MM    MM  MM     MM   8.4    MM   8.4   MM   MM    MM
2023 09 28 18 16 250  9.3 13.9    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 18 04 250  9.3 14.9    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 17 55 250 10.3 15.4    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 17 46 240 10.3 14.9    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 17 36 240 10.3 14.4    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 17 26 240  9.3 14.9    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 17 16 230  8.8 12.9    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 17 06 230  8.8 12.9    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 16 56 230  8.2 12.9    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 16 46 230  7.7 12.9    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 16 36 230  8.2 13.4    MM    MM    MM  MM     MM   8.0    MM   8.0   MM   MM    MM
2023 09 28 16 26 230  9.3 14.4    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 16 16 220 10.3 13.9    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 16 06 220 10.8 15.4    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 15 55 210  9.8 14.4    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 15 45 210  9.8 13.4    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 15 35 210  9.8 13.4    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 15 26 220 10.3 13.9    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 15 16 210  9.8 12.9    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 15 06 210  8.8 12.4    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 14 56 210  8.2 11.8    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 14 46 210  8.2 11.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 14 36 210  8.8 11.3    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 14 26 220  8.8 11.8    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 14 15 210  8.2 11.3    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 14 05 220  8.2 12.4    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 13 56 220  8.2 10.8    MM    MM    MM  MM     MM   7.8    MM   7.8   MM   MM    MM
2023 09 28 13 46 220  7.7 11.3    MM    MM    MM  MM     MM   7.5    MM   7.5   MM   MM    MM
2023 09 28 13 36 220  8.8 11.8    MM    MM    MM  MM     MM   7.4    MM   7.4   MM   MM    MM
2023 09 28 13 25 220  8.8 12.9    MM    MM    MM  MM     MM   7.8    MM   7.8   MM   MM    MM
2023 09 28 13 16 220  9.3 11.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 13 06 210  8.8 13.4    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 12 55 200  8.8 11.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 12 45 210  8.2 11.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 12 36 210  8.2 11.3    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 12 26 210  7.7 11.3    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 12 15 210  8.2 11.8    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 12 05 210  8.2 11.3    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 11 56 210  8.2 11.3    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 11 45 210  8.8 12.4    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 11 35 210  8.2 11.3    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 11 25 210  8.2 10.3    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 11 15 210  8.2 11.3    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 11 06 210  8.2 10.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 10 55 220  7.7 12.4    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 10 44 210  8.2 12.4    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 10 35 210  8.8 11.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 10 26 200  8.2 11.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 10 15 210  7.7 11.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 10 05 200  8.8 12.4    MM    MM    MM  MM     MM   8.4    MM   8.4   MM   MM    MM
2023 09 28 09 56 200  8.8 10.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 09 46 200  8.8 11.3    MM    MM    MM  MM     MM   8.5    MM   8.5   MM   MM    MM
2023 09 28 09 36 200  9.8 11.3    MM    MM    MM  MM     MM   8.5    MM   8.5   MM   MM    MM
2023 09 28 09 26 200  9.8 12.4    MM    MM    MM  MM     MM   8.4    MM   8.4   MM   MM    MM
2023 09 28 09 16 200  7.7 10.3    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 09 05 200  7.7 10.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 08 54 200  8.2 10.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 08 48 200  7.7 10.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 08 44 200  7.7 10.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 08 16 200  8.2  9.8    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 08 05 200  7.7 10.8    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 07 55 200  7.2 10.3    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 07 46 200  7.2 10.3    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 07 35 210  6.7  9.3    MM    MM    MM  MM     MM   7.9    MM   7.9   MM   MM    MM
2023 09 28 07 25 210  6.2  9.3    MM    MM    MM  MM     MM   7.8    MM   7.8   MM   MM    MM
2023 09 28 07 15 210  6.2  8.8    MM    MM    MM  MM     MM   7.8    MM   7.8   MM   MM    MM
2023 09 28 07 05 210  5.7  8.2    MM    MM    MM  MM     MM   7.8    MM   7.8   MM   MM    MM
2023 09 28 06 55 210  6.2  8.8    MM    MM    MM  MM     MM   7.6    MM   7.6   MM   MM    MM
