#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 10 170  1.0  2.1    MM    MM    MM  MM 1017.4   9.9    MM   6.7   MM   MM    MM
2023 09 28 20 10  MM  0.0  1.0    MM    MM    MM  MM 1017.3   9.6    MM   6.9   MM   MM    MM
2023 09 28 19 10 190  0.5  2.1    MM    MM    MM  MM 1017.1  10.6    MM   7.0   MM   MM    MM
2023 09 28 18 10 180  2.6  3.1    MM    MM    MM  MM 1016.9  10.3    MM   7.1   MM   MM    MM
2023 09 28 17 10 190  1.0  2.6    MM    MM    MM  MM 1016.6  10.5    MM   7.6   MM   MM    MM
2023 09 28 16 10  MM  0.0  0.0    MM    MM    MM  MM 1016.6   8.2    MM   6.4   MM   MM    MM
2023 09 28 15 10  MM  0.0  1.5    MM    MM    MM  MM 1016.3   8.3    MM   5.9   MM   MM    MM
2023 09 28 14 10  MM  0.0  1.5    MM    MM    MM  MM 1016.1   8.6    MM   5.8   MM   MM    MM
2023 09 28 13 10  MM  0.0  1.0    MM    MM    MM  MM 1015.7   8.8    MM   5.9   MM   MM    MM
2023 09 28 12 10  20  0.5  1.5    MM    MM    MM  MM 1015.3   9.1    MM   5.8   MM   MM    MM
2023 09 28 11 10 310  0.5  2.1    MM    MM    MM  MM 1014.8   9.1    MM   6.0   MM   MM    MM
2023 09 28 10 10 300  0.5  2.6    MM    MM    MM  MM 1014.5   9.1    MM   6.3   MM   MM    MM
2023 09 28 09 10 200  0.5  3.1    MM    MM    MM  MM 1013.9   9.4    MM   6.1   MM   MM    MM
2023 09 28 08 10  MM  0.0  2.6    MM    MM    MM  MM 1013.2   9.2    MM   6.5   MM   MM    MM
2023 09 28 07 10 190  1.5  5.1    MM    MM    MM  MM 1012.5   9.5    MM   6.3   MM   MM    MM
2023 09 28 06 10  MM  0.0  4.6    MM    MM    MM  MM 1011.7   9.9    MM   6.4   MM   MM    MM
2023 09 28 05 10  MM  0.0  4.1    MM    MM    MM  MM 1011.1   9.9    MM   6.5   MM   MM    MM
2023 09 28 04 10  MM  0.0  4.1    MM    MM    MM  MM 1010.3   9.8    MM   7.0   MM   MM    MM
2023 09 28 02 10 180  5.1 10.3    MM    MM    MM  MM 1008.7  10.3    MM   6.8   MM   MM    MM
2023 09 28 01 10 190  2.6  7.7    MM    MM    MM  MM 1007.4  10.2    MM   6.9   MM   MM    MM
2023 09 28 00 10 190  5.1 13.4    MM    MM    MM  MM 1005.8  11.1    MM   6.3   MM   MM    MM
2023 09 27 23 10 200  1.5  8.8    MM    MM    MM  MM 1005.0  10.4    MM   7.6   MM   MM    MM
2023 09 27 22 10 190  3.1 10.3    MM    MM    MM  MM 1004.1  10.7    MM   7.6   MM   MM    MM
2023 09 27 21 10 360  2.6  4.1    MM    MM    MM  MM 1002.8   9.7    MM   8.2   MM   MM    MM
2023 09 27 20 10 330  1.0  3.1    MM    MM    MM  MM 1001.9   9.5    MM   8.2   MM   MM    MM
2023 09 27 19 10  10  0.5  3.6    MM    MM    MM  MM 1001.1   9.2    MM   7.8   MM   MM    MM
2023 09 27 18 10  40  4.6  9.3    MM    MM    MM  MM 1000.1   8.8    MM   8.1   MM   MM    MM
2023 09 27 17 10  10  4.1  5.7    MM    MM    MM  MM  999.2   9.3    MM   8.7   MM   MM    MM
2023 09 27 16 10  MM  0.0  1.5    MM    MM    MM  MM  999.1   8.3    MM   7.7   MM   MM    MM
