#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 39 140  1.5  2.1    MM    MM    MM  MM 1017.3   9.5    MM   7.8   MM   MM    MM
2023 09 28 21 29 150  1.5  2.1    MM    MM    MM  MM 1017.3   9.3    MM   7.8   MM   MM    MM
2023 09 28 21 19 170  1.5  1.5    MM    MM    MM  MM 1017.3   9.3    MM   7.9   MM   MM    MM
2023 09 28 21 09 170  1.5  1.5    MM    MM    MM  MM 1017.2   9.4    MM   8.1   MM   MM    MM
2023 09 28 20 59 170  1.5  1.5    MM    MM    MM  MM 1017.2   9.3    MM   8.0   MM   MM    MM
2023 09 28 20 49 150  1.5  2.1    MM    MM    MM  MM 1017.2   9.3    MM   8.1   MM   MM    MM
2023 09 28 20 39 150  1.0  1.5    MM    MM    MM  MM 1017.2   9.4    MM   8.1   MM   MM    MM
2023 09 28 20 29 160  1.0  1.5    MM    MM    MM  MM 1017.1   9.4    MM   8.1   MM   MM    MM
2023 09 28 20 19 160  1.0  1.5    MM    MM    MM  MM 1017.1   9.5    MM   8.0   MM   MM    MM
2023 09 28 20 09 180  1.0  1.0    MM    MM    MM  MM 1017.0   9.7    MM   8.1   MM   MM    MM
2023 09 28 19 59 200  1.0  1.0    MM    MM    MM  MM 1017.1   9.8    MM   8.3   MM   MM    MM
2023 09 28 19 49 190  1.0  1.5    MM    MM    MM  MM 1017.1   9.7    MM   8.2   MM   MM    MM
2023 09 28 19 39 190  0.5  1.5    MM    MM    MM  MM 1017.0   9.6    MM   8.1   MM   MM    MM
2023 09 28 19 28  MM  0.0  0.5    MM    MM    MM  MM 1016.9   9.6    MM   8.1   MM   MM    MM
2023 09 28 19 19  MM  0.0  0.5    MM    MM    MM  MM 1016.9   9.6    MM   8.3   MM   MM    MM
2023 09 28 19 08  MM  0.0  1.0    MM    MM    MM  MM 1016.8   9.7    MM   8.5   MM   MM    MM
2023 09 28 19 00  MM  0.0  1.0    MM    MM    MM  MM 1016.8   9.7    MM   8.5   MM   MM    MM
2023 09 28 18 49 190  0.5  1.0    MM    MM    MM  MM 1016.8   9.2    MM   8.2   MM   MM    MM
2023 09 28 18 39  MM  0.0  0.5    MM    MM    MM  MM 1016.7   9.3    MM   8.4   MM   MM    MM
2023 09 28 18 29  MM  0.0  1.0    MM    MM    MM  MM 1016.7   9.3    MM   8.7   MM   MM    MM
2023 09 28 18 19  MM  0.0  1.0    MM    MM    MM  MM 1016.7   9.1    MM   8.5   MM   MM    MM
2023 09 28 18 09  50  1.0  1.5    MM    MM    MM  MM 1016.7   8.9    MM   8.4   MM   MM    MM
2023 09 28 17 57  60  1.0  1.5    MM    MM    MM  MM 1016.6   8.8    MM   8.3   MM   MM    MM
2023 09 28 17 50  40  1.0  1.5    MM    MM    MM  MM 1016.6   8.8    MM   8.4   MM   MM    MM
2023 09 28 17 39  80  1.0  1.5    MM    MM    MM  MM 1016.5   8.7    MM   8.3   MM   MM    MM
2023 09 28 17 29 120  0.5  1.0    MM    MM    MM  MM 1016.5   8.7    MM   8.3   MM   MM    MM
2023 09 28 17 19  MM  0.0  1.0    MM    MM    MM  MM 1016.4   8.6    MM   8.2   MM   MM    MM
2023 09 28 17 09  MM  0.0  1.0    MM    MM    MM  MM 1016.4   8.7    MM   8.3   MM   MM    MM
2023 09 28 16 59  MM  0.0  1.0    MM    MM    MM  MM 1016.4   8.7    MM   8.3   MM   MM    MM
2023 09 28 16 49  MM  0.0  0.5    MM    MM    MM  MM 1016.3   8.5    MM   8.1   MM   MM    MM
