#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 39 160  1.5  3.6    MM    MM    MM  MM 1017.0  10.2    MM  10.2   MM   MM    MM
2023 09 28 21 29 170  1.5  3.1    MM    MM    MM  MM 1017.0  10.2    MM  10.2   MM   MM    MM
2023 09 28 21 18 180  2.1  3.1    MM    MM    MM  MM 1016.9  10.2    MM  10.2   MM   MM    MM
2023 09 28 21 09 170  2.1  3.6    MM    MM    MM  MM 1016.9  10.2    MM  10.2   MM   MM    MM
2023 09 28 20 59 170  1.5  3.1    MM    MM    MM  MM 1016.9  10.0    MM  10.0   MM   MM    MM
2023 09 28 20 49 180  2.6  5.7    MM    MM    MM  MM 1016.8  10.0    MM  10.0   MM   MM    MM
2023 09 28 20 39 170  1.5  3.6    MM    MM    MM  MM 1016.8  10.1    MM  10.1   MM   MM    MM
2023 09 28 20 28 150  2.1  4.6    MM    MM    MM  MM 1016.7  10.2    MM  10.2   MM   MM    MM
2023 09 28 20 19 160  1.5  3.1    MM    MM    MM  MM 1016.7  10.1    MM  10.1   MM   MM    MM
2023 09 28 20 09 170  1.5  3.1    MM    MM    MM  MM 1016.6  10.1    MM  10.1   MM   MM    MM
2023 09 28 19 59 170  1.5  3.1    MM    MM    MM  MM 1016.5  10.1    MM  10.1   MM   MM    MM
2023 09 28 19 49 180  1.5  3.6    MM    MM    MM  MM 1016.5   9.8    MM   9.8   MM   MM    MM
2023 09 28 19 39 170  1.5  3.6    MM    MM    MM  MM 1016.5   9.8    MM   9.8   MM   MM    MM
2023 09 28 19 28 170  1.5  3.6    MM    MM    MM  MM 1016.5   9.5    MM   9.5   MM   MM    MM
2023 09 28 19 19 160  1.5  3.6    MM    MM    MM  MM 1016.6   9.2    MM   9.2   MM   MM    MM
2023 09 28 19 07 160  1.5  4.1    MM    MM    MM  MM 1016.6   9.0    MM   9.0   MM   MM    MM
2023 09 28 18 59 150  1.5  3.6    MM    MM    MM  MM 1016.5   9.1    MM   9.1   MM   MM    MM
2023 09 28 18 48 160  1.5  3.6    MM    MM    MM  MM 1016.5   9.2    MM   9.2   MM   MM    MM
2023 09 28 18 39 160  2.1  4.1    MM    MM    MM  MM 1016.3   9.2    MM   9.2   MM   MM    MM
2023 09 28 18 29 160  1.5  3.6    MM    MM    MM  MM 1016.3   9.2    MM   9.2   MM   MM    MM
2023 09 28 18 19 170  2.1  4.1    MM    MM    MM  MM 1016.3   9.1    MM   9.1   MM   MM    MM
2023 09 28 18 08 170  2.1  4.6    MM    MM    MM  MM 1016.2   9.0    MM   9.0   MM   MM    MM
2023 09 28 17 57 160  2.1  4.1    MM    MM    MM  MM 1016.2   9.1    MM   9.1   MM   MM    MM
2023 09 28 17 49 140  1.5  3.6    MM    MM    MM  MM 1016.1   9.0    MM   9.0   MM   MM    MM
2023 09 28 17 39 160  1.0  2.6    MM    MM    MM  MM 1016.1   8.8    MM   8.8   MM   MM    MM
2023 09 28 17 29 150  1.5  3.1    MM    MM    MM  MM 1016.0   8.6    MM   8.6   MM   MM    MM
2023 09 28 17 19 150  2.1  4.1    MM    MM    MM  MM 1016.0   8.5    MM   8.5   MM   MM    MM
2023 09 28 17 09 150  2.1  4.6    MM    MM    MM  MM 1015.9   8.5    MM   8.5   MM   MM    MM
2023 09 28 16 59 150  2.1  4.1    MM    MM    MM  MM 1015.9   8.4    MM   8.4   MM   MM    MM
