#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 37 110  1.5  2.1    MM    MM    MM  MM     MM   8.9    MM   7.8   MM   MM    MM
2023 09 28 21 26 100  1.5  1.5    MM    MM    MM  MM     MM   8.9    MM   8.0   MM   MM    MM
2023 09 28 21 16 100  1.5  2.1    MM    MM    MM  MM     MM   8.8    MM   7.9   MM   MM    MM
2023 09 28 21 06 100  2.1  2.6    MM    MM    MM  MM     MM   8.7    MM   7.8   MM   MM    MM
2023 09 28 20 57 110  1.5  2.1    MM    MM    MM  MM     MM   8.7    MM   7.8   MM   MM    MM
2023 09 28 20 47 110  2.1  2.6    MM    MM    MM  MM     MM   8.7    MM   7.8   MM   MM    MM
2023 09 28 20 37 110  2.1  2.1    MM    MM    MM  MM     MM   8.7    MM   7.8   MM   MM    MM
2023 09 28 20 26 110  2.1  2.6    MM    MM    MM  MM     MM   8.7    MM   7.8   MM   MM    MM
2023 09 28 20 17 100  2.1  3.1    MM    MM    MM  MM     MM   8.8    MM   7.9   MM   MM    MM
2023 09 28 20 06 100  2.6  3.1    MM    MM    MM  MM     MM   8.7    MM   7.8   MM   MM    MM
2023 09 28 19 57 100  2.6  3.6    MM    MM    MM  MM     MM   8.7    MM   7.8   MM   MM    MM
2023 09 28 19 47 100  2.6  3.1    MM    MM    MM  MM     MM   8.6    MM   7.8   MM   MM    MM
2023 09 28 19 36 110  2.1  2.6    MM    MM    MM  MM     MM   8.6    MM   7.8   MM   MM    MM
2023 09 28 19 26 100  2.1  2.6    MM    MM    MM  MM     MM   8.6    MM   7.7   MM   MM    MM
2023 09 28 19 17 100  1.5  2.1    MM    MM    MM  MM     MM   8.8    MM   7.7   MM   MM    MM
2023 09 28 19 05 110  2.1  2.6    MM    MM    MM  MM     MM   9.0    MM   7.5   MM   MM    MM
2023 09 28 18 57  90  2.6  3.1    MM    MM    MM  MM     MM   8.7    MM   7.4   MM   MM    MM
2023 09 28 18 46  90  2.6  3.1    MM    MM    MM  MM     MM   8.6    MM   7.3   MM   MM    MM
2023 09 28 18 36 100  2.1  2.6    MM    MM    MM  MM     MM   8.6    MM   7.5   MM   MM    MM
2023 09 28 18 26 100  2.1  2.6    MM    MM    MM  MM     MM   8.6    MM   7.5   MM   MM    MM
2023 09 28 18 16 100  2.1  2.6    MM    MM    MM  MM     MM   8.6    MM   7.5   MM   MM    MM
2023 09 28 18 06 100  2.1  2.6    MM    MM    MM  MM     MM   8.5    MM   7.5   MM   MM    MM
2023 09 28 17 55 100  1.5  2.6    MM    MM    MM  MM     MM   8.4    MM   7.6   MM   MM    MM
2023 09 28 17 46 100  2.1  2.6    MM    MM    MM  MM     MM   8.4    MM   7.6   MM   MM    MM
2023 09 28 17 37 110  1.5  2.1    MM    MM    MM  MM     MM   8.4    MM   7.5   MM   MM    MM
2023 09 28 17 26 100  1.5  2.1    MM    MM    MM  MM     MM   8.2    MM   7.4   MM   MM    MM
2023 09 28 17 16 100  1.5  2.1    MM    MM    MM  MM     MM   8.0    MM   7.4   MM   MM    MM
2023 09 28 17 07  90  2.1  2.6    MM    MM    MM  MM     MM   7.9    MM   7.3   MM   MM    MM
2023 09 28 16 56 100  2.1  2.6    MM    MM    MM  MM     MM   7.9    MM   7.3   MM   MM    MM
2023 09 28 16 47  90  2.1  2.1    MM    MM    MM  MM     MM   7.8    MM   7.3   MM   MM    MM
2023 09 28 16 37  90  1.5  3.6    MM    MM    MM  MM     MM   7.8    MM   7.3   MM   MM    MM
2023 09 28 16 26  90  2.1  2.6    MM    MM    MM  MM     MM   7.8    MM   7.3   MM   MM    MM
2023 09 28 16 17 100  1.5  2.6    MM    MM    MM  MM     MM   7.8    MM   7.4   MM   MM    MM
2023 09 28 16 07 100  1.0  1.5    MM    MM    MM  MM     MM   7.9    MM   7.4   MM   MM    MM
2023 09 28 15 56  MM  0.0  0.5    MM    MM    MM  MM     MM   7.9    MM   7.3   MM   MM    MM
2023 09 28 15 46  MM  0.0  0.5    MM    MM    MM  MM     MM   7.7    MM   7.3   MM   MM    MM
2023 09 28 15 35  80  0.5  1.5    MM    MM    MM  MM     MM   7.6    MM   7.2   MM   MM    MM
2023 09 28 15 27  90  0.5  1.5    MM    MM    MM  MM     MM   7.4    MM   6.9   MM   MM    MM
2023 09 28 15 16  MM  0.0  1.5    MM    MM    MM  MM     MM   7.6    MM   7.0   MM   MM    MM
2023 09 28 15 07 100  0.5  2.1    MM    MM    MM  MM     MM   7.7    MM   7.3   MM   MM    MM
2023 09 28 14 57 100  0.5  2.1    MM    MM    MM  MM     MM   7.7    MM   7.4   MM   MM    MM
2023 09 28 14 47 100  1.5  3.1    MM    MM    MM  MM     MM   7.7    MM   7.4   MM   MM    MM
2023 09 28 14 36 100  2.1  3.1    MM    MM    MM  MM     MM   7.7    MM   7.4   MM   MM    MM
2023 09 28 14 27 100  1.5  2.6    MM    MM    MM  MM     MM   7.8    MM   7.4   MM   MM    MM
2023 09 28 14 17 100  2.1  4.1    MM    MM    MM  MM     MM   7.8    MM   7.4   MM   MM    MM
2023 09 28 13 56 110  1.0  2.6    MM    MM    MM  MM     MM   7.9    MM   7.5   MM   MM    MM
2023 09 28 13 47 110  1.0  2.1    MM    MM    MM  MM     MM   7.8    MM   7.3   MM   MM    MM
2023 09 28 13 37 110  1.0  2.1    MM    MM    MM  MM     MM   7.8    MM   7.4   MM   MM    MM
2023 09 28 13 26 110  1.0  2.6    MM    MM    MM  MM     MM   7.8    MM   7.4   MM   MM    MM
2023 09 28 13 16 110  1.5  2.6    MM    MM    MM  MM     MM   7.8    MM   7.4   MM   MM    MM
2023 09 28 13 06 110  1.5  3.6    MM    MM    MM  MM     MM   7.9    MM   7.5   MM   MM    MM
2023 09 28 12 57 110  2.1  3.1    MM    MM    MM  MM     MM   7.9    MM   7.5   MM   MM    MM
2023 09 28 12 45 110  2.1  3.6    MM    MM    MM  MM     MM   7.9    MM   7.4   MM   MM    MM
2023 09 28 12 36 100  1.5  4.1    MM    MM    MM  MM     MM   8.1    MM   7.5   MM   MM    MM
2023 09 28 12 27  90  1.5  3.1    MM    MM    MM  MM     MM   8.1    MM   7.5   MM   MM    MM
2023 09 28 12 16  90  1.5  3.1    MM    MM    MM  MM     MM   8.1    MM   7.5   MM   MM    MM
2023 09 28 12 05 100  2.1  4.1    MM    MM    MM  MM     MM   8.2    MM   7.4   MM   MM    MM
2023 09 28 11 57 110  1.5  2.6    MM    MM    MM  MM     MM   8.2    MM   7.4   MM   MM    MM
2023 09 28 11 46 110  1.0  2.1    MM    MM    MM  MM     MM   8.4    MM   7.5   MM   MM    MM
2023 09 28 11 35 100  1.0  3.1    MM    MM    MM  MM     MM   8.4    MM   7.5   MM   MM    MM
2023 09 28 11 26 110  2.1  3.6    MM    MM    MM  MM     MM   8.5    MM   7.5   MM   MM    MM
2023 09 28 11 15 100  1.5  3.6    MM    MM    MM  MM     MM   8.7    MM   7.6   MM   MM    MM
2023 09 28 11 07 110  2.1  3.6    MM    MM    MM  MM     MM   8.7    MM   7.6   MM   MM    MM
2023 09 28 10 57 100  2.6  4.6    MM    MM    MM  MM     MM   8.8    MM   7.7   MM   MM    MM
2023 09 28 10 46 100  3.6  5.7    MM    MM    MM  MM     MM   8.8    MM   7.9   MM   MM    MM
2023 09 28 10 36 100  3.1  7.2    MM    MM    MM  MM     MM   8.8    MM   7.8   MM   MM    MM
2023 09 28 10 26 100  3.6  6.2    MM    MM    MM  MM     MM   8.8    MM   7.8   MM   MM    MM
2023 09 28 10 16 100  4.1  6.7    MM    MM    MM  MM     MM   8.9    MM   8.0   MM   MM    MM
2023 09 28 10 05 100  4.6  6.7    MM    MM    MM  MM     MM   8.9    MM   7.8   MM   MM    MM
2023 09 28 09 56 100  2.6  5.7    MM    MM    MM  MM     MM   8.9    MM   7.9   MM   MM    MM
2023 09 28 09 47 110  2.1  4.6    MM    MM    MM  MM     MM   8.8    MM   7.9   MM   MM    MM
2023 09 28 09 37 100  2.1  4.6    MM    MM    MM  MM     MM   8.8    MM   7.9   MM   MM    MM
2023 09 28 09 26  90  2.1  4.6    MM    MM    MM  MM     MM   8.8    MM   7.9   MM   MM    MM
2023 09 28 09 17 100  3.1  5.1    MM    MM    MM  MM     MM   8.8    MM   7.7   MM   MM    MM
2023 09 28 09 07 100  3.6  6.7    MM    MM    MM  MM     MM   8.9    MM   7.8   MM   MM    MM
2023 09 28 08 55 100  5.1  8.2    MM    MM    MM  MM     MM   8.9    MM   7.8   MM   MM    MM
2023 09 28 08 46 100  5.7  8.2    MM    MM    MM  MM     MM   8.9    MM   7.9   MM   MM    MM
2023 09 28 08 36 100  5.1  6.7    MM    MM    MM  MM     MM   8.9    MM   7.8   MM   MM    MM
2023 09 28 08 17 100  4.6  6.2    MM    MM    MM  MM     MM   8.9    MM   7.7   MM   MM    MM
2023 09 28 08 07 100  4.1  6.2    MM    MM    MM  MM     MM   9.0    MM   7.7   MM   MM    MM
2023 09 28 07 55 100  3.6  5.1    MM    MM    MM  MM     MM   9.0    MM   7.6   MM   MM    MM
2023 09 28 07 47 110  4.1  5.7    MM    MM    MM  MM     MM   9.1    MM   7.5   MM   MM    MM
2023 09 28 07 37 110  4.1  5.7    MM    MM    MM  MM     MM   9.1    MM   7.5   MM   MM    MM
2023 09 28 07 26 110  4.6  6.2    MM    MM    MM  MM     MM   9.1    MM   7.4   MM   MM    MM
2023 09 28 07 17 110  4.6  6.2    MM    MM    MM  MM     MM   9.1    MM   7.6   MM   MM    MM
2023 09 28 07 05 110  5.7  7.2    MM    MM    MM  MM     MM   9.1    MM   7.4   MM   MM    MM
2023 09 28 06 57 110  5.1  6.7    MM    MM    MM  MM     MM   9.1    MM   7.5   MM   MM    MM
2023 09 28 06 46 120  5.7  7.2    MM    MM    MM  MM     MM   9.1    MM   7.7   MM   MM    MM
2023 09 28 06 37 120  6.2  7.7    MM    MM    MM  MM     MM   9.1    MM   7.7   MM   MM    MM
2023 09 28 06 25 120  5.7  6.7    MM    MM    MM  MM     MM   9.2    MM   7.6   MM   MM    MM
2023 09 28 06 16 120  5.1  6.7    MM    MM    MM  MM     MM   9.1    MM   7.8   MM   MM    MM
2023 09 28 06 07 110  5.1  7.2    MM    MM    MM  MM     MM   9.1    MM   7.8   MM   MM    MM
2023 09 28 05 56 110  4.6  6.7    MM    MM    MM  MM     MM   9.1    MM   7.8   MM   MM    MM
2023 09 28 05 46 120  6.2  7.7    MM    MM    MM  MM     MM   9.4    MM   7.4   MM   MM    MM
2023 09 28 05 36 120  6.7  8.2    MM    MM    MM  MM     MM   9.3    MM   7.4   MM   MM    MM
2023 09 28 05 25 110  5.7  7.7    MM    MM    MM  MM     MM   9.2    MM   7.5   MM   MM    MM
2023 09 28 05 17 110  5.1  7.7    MM    MM    MM  MM     MM   9.1    MM   7.5   MM   MM    MM
2023 09 28 05 07 100  4.6  6.7    MM    MM    MM  MM     MM   9.1    MM   7.6   MM   MM    MM
2023 09 28 04 56 110  5.1  7.2    MM    MM    MM  MM     MM   9.1    MM   7.7   MM   MM    MM
2023 09 28 04 47 120  4.6  6.7    MM    MM    MM  MM     MM   9.3    MM   7.6   MM   MM    MM
2023 09 28 04 36 120  5.7  7.2    MM    MM    MM  MM     MM   9.3    MM   7.4   MM   MM    MM
2023 09 28 04 26 110  4.6  7.7    MM    MM    MM  MM     MM   9.1    MM   7.7   MM   MM    MM
2023 09 28 04 17 120  4.6  6.2    MM    MM    MM  MM     MM   9.3    MM   7.5   MM   MM    MM
2023 09 28 04 07 120  5.1  6.2    MM    MM    MM  MM     MM   9.3    MM   7.5   MM   MM    MM
2023 09 28 03 56 120  5.7  7.2    MM    MM    MM  MM     MM   9.3    MM   7.3   MM   MM    MM
2023 09 28 03 47 110  5.7  7.7    MM    MM    MM  MM     MM   9.2    MM   7.5   MM   MM    MM
2023 09 28 03 37 110  4.6  6.7    MM    MM    MM  MM     MM   9.2    MM   7.6   MM   MM    MM
2023 09 28 03 27 120  5.1  7.2    MM    MM    MM  MM     MM   9.5    MM   7.4   MM   MM    MM
2023 09 28 03 17 120  5.7  7.2    MM    MM    MM  MM     MM   9.7    MM   7.4   MM   MM    MM
