#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 30 360  7.7  8.2    MM    MM    MM  MM     MM   9.1    MM   0.2   MM   MM    MM
2023 09 28 21 00 360  8.2  8.8    MM    MM    MM  MM     MM   8.9    MM   1.1   MM   MM    MM
2023 09 28 20 30 360  8.8  9.3    MM    MM    MM  MM     MM   8.8    MM  -0.4   MM   MM    MM
2023 09 28 20 00 360  9.3  9.8    MM    MM    MM  MM     MM   8.7    MM  -0.1   MM   MM    MM
2023 09 28 19 30 360  8.8  9.8    MM    MM    MM  MM     MM   8.5    MM   0.1   MM   MM    MM
2023 09 28 19 00 360  8.8  9.3    MM    MM    MM  MM     MM   8.4    MM   0.0   MM   MM    MM
2023 09 28 18 30 360  8.2  9.3    MM    MM    MM  MM     MM   8.5    MM  -0.2   MM   MM    MM
2023 09 28 18 00 360  8.8  9.8    MM    MM    MM  MM     MM   8.0    MM   0.7   MM   MM    MM
2023 09 28 17 30 360  8.2  9.3    MM    MM    MM  MM     MM   8.7    MM  -2.1   MM   MM    MM
2023 09 28 17 00 360  8.8  9.3    MM    MM    MM  MM     MM   8.4    MM   0.0   MM   MM    MM
2023 09 28 16 30 360  9.3 10.3    MM    MM    MM  MM     MM   8.9    MM  -1.1   MM   MM    MM
2023 09 28 16 00 360  8.8  9.3    MM    MM    MM  MM     MM   8.8    MM  -2.0   MM   MM    MM
2023 09 28 15 30 360  8.8  9.8    MM    MM    MM  MM     MM   8.9    MM  -1.4   MM   MM    MM
2023 09 28 15 00 360  9.3  9.8    MM    MM    MM  MM     MM   8.9    MM  -1.9   MM   MM    MM
2023 09 28 14 30 360  8.8  9.3    MM    MM    MM  MM     MM   9.0    MM  -2.2   MM   MM    MM
2023 09 28 14 00 360  8.8 10.3    MM    MM    MM  MM     MM   9.0    MM  -2.8   MM   MM    MM
2023 09 28 13 30 360 10.3 11.3    MM    MM    MM  MM     MM   9.1    MM  -2.8   MM   MM    MM
2023 09 28 13 00 360 10.3 11.3    MM    MM    MM  MM     MM   9.0    MM  -2.6   MM   MM    MM
2023 09 28 12 30 360  9.3 10.3    MM    MM    MM  MM     MM   9.0    MM  -1.7   MM   MM    MM
2023 09 28 12 00 360 10.8 11.8    MM    MM    MM  MM     MM   9.0    MM  -0.5   MM   MM    MM
2023 09 28 11 30 360 10.3 11.3    MM    MM    MM  MM     MM   9.2    MM  -1.4   MM   MM    MM
2023 09 28 11 00 350  9.8 11.3    MM    MM    MM  MM     MM   9.3    MM  -0.8   MM   MM    MM
2023 09 28 10 30 360 11.8 12.9    MM    MM    MM  MM     MM   9.1    MM  -1.1   MM   MM    MM
2023 09 28 10 00 350 10.8 11.8    MM    MM    MM  MM     MM   9.5    MM   0.0   MM   MM    MM
2023 09 28 09 30 350  8.8  9.8    MM    MM    MM  MM     MM   9.6    MM   0.0   MM   MM    MM
2023 09 28 09 00 350  8.2 10.3    MM    MM    MM  MM     MM   9.6    MM  -0.6   MM   MM    MM
2023 09 28 08 30 360  9.8 10.8    MM    MM    MM  MM     MM   9.5    MM  -1.0   MM   MM    MM
2023 09 28 08 00 350 11.8 12.9    MM    MM    MM  MM     MM   9.8    MM   0.0   MM   MM    MM
2023 09 28 07 30 350 12.9 13.9    MM    MM    MM  MM     MM   9.8    MM  -0.7   MM   MM    MM
2023 09 28 07 00 360 12.4 13.9    MM    MM    MM  MM     MM   9.7    MM  -1.3   MM   MM    MM
