#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 00 120  5.1  5.7    MM    MM    MM  MM 1021.1  14.6    MM    MM   MM -2.1    MM
2023 09 28 20 00 130  4.1  4.6    MM    MM    MM  MM 1021.7  14.6    MM    MM   MM -2.0    MM
2023 09 28 19 00 130  4.6  5.1    MM    MM    MM  MM 1022.4  14.5    MM    MM   MM -1.8    MM
2023 09 28 18 00 130  4.6  5.1    MM    MM    MM  MM 1023.2  14.5    MM    MM   MM -1.3    MM
2023 09 28 17 00 150  4.6  4.6    MM    MM    MM  MM 1023.7  14.5    MM    MM   MM -0.8    MM
2023 09 28 16 00 140  4.6  5.1    MM    MM    MM  MM 1024.2  14.5    MM    MM   MM -0.3    MM
2023 09 28 15 00 150  5.1  5.7    MM    MM    MM  MM 1024.5  14.4    MM    MM   MM +0.0    MM
2023 09 28 14 00 140  5.7  5.7    MM    MM    MM  MM 1024.5  14.4    MM    MM   MM +0.0    MM
2023 09 28 13 00 140  5.7  6.7    MM    MM    MM  MM 1024.5  14.4    MM    MM   MM +0.3    MM
2023 09 28 12 00 140  5.7  6.2    MM    MM    MM  MM 1024.5  14.4    MM    MM   MM +0.3    MM
2023 09 28 11 00 140  5.1  5.1    MM    MM    MM  MM 1024.3  14.3    MM    MM   MM +0.0    MM
2023 09 28 10 00 150  5.1  5.7    MM    MM    MM  MM 1024.2  14.7    MM    MM   MM -0.3    MM
2023 09 28 09 00 150  5.7  6.2    MM    MM    MM  MM 1024.2  14.6    MM    MM   MM -0.4    MM
2023 09 28 08 00 150  7.7  8.2    MM    MM    MM  MM 1024.1  14.8    MM    MM   MM -0.4    MM
2023 09 28 07 00 160  6.7  7.7    MM    MM    MM  MM 1024.5  15.1    MM    MM   MM -0.3    MM
2023 09 28 06 00 150  6.7  7.2    MM    MM    MM  MM 1024.6  14.9    MM    MM   MM -0.5    MM
2023 09 28 05 00 130  8.2  9.3    MM    MM    MM  MM 1024.5  15.1    MM    MM   MM -0.7    MM
2023 09 28 04 00 110  5.7  6.7    MM    MM    MM  MM 1024.8  15.0    MM    MM   MM -0.5    MM
2023 09 28 03 00 100  5.1  5.7    MM    MM    MM  MM 1025.1  14.7    MM    MM   MM -0.3    MM
2023 09 28 02 00  90  5.1  5.7    MM    MM    MM  MM 1025.2  14.7    MM    MM   MM +0.0    MM
2023 09 28 01 00 100  5.7  6.2    MM    MM    MM  MM 1025.3  14.9    MM    MM   MM -0.3    MM
2023 09 28 00 00 110  6.2  6.7    MM    MM    MM  MM 1025.4  15.1    MM    MM   MM -0.5    MM
2023 09 27 23 00 110  6.7  7.2    MM    MM    MM  MM 1025.4  14.9    MM    MM   MM -1.0    MM
2023 09 27 22 00 110  6.2  7.2    MM    MM    MM  MM 1025.6  14.9    MM    MM   MM -1.4    MM
2023 09 27 21 00 110  7.2  8.2    MM    MM    MM  MM 1025.9  14.8    MM    MM   MM -1.6    MM
2023 09 27 20 00 110  6.7  7.7    MM    MM    MM  MM 1026.4  14.8    MM    MM   MM -1.6    MM
2023 09 27 19 00 110  7.2  7.7    MM    MM    MM  MM 1027.0  14.8    MM    MM   MM -1.3    MM
2023 09 27 18 00 120  6.7  7.7    MM    MM    MM  MM 1027.5  14.8    MM    MM   MM -1.0    MM
2023 09 27 17 00 110  6.7  7.7    MM    MM    MM  MM 1028.0  14.7    MM    MM   MM -0.4    MM
2023 09 27 16 00 110  7.7  8.8    MM    MM    MM  MM 1028.3  14.7    MM    MM   MM +0.0    MM
2023 09 27 15 00 120  7.7  8.2    MM    MM    MM  MM 1028.5  14.8    MM    MM   MM +0.5    MM
