#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 18 00 200  1.5   MM    MM    MM    MM  MM 1019.0  18.4    MM  14.8   MM   MM    MM
2023 09 28 17 45 160  1.5   MM    MM    MM    MM  MM 1019.0  18.4    MM  15.0   MM   MM    MM
2023 09 28 17 30 190  2.1   MM    MM    MM    MM  MM 1019.0  18.0    MM  14.8   MM   MM    MM
2023 09 28 17 15 200  2.6   MM    MM    MM    MM  MM 1019.0  17.9    MM  14.7   MM   MM    MM
2023 09 28 17 00 200  2.1   MM    MM    MM    MM  MM 1020.0  17.8    MM  14.7   MM -1.0    MM
2023 09 28 16 45 200  1.5   MM    MM    MM    MM  MM 1020.0  17.6    MM  14.9   MM   MM    MM
2023 09 28 16 30 200  1.5   MM    MM    MM    MM  MM 1020.0  17.3    MM  14.8   MM   MM    MM
2023 09 28 16 15 200  2.1   MM    MM    MM    MM  MM 1020.0  17.1    MM  14.8   MM   MM    MM
2023 09 28 16 00 190  2.6   MM    MM    MM    MM  MM 1020.0  17.1    MM  14.8   MM -1.0    MM
2023 09 28 15 45 180  1.5   MM    MM    MM    MM  MM 1020.0  17.1    MM  14.8   MM   MM    MM
2023 09 28 15 30 190  1.5   MM    MM    MM    MM  MM 1020.0  16.9    MM  14.9   MM   MM    MM
2023 09 28 15 15 130  1.5   MM    MM    MM    MM  MM 1020.0  16.7    MM  15.1   MM   MM    MM
2023 09 28 14 00  90  0.5   MM    MM    MM    MM  MM 1021.0  15.1    MM  14.6   MM +0.0    MM
2023 09 28 13 45  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.9    MM  14.6   MM   MM    MM
2023 09 28 13 30  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.7    MM  14.4   MM   MM    MM
2023 09 28 13 15  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.6    MM  14.3   MM   MM    MM
2023 09 28 13 00  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.5    MM  14.3   MM +0.0    MM
2023 09 28 12 45  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.4    MM  14.2   MM   MM    MM
2023 09 28 12 30  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.3    MM  14.1   MM   MM    MM
2023 09 28 12 15  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.4    MM  14.2   MM   MM    MM
2023 09 28 12 00  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.5    MM  14.3   MM   MM    MM
2023 09 28 11 45  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.6    MM  14.4   MM   MM    MM
2023 09 28 11 30  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.5    MM  14.3   MM   MM    MM
2023 09 28 11 15  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.5    MM  14.3   MM   MM    MM
2023 09 28 11 00  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.7    MM  14.4   MM +0.0    MM
2023 09 28 10 45  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.8    MM  14.3   MM   MM    MM
2023 09 28 10 30  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.9    MM  14.3   MM   MM    MM
2023 09 28 10 15  MM  0.0   MM    MM    MM    MM  MM 1021.0  14.9    MM  14.3   MM   MM    MM
