#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 30  30  4.6  4.6    MM    MM    MM  MM 1015.1  10.5    MM    MM   MM   MM    MM
2023 09 28 21 00  30  5.1  5.1    MM    MM    MM  MM 1015.1  10.5    MM    MM   MM +1.5    MM
2023 09 28 20 30  20  4.6  5.1    MM    MM    MM  MM 1014.8  10.5    MM    MM   MM   MM    MM
2023 09 28 20 00  30  5.7  5.7    MM    MM    MM  MM 1014.6  10.3    MM    MM   MM +1.3    MM
2023 09 28 19 30  30  5.7  6.2    MM    MM    MM  MM 1014.4  10.4    MM    MM   MM   MM    MM
2023 09 28 19 00  30  6.2  6.7    MM    MM    MM  MM 1014.2  10.0    MM    MM   MM +1.7    MM
2023 09 28 18 30  20  6.7  8.2    MM    MM    MM  MM 1013.7   9.6    MM    MM   MM   MM    MM
2023 09 28 18 00  20  6.7  7.2    MM    MM    MM  MM 1013.6   9.4    MM    MM   MM +1.6    MM
2023 09 28 17 30  20  5.7  7.2    MM    MM    MM  MM 1013.4   9.3    MM    MM   MM   MM    MM
2023 09 28 17 00  20  6.2  6.7    MM    MM    MM  MM 1013.3   9.2    MM    MM   MM +1.9    MM
2023 09 28 16 30  30  6.7  8.2    MM    MM    MM  MM 1012.9   9.7    MM    MM   MM   MM    MM
2023 09 28 16 00  30  8.2  8.8    MM    MM    MM  MM 1012.5   9.2    MM    MM   MM +1.6    MM
2023 09 28 15 30  30  7.7  8.8    MM    MM    MM  MM 1012.3   9.5    MM    MM   MM   MM    MM
2023 09 28 15 00  30  8.2  9.3    MM    MM    MM  MM 1012.0   9.3    MM    MM   MM +1.5    MM
2023 09 28 14 30  20  6.7  7.7    MM    MM    MM  MM 1011.7   9.0    MM    MM   MM   MM    MM
2023 09 28 14 00  20  8.2  9.3    MM    MM    MM  MM 1011.4   9.2    MM    MM   MM +1.3    MM
2023 09 28 13 30  30  8.2  9.3    MM    MM    MM  MM 1011.1   9.3    MM    MM   MM   MM    MM
2023 09 28 13 00  30  8.8  9.3    MM    MM    MM  MM 1010.9   9.6    MM    MM   MM +1.2    MM
2023 09 28 12 30  30  7.7  9.3    MM    MM    MM  MM 1010.8   9.5    MM    MM   MM   MM    MM
2023 09 28 12 00  30  7.2  8.8    MM    MM    MM  MM 1010.5   9.6    MM    MM   MM +1.5    MM
