#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 18 100  6.2  6.7    MM    MM    MM  MM 1010.0  32.3  31.8    MM   MM   MM    MM
2023 09 28 21 12  90  4.6  6.2    MM    MM    MM  MM 1010.0  32.5  31.8    MM   MM   MM    MM
2023 09 28 21 06  90  4.1  6.7    MM    MM    MM  MM 1010.0  32.5  31.8    MM   MM   MM    MM
2023 09 28 21 00 100  5.1  7.2    MM    MM    MM  MM 1010.1  32.5  31.7    MM   MM -2.0    MM
2023 09 28 20 54 100  5.1  6.7    MM    MM    MM  MM 1010.1  32.4  31.7    MM   MM   MM    MM
2023 09 28 20 48  90  3.6  6.2    MM    MM    MM  MM 1010.2  32.6  31.6    MM   MM   MM    MM
2023 09 28 20 42 110  5.1  7.2    MM    MM    MM  MM 1010.2  32.2  31.6    MM   MM   MM    MM
2023 09 28 20 36 100  5.1  7.2    MM    MM    MM  MM 1010.2  32.3  31.6    MM   MM   MM    MM
2023 09 28 20 30 100  6.2  7.2    MM    MM    MM  MM 1010.2  32.1  31.6    MM   MM   MM    MM
2023 09 28 20 24 100  6.2  7.7    MM    MM    MM  MM 1010.3  31.9  31.6    MM   MM   MM    MM
2023 09 28 20 18 100  6.7  8.2    MM    MM    MM  MM 1010.3  31.9  31.5    MM   MM   MM    MM
2023 09 28 20 12 100  6.2  7.7    MM    MM    MM  MM 1010.3  31.8  31.6    MM   MM   MM    MM
2023 09 28 20 06 100  4.6  7.2    MM    MM    MM  MM 1010.4  31.2  31.6    MM   MM   MM    MM
2023 09 28 20 00  90  3.1  5.7    MM    MM    MM  MM 1010.4  31.1  31.6    MM   MM -2.1    MM
2023 09 28 19 54  90  4.6  6.7    MM    MM    MM  MM 1010.5  31.2  31.6    MM   MM   MM    MM
2023 09 28 19 48 100  6.2  7.7    MM    MM    MM  MM 1010.5  31.2  31.6    MM   MM   MM    MM
2023 09 28 19 42 110  5.7  6.7    MM    MM    MM  MM 1010.7  31.5  31.6    MM   MM   MM    MM
2023 09 28 19 36 110  5.1  6.2    MM    MM    MM  MM 1010.7  32.3  31.6    MM   MM   MM    MM
2023 09 28 19 30  90  5.1  6.7    MM    MM    MM  MM 1010.8  32.4  31.7    MM   MM   MM    MM
2023 09 28 19 24  90  4.1  6.2    MM    MM    MM  MM 1010.9  32.4  31.7    MM   MM   MM    MM
2023 09 28 19 18  90  4.1  6.2    MM    MM    MM  MM 1010.9  31.9  31.7    MM   MM   MM    MM
2023 09 28 19 12  90  4.1  6.2    MM    MM    MM  MM 1011.0  31.8  31.6    MM   MM   MM    MM
2023 09 28 19 06 100  5.1  6.7    MM    MM    MM  MM 1011.0  31.8  31.6    MM   MM   MM    MM
2023 09 28 19 00 100  4.1  5.7    MM    MM    MM  MM 1011.2  31.9  31.6    MM   MM -1.4    MM
