#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 35 170  3.6  4.6    MM    MM    MM  MM     MM   9.6    MM   7.0   MM   MM    MM
2023 09 28 21 25 170  3.6  5.1    MM    MM    MM  MM     MM   9.6    MM   7.0   MM   MM    MM
2023 09 28 21 15 160  3.6  5.1    MM    MM    MM  MM     MM   9.7    MM   7.1   MM   MM    MM
2023 09 28 21 05 160  2.1  3.1    MM    MM    MM  MM     MM   9.8    MM   7.4   MM   MM    MM
2023 09 28 20 55 180  2.1  2.6    MM    MM    MM  MM     MM   9.7    MM   7.3   MM   MM    MM
2023 09 28 20 45 190  3.1  3.6    MM    MM    MM  MM     MM   9.6    MM   7.1   MM   MM    MM
2023 09 28 20 35 190  3.6  5.1    MM    MM    MM  MM     MM   9.5    MM   7.0   MM   MM    MM
2023 09 28 20 25 170  4.1  6.2    MM    MM    MM  MM     MM   9.4    MM   6.9   MM   MM    MM
2023 09 28 20 15 170  5.1  6.7    MM    MM    MM  MM     MM   9.3    MM   6.9   MM   MM    MM
2023 09 28 20 05 170  5.1  7.2    MM    MM    MM  MM     MM   9.2    MM   7.0   MM   MM    MM
2023 09 28 19 55 170  5.7  7.2    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 19 45 170  5.7  8.2    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 19 35 180  5.7  7.2    MM    MM    MM  MM     MM   9.1    MM   7.0   MM   MM    MM
2023 09 28 19 25 180  5.7  7.2    MM    MM    MM  MM     MM   9.1    MM   7.0   MM   MM    MM
2023 09 28 19 15 180  5.7  6.7    MM    MM    MM  MM     MM   9.2    MM   7.0   MM   MM    MM
2023 09 28 19 04 180  6.2  7.7    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 18 55 180  6.7  8.2    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 18 45 180  6.2  8.2    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 18 35 180  7.2  9.3    MM    MM    MM  MM     MM   9.0    MM   6.8   MM   MM    MM
2023 09 28 18 25 170  6.7  9.3    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 18 15 170  6.7 10.3    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 18 05 170  6.7 10.3    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 17 54 170  6.7  9.8    MM    MM    MM  MM     MM   9.2    MM   7.0   MM   MM    MM
2023 09 28 17 45 170  7.2  9.3    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 17 35 170  7.7  9.8    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 17 25 170  7.2  9.3    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 17 15 170  6.7  9.8    MM    MM    MM  MM     MM   9.2    MM   7.0   MM   MM    MM
2023 09 28 17 05 170  6.7 11.8    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 16 55 170  7.2  9.3    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 16 45 170  6.7  9.8    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 16 35 170  6.7  8.8    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 16 25 160  7.2  9.8    MM    MM    MM  MM     MM   9.1    MM   6.9   MM   MM    MM
2023 09 28 16 15 180  6.7  9.3    MM    MM    MM  MM     MM   9.2    MM   6.9   MM   MM    MM
2023 09 28 16 05 180  6.7  8.8    MM    MM    MM  MM     MM   9.2    MM   6.8   MM   MM    MM
2023 09 28 15 55 180  6.2  8.8    MM    MM    MM  MM     MM   9.2    MM   6.9   MM   MM    MM
2023 09 28 15 45 180  6.7  8.8    MM    MM    MM  MM     MM   9.2    MM   6.9   MM   MM    MM
2023 09 28 15 34 180  7.2  9.8    MM    MM    MM  MM     MM   9.2    MM   6.8   MM   MM    MM
2023 09 28 15 25 180  7.7 10.8    MM    MM    MM  MM     MM   9.2    MM   6.7   MM   MM    MM
2023 09 28 15 15 180  7.2 10.3    MM    MM    MM  MM     MM   9.2    MM   6.8   MM   MM    MM
2023 09 28 15 05 170  6.7  9.3    MM    MM    MM  MM     MM   9.2    MM   7.0   MM   MM    MM
2023 09 28 14 55 170  7.2 10.3    MM    MM    MM  MM     MM   9.3    MM   6.8   MM   MM    MM
2023 09 28 14 45 170  7.2 10.8    MM    MM    MM  MM     MM   9.3    MM   6.7   MM   MM    MM
2023 09 28 14 35 170  6.7 10.8    MM    MM    MM  MM     MM   9.2    MM   6.8   MM   MM    MM
2023 09 28 14 25 170  6.7  9.8    MM    MM    MM  MM     MM   9.1    MM   6.8   MM   MM    MM
2023 09 28 14 15 170  7.2  9.8    MM    MM    MM  MM     MM   9.2    MM   6.8   MM   MM    MM
2023 09 28 14 04 180  7.2 10.8    MM    MM    MM  MM     MM   9.4    MM   6.8   MM   MM    MM
2023 09 28 13 55 180  7.2 10.8    MM    MM    MM  MM     MM   9.3    MM   6.7   MM   MM    MM
2023 09 28 13 45 180  7.2 10.3    MM    MM    MM  MM     MM   9.4    MM   6.7   MM   MM    MM
2023 09 28 13 35 180  6.7  9.3    MM    MM    MM  MM     MM   9.4    MM   6.7   MM   MM    MM
2023 09 28 13 25 180  7.2  9.8    MM    MM    MM  MM     MM   9.4    MM   6.7   MM   MM    MM
2023 09 28 13 15 190  7.7  9.8    MM    MM    MM  MM     MM   9.4    MM   6.7   MM   MM    MM
2023 09 28 13 05 190  8.8 10.8    MM    MM    MM  MM     MM   9.4    MM   6.5   MM   MM    MM
2023 09 28 12 56 190  9.3 10.8    MM    MM    MM  MM     MM   9.5    MM   6.5   MM   MM    MM
2023 09 28 12 44 190  8.8 10.8    MM    MM    MM  MM     MM   9.5    MM   6.4   MM   MM    MM
2023 09 28 12 35 190  7.7 10.8    MM    MM    MM  MM     MM   9.6    MM   6.5   MM   MM    MM
2023 09 28 12 25 190  8.2 10.3    MM    MM    MM  MM     MM   9.6    MM   6.6   MM   MM    MM
2023 09 28 12 15 190  8.2 11.3    MM    MM    MM  MM     MM   9.6    MM   6.5   MM   MM    MM
2023 09 28 12 04 190  7.7  9.8    MM    MM    MM  MM     MM   9.6    MM   6.7   MM   MM    MM
2023 09 28 11 55 190  8.8 10.8    MM    MM    MM  MM     MM   9.6    MM   6.5   MM   MM    MM
2023 09 28 11 45 190  8.2 10.8    MM    MM    MM  MM     MM   9.7    MM   6.5   MM   MM    MM
2023 09 28 11 34 190  8.2  9.8    MM    MM    MM  MM     MM   9.7    MM   6.4   MM   MM    MM
2023 09 28 11 25 190  8.2  9.8    MM    MM    MM  MM     MM   9.7    MM   6.4   MM   MM    MM
2023 09 28 11 14 190  8.8 10.3    MM    MM    MM  MM     MM   9.6    MM   6.4   MM   MM    MM
2023 09 28 11 05 190  9.8 12.4    MM    MM    MM  MM     MM   9.6    MM   6.4   MM   MM    MM
2023 09 28 10 55 190  9.3 11.8    MM    MM    MM  MM     MM   9.7    MM   6.4   MM   MM    MM
2023 09 28 10 44 190  9.8 11.8    MM    MM    MM  MM     MM   9.6    MM   6.4   MM   MM    MM
2023 09 28 10 25 190  9.3 12.4    MM    MM    MM  MM     MM   9.6    MM   6.5   MM   MM    MM
2023 09 28 10 15 190  9.3 11.3    MM    MM    MM  MM     MM   9.7    MM   6.5   MM   MM    MM
2023 09 28 10 05 190  8.2 11.3    MM    MM    MM  MM     MM   9.6    MM   6.7   MM   MM    MM
2023 09 28 09 55 190  9.3 11.8    MM    MM    MM  MM     MM   9.7    MM   6.6   MM   MM    MM
2023 09 28 09 45 190 10.3 12.4    MM    MM    MM  MM     MM   9.7    MM   6.6   MM   MM    MM
2023 09 28 09 35 190 10.8 13.4    MM    MM    MM  MM     MM   9.8    MM   6.5   MM   MM    MM
2023 09 28 09 25 190 10.3 12.9    MM    MM    MM  MM     MM   9.8    MM   6.5   MM   MM    MM
2023 09 28 09 15 190 10.3 12.4    MM    MM    MM  MM     MM   9.8    MM   6.5   MM   MM    MM
