#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 00  10 12.9 14.4    MM    MM    MM  MM 1012.8  24.8  26.9  24.8   MM -1.0    MM
2023 09 28 20 00  20 13.9 14.9    MM    MM    MM  MM 1013.0  24.9  27.1  24.9   MM -1.2    MM
2023 09 28 19 00  30 14.4 16.5    MM    MM    MM  MM 1013.4  23.9  27.2  23.9   MM -0.6    MM
2023 09 28 18 00  10 13.9 17.0    MM    MM    MM  MM 1013.8  25.0  27.3  25.0   MM -0.5    MM
2023 09 28 17 00  10 16.0 17.5    MM    MM    MM  MM 1014.2  25.0  27.2  25.0   MM +0.0    MM
2023 09 28 16 00  10 15.4 17.5    MM    MM    MM  MM 1014.0  25.4  27.3  25.4   MM +0.0    MM
2023 09 28 15 00 360 12.9 14.9    MM    MM    MM  MM 1014.3  24.9  27.4  24.9   MM +0.7    MM
2023 09 28 14 00  10 13.9 15.4    MM    MM    MM  MM 1014.0  25.9  27.4  25.9   MM +1.0    MM
2023 09 28 13 00  20 13.4 14.9    MM    MM    MM  MM 1014.0  26.2  27.4  26.2   MM +1.2    MM
2023 09 28 12 00  20 12.4 13.9    MM    MM    MM  MM 1013.6  25.6  27.5  25.6   MM +1.3    MM
2023 09 28 11 00  20 12.4 13.9    MM    MM    MM  MM 1013.0  25.9  27.4  25.9   MM +0.7    MM
2023 09 28 10 00  20 12.4 13.9    MM    MM    MM  MM 1012.8  25.3  27.3  25.3   MM -0.0    MM
2023 09 28 09 00  20 13.4 15.4    MM    MM    MM  MM 1012.3  25.3  27.3  25.3   MM -1.2    MM
2023 09 28 08 00  20 12.9 14.4    MM    MM    MM  MM 1012.3  25.6  27.4  25.6   MM -1.6    MM
2023 09 28 07 00  30 12.9 14.4    MM    MM    MM  MM 1012.9  25.3  27.5  25.3   MM -1.6    MM
2023 09 28 06 00  20 11.8 13.4    MM    MM    MM  MM 1013.5  25.4  27.6  25.4   MM -1.0    MM
2023 09 28 05 00  30 10.3 10.8    MM    MM    MM  MM 1013.9  26.1  27.6  26.1   MM -0.5    MM
2023 09 28 04 00  40  8.8 10.3    MM    MM    MM  MM 1014.5  25.4  27.6  25.4   MM +0.4    MM
2023 09 28 03 00  50  8.8  9.8    MM    MM    MM  MM 1014.5  25.3  27.7  25.3   MM +0.9    MM
2023 09 28 02 00  40  7.2  7.2    MM    MM    MM  MM 1014.4  26.0  27.7  26.0   MM +0.8    MM
2023 09 28 01 00  40  8.8  9.3    MM    MM    MM  MM 1014.1  25.6  27.8  25.6   MM +0.5    MM
2023 09 28 00 00  30 12.4 13.4    MM    MM    MM  MM 1013.6  26.5  28.0  26.5   MM +0.0    MM
2023 09 27 23 00  30 10.8 11.8    MM    MM    MM  MM 1013.6  26.5  28.0  26.5   MM +0.0    MM
2023 09 27 22 00  40  9.8 10.8    MM    MM    MM  MM 1013.6  26.6  28.1  26.6   MM +0.0    MM
2023 09 27 21 00 360  7.2  8.2    MM    MM    MM  MM 1013.4  25.6  28.1  25.6   MM -1.3    MM
2023 09 27 20 00 360  7.7  8.8    MM    MM    MM  MM 1013.5  25.8  28.1  25.8   MM -1.9    MM
2023 09 27 19 00  40  4.6  5.1    MM    MM    MM  MM 1013.7  25.5  28.2  25.5   MM -2.0    MM
2023 09 27 18 00 340  4.1  5.1    MM    MM    MM  MM 1014.7  24.4  28.2  24.4   MM -1.4    MM
2023 09 27 17 00  20  5.7  6.2    MM    MM    MM  MM 1015.4  26.7  28.1  26.7   MM -0.6    MM
2023 09 27 16 00  10  4.6  4.6    MM    MM    MM  MM 1015.7  26.3  28.0  26.3   MM -0.3    MM
2023 09 27 15 00  10  2.6  2.6    MM    MM    MM  MM 1016.1  26.0  27.9  26.0   MM +0.8    MM
2023 09 27 14 00 330  1.0  1.5    MM    MM    MM  MM 1016.0  25.2  27.8  25.2   MM +0.9    MM
2023 09 27 13 00 300  2.1  2.6    MM    MM    MM  MM 1016.0  24.6  27.8  24.6   MM +1.4    MM
2023 09 27 12 00 280  2.1  2.1    MM    MM    MM  MM 1015.3  24.1  27.9  24.1   MM +0.9    MM
2023 09 27 11 00 280  2.1  2.6    MM    MM    MM  MM 1015.1  23.9  27.8  23.9   MM +0.6    MM
2023 09 27 10 00 350  1.0  1.0    MM    MM    MM  MM 1014.6  24.3  28.1  24.3   MM -0.3    MM
2023 09 27 09 00 310  1.0  1.0    MM    MM    MM  MM 1014.4  23.8  28.0  23.8   MM -1.1    MM
2023 09 27 08 00 280  1.0  1.0    MM    MM    MM  MM 1014.5  23.3  28.2  23.3   MM -1.3    MM
2023 09 27 07 00 260  2.1  2.6    MM    MM    MM  MM 1014.9  23.3  28.2  23.3   MM -1.2    MM
2023 09 27 06 00 240  2.1  2.6    MM    MM    MM  MM 1015.5  23.6  28.2  23.6   MM -1.6    MM
2023 09 27 05 00 220  2.6  3.1    MM    MM    MM  MM 1015.8  24.0  28.3  24.0   MM -1.1    MM
2023 09 27 04 00 190  3.1  3.6    MM    MM    MM  MM 1016.1  24.6  28.4  24.6   MM -0.6    MM
2023 09 27 03 00 140  6.2  6.7    MM    MM    MM  MM 1017.1  25.0  28.4  25.0   MM +1.3    MM
2023 09 27 02 00 120  5.7  6.2    MM    MM    MM  MM 1016.9  25.0  28.5  25.0   MM +1.1    MM
2023 09 27 01 00 110  2.6  3.1    MM    MM    MM  MM 1016.7  23.8  28.7  23.8   MM +0.5    MM
2023 09 27 00 00 280  1.0  1.5    MM    MM    MM  MM 1015.8  23.8  28.8  23.8   MM +1.2    MM
2023 09 26 23 00 110  6.2  7.2    MM    MM    MM  MM 1015.8  24.2  28.8  24.2   MM +1.0    MM
2023 09 26 22 00 350  9.8 12.9    MM    MM    MM  MM 1016.2  22.7  28.9  22.7   MM +0.7    MM
2023 09 26 21 00 130  8.2  8.8    MM    MM    MM  MM 1014.6  28.0  28.9  27.4   MM -1.3    MM
2023 09 26 20 00 130  8.2  8.8    MM    MM    MM  MM 1014.8  27.8  28.9  26.9   MM -2.0    MM
2023 09 26 19 00 140  6.2  6.7    MM    MM    MM  MM 1015.5  28.0  28.7  26.9   MM -2.2    MM
2023 09 26 18 00 130  6.7  7.2    MM    MM    MM  MM 1015.9  27.7  28.8  26.5   MM -2.6    MM
2023 09 26 17 00 140  7.2  7.7    MM    MM    MM  MM 1016.8  28.0  28.5  26.5   MM -1.6    MM
2023 09 26 16 00 140  6.7  6.7    MM    MM    MM  MM 1017.7  27.8  28.5  26.9   MM +0.0    MM
2023 09 26 15 00 120  4.6  4.6    MM    MM    MM  MM 1018.5  27.8  28.3  27.1   MM +1.3    MM
2023 09 26 14 00 120  4.1  4.6    MM    MM    MM  MM 1018.4  27.6  28.1  26.4   MM +1.4    MM
2023 09 26 13 00 120  3.1  3.6    MM    MM    MM  MM 1017.7  27.6  28.0  26.6   MM +0.9    MM
2023 09 26 12 00 100  1.5  1.5    MM    MM    MM  MM 1017.2  26.7  28.1  26.3   MM +0.5    MM
2023 09 26 11 00  MM  0.0  0.0    MM    MM    MM  MM 1017.0  25.0  28.2  24.5   MM +0.3    MM
2023 09 26 10 00 250  0.5  0.5    MM    MM    MM  MM 1016.8  24.4  28.1  24.1   MM +0.0    MM
2023 09 26 09 00 270  1.0  1.5    MM    MM    MM  MM 1016.7  24.0  28.1  23.7   MM -0.7    MM
2023 09 26 08 00 240  0.5  0.5    MM    MM    MM  MM 1016.7  23.9  28.2  23.9   MM -0.8    MM
2023 09 26 07 00 220  1.0  1.0    MM    MM    MM  MM 1016.8  23.8  28.2  23.8   MM -1.1    MM
2023 09 26 06 00  MM  0.0  0.5    MM    MM    MM  MM 1017.4  23.8  28.2  23.8   MM -1.1    MM
2023 09 26 05 00 180  3.6  4.1    MM    MM    MM  MM 1017.5  24.3  28.2  24.1   MM -0.6    MM
2023 09 26 04 00 170  5.7  6.2    MM    MM    MM  MM 1017.9  24.0  28.3  23.8   MM +0.7    MM
2023 09 26 03 00 180  5.7  6.2    MM    MM    MM  MM 1018.5  23.4  28.4  22.9   MM +1.6    MM
2023 09 26 02 00 170 12.4 16.5    MM    MM    MM  MM 1018.1  27.3  28.6  24.9   MM +1.9    MM
2023 09 26 01 00 120  4.6  5.1    MM    MM    MM  MM 1017.2  27.5  28.7  25.4   MM +1.1    MM
2023 09 26 00 00 120  4.6  5.1    MM    MM    MM  MM 1016.9  27.9  28.8  24.7   MM +1.0    MM
2023 09 25 23 00  80  4.6  5.1    MM    MM    MM  MM 1016.2  28.1  28.8  23.0   MM +0.3    MM
2023 09 25 22 00  80  4.1  4.1    MM    MM    MM  MM 1016.1  27.9  28.8  23.2   MM -0.0    MM
2023 09 25 21 00  90  5.1  5.7    MM    MM    MM  MM 1015.9  27.9  28.6  23.6   MM -1.1    MM
2023 09 25 20 00  70  5.1  5.1    MM    MM    MM  MM 1015.9  27.8  28.8  24.4   MM -1.8    MM
2023 09 25 19 00  90  4.6  5.1    MM    MM    MM  MM 1016.3  27.8  28.9  23.9   MM -1.3    MM
2023 09 25 18 00 100  4.1  4.6    MM    MM    MM  MM 1017.0  28.1  28.6  24.0   MM -0.4    MM
2023 09 25 17 00  50  4.1  4.1    MM    MM    MM  MM 1017.7  27.3  28.3  24.9   MM +0.5    MM
2023 09 25 16 00  50  3.6  3.6    MM    MM    MM  MM 1017.6  26.9  28.0  24.7   MM +0.6    MM
2023 09 25 15 00  20  4.1  4.1    MM    MM    MM  MM 1017.4  26.4  27.8  24.3   MM +1.2    MM
2023 09 25 14 00  10  3.1  3.1    MM    MM    MM  MM 1017.2  26.0  27.7  23.4   MM +1.7    MM
2023 09 25 13 00 290  0.5  1.0    MM    MM    MM  MM 1017.0  26.4  27.6  24.0   MM +1.7    MM
2023 09 25 12 00 310  1.0  1.0    MM    MM    MM  MM 1016.2  23.9  27.7  22.3   MM +1.0    MM
2023 09 25 11 00 340  2.1  2.1    MM    MM    MM  MM 1015.5  22.7  27.8  21.3   MM +0.5    MM
2023 09 25 10 00 230  1.0  1.5    MM    MM    MM  MM 1015.3  23.4  27.7  21.0   MM +0.0    MM
2023 09 25 09 00 220  2.1  2.6    MM    MM    MM  MM 1015.2  23.6  27.7  20.8   MM -0.5    MM
2023 09 25 08 00 220  2.6  3.1    MM    MM    MM  MM 1015.0  23.6  27.5  20.4   MM -0.7    MM
2023 09 25 07 00 200  2.1  2.6    MM    MM    MM  MM 1015.2  24.4  27.7  20.6   MM -0.4    MM
2023 09 25 06 00 190  3.1  3.1    MM    MM    MM  MM 1015.7  24.8  27.6  20.3   MM +0.0    MM
2023 09 25 05 00 190  3.1  3.6    MM    MM    MM  MM 1015.7  24.6  27.6  20.4   MM +0.6    MM
2023 09 25 04 00 200  3.1  3.6    MM    MM    MM  MM 1015.6  24.9  27.7  20.5   MM +0.8    MM
2023 09 25 03 00 160  7.2  7.7    MM    MM    MM  MM 1015.5  27.3  27.7  20.0   MM +0.8    MM
2023 09 25 02 00 160  5.1  5.7    MM    MM    MM  MM 1015.1  27.2  27.8  19.8   MM +0.9    MM
2023 09 25 01 00 160  6.2  6.7    MM    MM    MM  MM 1014.8  27.2  28.0  19.5   MM +1.0    MM
2023 09 25 00 00 160  6.7  7.2    MM    MM    MM  MM 1014.7  27.3  28.1  19.7   MM +1.1    MM
2023 09 24 23 00 150  7.7  8.2    MM    MM    MM  MM 1014.2  27.4  28.1  17.5   MM +0.5    MM
2023 09 24 22 00 150  5.7  6.2    MM    MM    MM  MM 1013.8  27.5  28.1  16.4   MM +0.0    MM
2023 09 24 21 00 140  6.7  7.2    MM    MM    MM  MM 1013.6  27.5  28.1  14.8   MM -0.7    MM
2023 09 24 20 00 130  5.7  6.7    MM    MM    MM  MM 1013.7  27.7  28.0  14.3   MM -1.1    MM
2023 09 24 19 00 130  5.1  5.7    MM    MM    MM  MM 1013.8  27.6  28.0  16.1   MM -1.5    MM
2023 09 24 18 00 130  4.6  5.1    MM    MM    MM  MM 1014.3  27.5  27.8  16.9   MM -1.3    MM
2023 09 24 17 00 130  3.6  4.1    MM    MM    MM  MM 1014.8  27.4  27.7  17.5   MM -0.5    MM
2023 09 24 16 00 240  1.5  2.1    MM    MM    MM  MM 1015.3  29.7  27.5  17.1   MM +0.5    MM
2023 09 24 15 00 280  2.1  3.1    MM    MM    MM  MM 1015.6  27.5  27.0  17.4   MM +1.7    MM
2023 09 24 14 00 260  2.6  3.1    MM    MM    MM  MM 1015.3  26.2  26.9  19.9   MM +2.1    MM
2023 09 24 13 00 270  3.1  4.1    MM    MM    MM  MM 1014.8  23.4  26.9  19.6   MM +2.2    MM
2023 09 24 12 00 260  3.1  4.1    MM    MM    MM  MM 1013.9  21.2  26.9  18.7   MM +1.9    MM
2023 09 24 11 00 250  3.6  4.6    MM    MM    MM  MM 1013.2  20.5  27.0  17.9   MM +1.2    MM
2023 09 24 10 00 260  3.1  3.6    MM    MM    MM  MM 1012.6  20.5  27.2  18.7   MM +0.3    MM
2023 09 24 09 00 250  3.1  3.6    MM    MM    MM  MM 1012.0  20.8  27.3  17.9   MM -0.5    MM
2023 09 24 08 00 240  3.1  3.6    MM    MM    MM  MM 1012.0  20.7  27.6  17.2   MM -0.9    MM
2023 09 24 07 00 240  3.1  3.6    MM    MM    MM  MM 1012.3  21.5  27.3  17.1   MM -0.9    MM
2023 09 24 06 00 230  4.1  4.6    MM    MM    MM  MM 1012.5  21.8  27.4  17.0   MM -0.8    MM
2023 09 24 05 00 220  4.1  4.6    MM    MM    MM  MM 1012.9  22.3  27.5  17.0   MM +0.0    MM
2023 09 24 04 00 230  3.1  3.6    MM    MM    MM  MM 1013.2  22.6  27.6  17.2   MM +0.7    MM
2023 09 24 03 00 210  3.1  3.6    MM    MM    MM  MM 1013.3  23.9  27.7  18.1   MM +1.5    MM
2023 09 24 02 00 160  5.1  5.7    MM    MM    MM  MM 1012.9  26.6  27.8  17.1   MM +1.5    MM
2023 09 24 01 00 150  5.1  5.7    MM    MM    MM  MM 1012.5  26.6  28.0  17.3   MM +1.1    MM
2023 09 24 00 00 160  5.1  5.7    MM    MM    MM  MM 1011.8  26.6  28.1  16.4   MM +0.6    MM
2023 09 23 23 00 130  4.6  5.1    MM    MM    MM  MM 1011.4  26.5  28.2  16.4   MM -0.0    MM
2023 09 23 22 00 130  4.6  5.1    MM    MM    MM  MM 1011.4  26.3  28.3  15.1   MM -0.8    MM
2023 09 23 21 00 110  3.6  4.1    MM    MM    MM  MM 1011.2  26.2  28.3  14.1   MM -1.3    MM
2023 09 23 20 00 100  4.1  4.6    MM    MM    MM  MM 1011.6  26.2  28.3  14.8   MM -1.6    MM
2023 09 23 19 00 100  4.1  4.6    MM    MM    MM  MM 1012.2  26.2  28.1  14.3   MM -1.9    MM
2023 09 23 18 00  30  3.1  3.6    MM    MM    MM  MM 1012.5  26.5  27.9  14.4   MM -1.6    MM
2023 09 23 17 00 340  3.6  4.6    MM    MM    MM  MM 1013.2  26.3  27.8  13.9   MM -0.8    MM
2023 09 23 16 00  10  3.1  4.1    MM    MM    MM  MM 1014.1  25.2  27.7  15.6   MM +0.7    MM
2023 09 23 15 00 320  4.6  5.7    MM    MM    MM  MM 1014.1  24.8  27.7  16.0   MM +1.1    MM
2023 09 23 14 00 340  3.1  4.1    MM    MM    MM  MM 1014.0  23.5  27.5  17.3   MM +1.4    MM
2023 09 23 13 00 320  3.1  4.1    MM    MM    MM  MM 1013.4  22.5  27.5  18.1   MM +1.1    MM
2023 09 23 12 00 330  3.6  5.1    MM    MM    MM  MM 1013.0  20.4  27.6  18.2   MM +1.2    MM
2023 09 23 11 00 310  3.1  4.1    MM    MM    MM  MM 1012.6  19.7  27.6  17.9   MM +0.8    MM
2023 09 23 10 00 280  2.6  3.6    MM    MM    MM  MM 1012.3  19.8  27.7  17.8   MM -0.0    MM
2023 09 23 09 00 280  2.6  3.1    MM    MM    MM  MM 1011.8  20.3  27.7  17.7   MM -1.0    MM
2023 09 23 08 00 290  2.1  2.6    MM    MM    MM  MM 1011.8  20.9  27.8  18.0   MM -1.2    MM
2023 09 23 07 00 310  3.1  3.6    MM    MM    MM  MM 1012.1  21.2  27.7  17.7   MM -1.1    MM
2023 09 23 06 00 300  3.1  4.1    MM    MM    MM  MM 1012.8  21.6  27.8  17.7   MM -0.5    MM
2023 09 23 05 00 320  2.6  3.1    MM    MM    MM  MM 1013.0  22.6  27.8  17.9   MM -0.5    MM
2023 09 23 04 00 320  3.6  4.1    MM    MM    MM  MM 1013.2  23.0  27.9  18.0   MM +0.0    MM
2023 09 23 03 00 310  3.1  4.1    MM    MM    MM  MM 1013.3  23.3  27.9  18.3   MM +0.6    MM
2023 09 23 02 00 320  3.6  4.1    MM    MM    MM  MM 1013.5  24.3  27.9  18.0   MM +0.8    MM
2023 09 23 01 00 360  6.2  7.2    MM    MM    MM  MM 1013.1  26.3  28.0  18.1   MM +0.3    MM
2023 09 23 00 00 360  6.7  8.2    MM    MM    MM  MM 1012.7  25.9  28.1  17.8   MM +0.0    MM
2023 09 22 23 00 360  5.1  6.2    MM    MM    MM  MM 1012.7  25.9  28.3  17.4   MM +0.0    MM
2023 09 22 22 00  20  6.2  7.7    MM    MM    MM  MM 1012.8  25.9  28.3  17.7   MM -0.5    MM
