#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 50 140  2.6  2.6    MM    MM    MM  MM 1017.3   9.4    MM   7.8   MM   MM    MM
2023 09 28 20 30 140  2.6  2.6    MM    MM    MM  MM 1017.2   9.4    MM   7.2   MM   MM    MM
2023 09 28 20 10 130  2.1  2.1    MM    MM    MM  MM 1017.2   9.4    MM   7.8   MM   MM    MM
2023 09 28 19 50 140  2.1  2.6    MM    MM    MM  MM 1017.1   9.4    MM   7.8   MM   MM    MM
2023 09 28 19 30 120  3.1  3.1    MM    MM    MM  MM 1017.1   9.4    MM   7.8   MM   MM    MM
2023 09 28 19 08 130  1.5  2.1    MM    MM    MM  MM 1017.0   8.9    MM   7.8   MM   MM    MM
2023 09 28 18 50 130  2.1  2.6    MM    MM    MM  MM 1016.9   8.9    MM   7.8   MM   MM    MM
2023 09 28 18 30 150  3.1  3.1    MM    MM    MM  MM 1016.8   8.9    MM   7.8   MM   MM    MM
2023 09 28 18 10 130  1.0  1.0    MM    MM    MM  MM 1016.8   8.9    MM   7.8   MM   MM    MM
2023 09 28 17 50  90  1.0  2.1    MM    MM    MM  MM 1016.7   8.9    MM   7.8   MM   MM    MM
2023 09 28 17 30  MM  0.0  0.5    MM    MM    MM  MM 1016.7   8.9    MM   8.3   MM   MM    MM
2023 09 28 17 10  MM  0.0  1.5    MM    MM    MM  MM 1016.6   8.3    MM   7.8   MM   MM    MM
2023 09 28 16 10  MM  0.0  0.0    MM    MM    MM  MM 1016.5   8.3    MM   7.8   MM   MM    MM
2023 09 28 15 50  MM  0.0  0.0    MM    MM    MM  MM 1016.4   8.3    MM   7.8   MM   MM    MM
2023 09 28 15 30  MM  0.0  0.0    MM    MM    MM  MM 1016.4   8.3    MM   7.2   MM   MM    MM
2023 09 28 15 10  MM  0.0  0.0    MM    MM    MM  MM 1016.2   8.3    MM   7.8   MM   MM    MM
2023 09 28 14 50  MM  0.0  0.0    MM    MM    MM  MM 1016.2   8.3    MM   7.8   MM   MM    MM
2023 09 28 14 30  MM  0.0  0.5    MM    MM    MM  MM 1016.2   8.3    MM   7.2   MM   MM    MM
2023 09 28 14 10  MM  0.0  0.5    MM    MM    MM  MM 1016.1   8.3    MM   7.8   MM   MM    MM
2023 09 28 13 50  MM  0.0  0.5    MM    MM    MM  MM 1015.9   8.3    MM   7.8   MM   MM    MM
2023 09 28 13 30  MM  0.0  0.0    MM    MM    MM  MM 1015.8   8.3    MM   7.8   MM   MM    MM
2023 09 28 13 10  MM  0.0  0.0    MM    MM    MM  MM 1015.8   8.3    MM   7.8   MM   MM    MM
2023 09 28 12 50  MM  0.0  0.0    MM    MM    MM  MM 1015.6   8.3    MM   7.8   MM   MM    MM
2023 09 28 12 30  MM  0.0  0.5    MM    MM    MM  MM 1015.5   8.3    MM   7.8   MM   MM    MM
2023 09 28 12 10  MM  0.0  0.5    MM    MM    MM  MM 1015.4   8.3    MM   7.8   MM   MM    MM
2023 09 28 11 50  MM  0.0  1.0    MM    MM    MM  MM 1015.3   8.3    MM   7.8   MM   MM    MM
2023 09 28 11 30  MM  0.0  1.5    MM    MM    MM  MM 1015.2   8.3    MM   7.8   MM   MM    MM
2023 09 28 11 10 150  1.0  1.0    MM    MM    MM  MM 1015.0   8.9    MM   7.8   MM   MM    MM
2023 09 28 10 50 180  1.0  1.5    MM    MM    MM  MM 1014.9   8.9    MM   7.8   MM   MM    MM
2023 09 28 10 30 160  1.0  2.6    MM    MM    MM  MM 1014.7   8.9    MM   7.8   MM   MM    MM
2023 09 28 10 10 180  1.5  1.5    MM    MM    MM  MM 1014.6   8.9    MM   7.8   MM   MM    MM
2023 09 28 09 50 160  1.5  2.6    MM    MM    MM  MM 1014.5   8.9    MM   7.8   MM   MM    MM
2023 09 28 09 30 140  2.6  3.1    MM    MM    MM  MM 1014.3   9.4    MM   7.2   MM   MM    MM
2023 09 28 09 10 140  3.1  3.6    MM    MM    MM  MM 1014.1   9.4    MM   7.8   MM   MM    MM
2023 09 28 08 50 140  3.1  4.1    MM    MM    MM  MM 1013.9   9.4    MM   7.8   MM   MM    MM
2023 09 28 08 10 130  3.6  4.1    MM    MM    MM  MM 1013.4   9.4    MM   7.8   MM   MM    MM
2023 09 28 07 30 130  5.1  5.1    MM    MM    MM  MM 1012.9   9.4    MM   7.8   MM   MM    MM
2023 09 28 07 10 130  5.1  5.1    MM    MM    MM  MM 1012.6   9.4    MM   7.8   MM   MM    MM
2023 09 28 06 50 130  4.1  4.1    MM    MM    MM  MM 1012.5   9.4    MM   7.8   MM   MM    MM
2023 09 28 06 30 140  3.1  4.6    MM    MM    MM  MM 1012.2   9.4    MM   7.8   MM   MM    MM
2023 09 28 06 10 150  2.6  4.1    MM    MM    MM  MM 1012.0   9.4    MM   7.8   MM   MM    MM
2023 09 28 05 50 150  2.6  4.1    MM    MM    MM  MM 1011.7   9.4    MM   7.8   MM   MM    MM
2023 09 28 05 30 140  3.1  3.6    MM    MM    MM  MM 1011.4   9.4    MM   7.8   MM   MM    MM
2023 09 28 05 10 150  3.6  4.1    MM    MM    MM  MM 1011.1   9.4    MM   7.8   MM   MM    MM
2023 09 28 04 50 140  4.1  4.1    MM    MM    MM  MM 1010.9  10.0    MM   8.3   MM   MM    MM
2023 09 28 04 30 150  4.6  4.6    MM    MM    MM  MM 1010.6  10.0    MM   8.3   MM   MM    MM
2023 09 28 04 10 150  4.6  5.1    MM    MM    MM  MM 1010.3  10.0    MM   8.3   MM   MM    MM
2023 09 28 03 50 140  4.6  5.1    MM    MM    MM  MM 1010.1  10.0    MM   8.3   MM   MM    MM
2023 09 28 03 30 150  5.1  5.1    MM    MM    MM  MM 1009.7  10.0    MM   8.3   MM   MM    MM
2023 09 28 03 10 140  5.1  5.1    MM    MM    MM  MM 1009.3  10.6    MM   8.3   MM   MM    MM
2023 09 28 02 50 130  5.7  6.2    MM    MM    MM  MM 1009.0  10.6    MM   8.3   MM   MM    MM
2023 09 28 02 30 130  7.2  7.7    MM    MM    MM  MM 1008.5  10.6    MM   8.3   MM   MM    MM
2023 09 28 02 10 140  6.7  6.7    MM    MM    MM  MM 1008.2  10.0    MM   8.3   MM   MM    MM
2023 09 28 01 50 150  5.1  7.2    MM    MM    MM  MM 1007.8  10.6    MM   8.3   MM   MM    MM
2023 09 28 01 10 150  6.2  7.7    MM    MM    MM  MM 1007.0  10.6    MM   8.3   MM   MM    MM
2023 09 28 00 50 150  7.7  7.7    MM    MM    MM  MM 1006.7  10.6    MM   8.3   MM   MM    MM
2023 09 28 00 30 150  6.7  7.2    MM    MM    MM  MM 1006.3  10.6    MM   8.3   MM   MM    MM
2023 09 28 00 10 140  7.7  7.7    MM    MM    MM  MM 1005.7  11.1    MM   8.3   MM   MM    MM
2023 09 27 23 50 150  8.2  9.3    MM    MM    MM  MM 1005.4  11.1    MM   8.3   MM   MM    MM
2023 09 27 23 30 150  7.2  9.3    MM    MM    MM  MM 1004.9  11.1    MM   8.3   MM   MM    MM
2023 09 27 23 10 150  8.8  9.3    MM    MM    MM  MM 1004.4  11.1    MM   8.3   MM   MM    MM
2023 09 27 22 50 160  8.8  9.3    MM    MM    MM  MM 1004.0  11.1    MM   8.9   MM   MM    MM
2023 09 27 22 30 140  8.8  8.8    MM    MM    MM  MM 1003.7  11.1    MM   8.9   MM   MM    MM
2023 09 27 22 10 150  7.7  8.2    MM    MM    MM  MM 1003.5  11.1    MM   8.9   MM   MM    MM
2023 09 27 21 50 140  7.7  7.7    MM    MM    MM  MM 1003.2  11.7    MM   8.9   MM   MM    MM
2023 09 27 21 30 140  7.2  7.2    MM    MM    MM  MM 1002.9  11.7    MM   8.9   MM   MM    MM
2023 09 27 21 10 150  8.2  8.2    MM    MM    MM  MM 1002.4  11.7    MM   8.9   MM   MM    MM
2023 09 27 20 50 170  3.6  5.1    MM    MM    MM  MM 1002.3  11.7    MM  10.0   MM   MM    MM
2023 09 27 20 30 180  4.1  4.6    MM    MM    MM  MM 1002.0  11.7    MM  10.0   MM   MM    MM
2023 09 27 20 10 170  2.6  3.6    MM    MM    MM  MM 1001.8  11.7    MM  10.0   MM   MM    MM
2023 09 27 19 50 160  3.6  4.1    MM    MM    MM  MM 1001.6  11.7    MM  10.0   MM   MM    MM
2023 09 27 19 30 150  4.6  5.1    MM    MM    MM  MM 1001.2  11.7    MM  10.0   MM   MM    MM
2023 09 27 19 10 160  3.6  4.6    MM    MM    MM  MM 1000.8  11.7    MM  10.6   MM   MM    MM
2023 09 27 18 50 170  3.6  4.1    MM    MM    MM  MM 1000.5  11.1    MM  10.6   MM   MM    MM
2023 09 27 18 30  50  1.0  1.0    MM    MM    MM  MM 1000.3  10.0    MM   9.4   MM   MM    MM
2023 09 27 18 10  MM  0.0  2.1    MM    MM    MM  MM 1000.1  10.0    MM   9.4   MM   MM    MM
2023 09 27 17 50  MM  0.0  1.0    MM    MM    MM  MM  999.8  10.0    MM   9.4   MM   MM    MM
2023 09 27 17 30  MM  0.0  1.0    MM    MM    MM  MM  999.6  10.0    MM   9.4   MM   MM    MM
2023 09 27 17 10  80  1.0  1.5    MM    MM    MM  MM  999.4   9.4    MM   8.9   MM   MM    MM
2023 09 27 16 50 180  1.0  1.5    MM    MM    MM  MM  999.4   9.4    MM   8.9   MM   MM    MM
2023 09 27 16 30 200  1.0  1.0    MM    MM    MM  MM  999.2   9.4    MM   8.9   MM   MM    MM
2023 09 27 16 10 130  1.0  1.0    MM    MM    MM  MM  999.1   9.4    MM   8.9   MM   MM    MM
2023 09 27 15 50 110  1.5  2.1    MM    MM    MM  MM  999.2   9.4    MM   8.9   MM   MM    MM
2023 09 27 15 30 170  1.5  2.1    MM    MM    MM  MM  999.2   9.4    MM   8.9   MM   MM    MM
2023 09 27 15 10  MM  0.0  0.0    MM    MM    MM  MM  998.8   9.4    MM   8.9   MM   MM    MM
2023 09 27 14 50 210  1.0  1.0    MM    MM    MM  MM  998.9   9.4    MM   8.9   MM   MM    MM
2023 09 27 14 30 210  1.0  1.0    MM    MM    MM  MM  999.0   9.4    MM   8.9   MM   MM    MM
2023 09 27 14 10 120  2.1  2.1    MM    MM    MM  MM  999.1   9.4    MM   8.9   MM   MM    MM
2023 09 27 13 50 220  1.5  1.5    MM    MM    MM  MM  999.0  10.0    MM   9.4   MM   MM    MM
2023 09 27 13 30 300  1.0  1.5    MM    MM    MM  MM  998.5  10.0    MM   9.4   MM   MM    MM
2023 09 27 13 10  MM  0.0  0.5    MM    MM    MM  MM  998.9  10.0    MM   9.4   MM   MM    MM
2023 09 27 12 50 130  1.0  1.0    MM    MM    MM  MM  999.0  10.0    MM   8.9   MM   MM    MM
2023 09 27 12 30  MM  0.0  1.0    MM    MM    MM  MM  998.8   9.4    MM   8.9   MM   MM    MM
2023 09 27 11 50 320  1.0  1.5    MM    MM    MM  MM  998.8  10.0    MM   9.4   MM   MM    MM
2023 09 27 11 30  MM  0.0  0.5    MM    MM    MM  MM  998.9  10.0    MM   9.4   MM   MM    MM
2023 09 27 11 10  MM  0.0  0.5    MM    MM    MM  MM  999.0  10.0    MM   9.4   MM   MM    MM
2023 09 27 10 30  MM  0.0  1.0    MM    MM    MM  MM  999.2  10.0    MM   9.4   MM   MM    MM
2023 09 27 10 10  MM  0.0  0.5    MM    MM    MM  MM  999.4  10.0    MM   9.4   MM   MM    MM
2023 09 27 09 50  MM  0.0  0.5    MM    MM    MM  MM  999.4  10.0    MM   9.4   MM   MM    MM
2023 09 27 09 30 350  1.5  2.1    MM    MM    MM  MM  999.2  10.0    MM   9.4   MM   MM    MM
2023 09 27 09 10  MM  0.0  0.5    MM    MM    MM  MM  999.4  10.0    MM   9.4   MM   MM    MM
2023 09 27 08 50  MM  0.0  1.0    MM    MM    MM  MM  999.6  10.0    MM   9.4   MM   MM    MM
