#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 45 170  2.1   MM    MM    MM    MM  MM 1012.0  26.3    MM  12.3   MM   MM    MM
2023 09 28 20 30 180  2.6   MM    MM    MM    MM  MM 1012.0  26.1    MM  12.5   MM   MM    MM
2023 09 28 20 15 180  3.1   MM    MM    MM    MM  MM 1012.0  25.3    MM  12.8   MM   MM    MM
2023 09 28 20 00 180  2.6   MM    MM    MM    MM  MM 1013.0  24.8    MM  12.6   MM -1.0    MM
2023 09 28 19 45 200  2.6   MM    MM    MM    MM  MM 1013.0  24.4    MM  12.9   MM   MM    MM
2023 09 28 19 30 210  2.6   MM    MM    MM    MM  MM 1013.0  24.1    MM  12.9   MM   MM    MM
2023 09 28 19 15 230  2.6   MM    MM    MM    MM  MM 1013.0  23.7    MM  12.9   MM   MM    MM
2023 09 28 19 00 210  2.6   MM    MM    MM    MM  MM 1013.0  23.4    MM  13.2   MM -1.0    MM
2023 09 28 18 45 210  2.1   MM    MM    MM    MM  MM 1013.0  22.9    MM  12.7   MM   MM    MM
2023 09 28 18 30 200  2.1   MM    MM    MM    MM  MM 1014.0  22.6    MM  12.7   MM   MM    MM
2023 09 28 18 15 200  2.1   MM    MM    MM    MM  MM 1014.0  22.0    MM  12.7   MM   MM    MM
2023 09 28 18 00 220  1.5   MM    MM    MM    MM  MM 1014.0  21.7    MM  13.0   MM +0.0    MM
2023 09 28 17 45 200  1.5   MM    MM    MM    MM  MM 1014.0  21.2    MM  13.3   MM   MM    MM
2023 09 28 17 30 190  1.5   MM    MM    MM    MM  MM 1014.0  20.8    MM  13.2   MM   MM    MM
2023 09 28 17 15 190  2.1   MM    MM    MM    MM  MM 1014.0  20.3    MM  13.2   MM   MM    MM
2023 09 28 17 00 200  1.5   MM    MM    MM    MM  MM 1014.0  19.6    MM  13.2   MM +1.0    MM
2023 09 28 16 45 210  1.5   MM    MM    MM    MM  MM 1014.0  18.8    MM  13.1   MM   MM    MM
2023 09 28 16 30 220  1.5   MM    MM    MM    MM  MM 1014.0  18.2    MM  13.4   MM   MM    MM
2023 09 28 16 15 230  1.5   MM    MM    MM    MM  MM 1014.0  17.4    MM  13.4   MM   MM    MM
2023 09 28 16 00 240  1.5   MM    MM    MM    MM  MM 1014.0  16.6    MM  13.6   MM +1.0    MM
2023 09 28 15 45 240  1.0   MM    MM    MM    MM  MM 1014.0  15.8    MM  14.0   MM   MM    MM
2023 09 28 15 30 240  1.0   MM    MM    MM    MM  MM 1014.0  14.9    MM  13.8   MM   MM    MM
2023 09 28 15 15 250  1.0   MM    MM    MM    MM  MM 1014.0  14.1    MM  13.3   MM   MM    MM
2023 09 28 15 00 300  0.5   MM    MM    MM    MM  MM 1014.0  13.4    MM  12.8   MM +1.0    MM
2023 09 28 14 45 280  1.0   MM    MM    MM    MM  MM 1014.0  12.7    MM  12.1   MM   MM    MM
2023 09 28 14 30 260  2.1   MM    MM    MM    MM  MM 1013.0  12.3    MM  11.7   MM   MM    MM
2023 09 28 14 15 250  1.5   MM    MM    MM    MM  MM 1013.0  11.7    MM  11.1   MM   MM    MM
2023 09 28 14 00 260  1.0   MM    MM    MM    MM  MM 1013.0  11.6    MM  11.0   MM +0.0    MM
2023 09 28 13 45  MM  0.0   MM    MM    MM    MM  MM 1013.0  12.3    MM  11.5   MM   MM    MM
2023 09 28 13 30  MM  0.0   MM    MM    MM    MM  MM 1013.0  12.7    MM  12.1   MM   MM    MM
2023 09 28 13 15  MM  0.0   MM    MM    MM    MM  MM 1013.0  12.6    MM  11.8   MM   MM    MM
2023 09 28 13 00 340  0.5   MM    MM    MM    MM  MM 1013.0  11.9    MM  11.1   MM +0.0    MM
2023 09 28 12 45  MM  0.0   MM    MM    MM    MM  MM 1013.0  11.7    MM  10.8   MM   MM    MM
2023 09 28 12 30  MM  0.0   MM    MM    MM    MM  MM 1013.0  13.0    MM  12.1   MM   MM    MM
2023 09 28 12 15 200  1.5   MM    MM    MM    MM  MM 1013.0  13.6    MM  12.7   MM   MM    MM
2023 09 28 12 00 210  1.5   MM    MM    MM    MM  MM 1013.0  13.3    MM  12.4   MM +0.0    MM
2023 09 28 11 45 240  1.0   MM    MM    MM    MM  MM 1014.0  13.2    MM  12.1   MM   MM    MM
2023 09 28 11 30  MM  0.0   MM    MM    MM    MM  MM 1013.0  13.3    MM  12.0   MM   MM    MM
2023 09 28 11 15 230  1.5   MM    MM    MM    MM  MM 1013.0  13.8    MM  12.5   MM   MM    MM
2023 09 28 11 00 250  2.1   MM    MM    MM    MM  MM 1013.0  14.1    MM  12.8   MM -1.0    MM
2023 09 28 10 45 260  2.6   MM    MM    MM    MM  MM 1013.0  14.2    MM  12.9   MM   MM    MM
2023 09 28 10 30 260  2.6   MM    MM    MM    MM  MM 1013.0  14.5    MM  13.1   MM   MM    MM
2023 09 28 10 15 270  3.6   MM    MM    MM    MM  MM 1013.0  14.6    MM  13.2   MM   MM    MM
2023 09 28 10 00 270  3.1   MM    MM    MM    MM  MM 1013.0  14.6    MM  13.2   MM -1.0    MM
2023 09 28 09 45 260  2.6   MM    MM    MM    MM  MM 1013.0  14.4    MM  13.0   MM   MM    MM
2023 09 28 09 30 260  2.6   MM    MM    MM    MM  MM 1013.0  14.4    MM  13.0   MM   MM    MM
2023 09 28 09 15 260  2.6   MM    MM    MM    MM  MM 1013.0  14.7    MM  13.1   MM   MM    MM
2023 09 28 09 00 250  2.6   MM    MM    MM    MM  MM 1013.0  14.8    MM  13.2   MM -1.0    MM
2023 09 28 08 45 250  3.1   MM    MM    MM    MM  MM 1013.0  14.8    MM  13.0   MM   MM    MM
2023 09 28 08 30 240  3.1   MM    MM    MM    MM  MM 1014.0  15.0    MM  13.2   MM   MM    MM
2023 09 28 08 15 240  2.6   MM    MM    MM    MM  MM 1014.0  14.9    MM  13.3   MM   MM    MM
2023 09 28 08 00 230  2.1   MM    MM    MM    MM  MM 1014.0  14.9    MM  13.3   MM +0.0    MM
