#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 00  MM   MM   MM    MM    MM    MM  MM 1013.7  24.7    MM    MM   MM -1.6    MM
2023 09 28 20 00  MM   MM   MM    MM    MM    MM  MM 1014.2  24.3    MM    MM   MM -1.6    MM
2023 09 28 19 00  MM   MM   MM    MM    MM    MM  MM 1014.7  24.2    MM    MM   MM -1.7    MM
2023 09 28 18 00  MM   MM   MM    MM    MM    MM  MM 1015.3  23.7    MM    MM   MM -0.8    MM
2023 09 28 17 00  MM   MM   MM    MM    MM    MM  MM 1015.8  23.5    MM    MM   MM -0.8    MM
2023 09 28 16 00  MM   MM   MM    MM    MM    MM  MM 1016.4  23.8    MM    MM   MM +0.0    MM
2023 09 28 15 00  MM   MM   MM    MM    MM    MM  MM 1016.1  23.0    MM    MM   MM +0.7    MM
2023 09 28 14 00  MM   MM   MM    MM    MM    MM  MM 1016.6  23.2    MM    MM   MM +1.7    MM
2023 09 28 13 00  MM   MM   MM    MM    MM    MM  MM 1016.2  23.6    MM    MM   MM   MM    MM
2023 09 28 12 00  MM   MM   MM    MM    MM    MM  MM 1015.4  23.7    MM    MM   MM +1.7    MM
2023 09 28 11 00  MM   MM   MM    MM    MM    MM  MM 1014.9  23.8    MM    MM   MM +1.3    MM
2023 09 28 09 00  MM   MM   MM    MM    MM    MM  MM 1013.7  24.4    MM    MM   MM -0.6    MM
2023 09 28 08 00  MM   MM   MM    MM    MM    MM  MM 1013.6  24.8    MM    MM   MM -1.6    MM
2023 09 28 07 00  MM   MM   MM    MM    MM    MM  MM 1014.0  25.2    MM    MM   MM -1.4    MM
2023 09 28 06 00  MM   MM   MM    MM    MM    MM  MM 1014.3  25.4    MM    MM   MM -0.9    MM
2023 09 28 05 00  MM   MM   MM    MM    MM    MM  MM 1015.2  25.6    MM    MM   MM +0.0    MM
2023 09 28 04 00  MM   MM   MM    MM    MM    MM  MM 1015.4  25.7    MM    MM   MM +0.8    MM
2023 09 28 03 00  MM   MM   MM    MM    MM    MM  MM 1015.2  25.5    MM    MM   MM +1.1    MM
2023 09 28 02 00  MM   MM   MM    MM    MM    MM  MM 1015.2  25.1    MM    MM   MM +1.2    MM
2023 09 28 01 00  MM   MM   MM    MM    MM    MM  MM 1014.6  25.4    MM    MM   MM +0.6    MM
2023 09 28 00 00  MM   MM   MM    MM    MM    MM  MM 1014.1  25.2    MM    MM   MM +0.5    MM
2023 09 27 23 00  MM   MM   MM    MM    MM    MM  MM 1014.0  25.3    MM    MM   MM -0.0    MM
2023 09 27 22 00  MM   MM   MM    MM    MM    MM  MM 1014.0  25.3    MM    MM   MM -0.3    MM
2023 09 27 21 00  MM   MM   MM    MM    MM    MM  MM 1013.6  25.3    MM    MM   MM -2.1    MM
2023 09 27 20 00  MM   MM   MM    MM    MM    MM  MM 1013.9  25.3    MM    MM   MM -2.7    MM
2023 09 27 19 00  MM   MM   MM    MM    MM    MM  MM 1014.3  24.8    MM    MM   MM -1.5    MM
2023 09 27 18 00  MM   MM   MM    MM    MM    MM  MM 1015.7  23.6    MM    MM   MM +0.0    MM
2023 09 27 17 00  MM   MM   MM    MM    MM    MM  MM 1016.6  22.6    MM    MM   MM +1.3    MM
2023 09 27 16 00  MM   MM   MM    MM    MM    MM  MM 1015.8  25.7    MM    MM   MM +0.5    MM
2023 09 27 15 00  MM   MM   MM    MM    MM    MM  MM 1015.8  27.8    MM    MM   MM +0.9    MM
2023 09 27 14 00  MM   MM   MM    MM    MM    MM  MM 1015.3  27.6    MM    MM   MM +0.5    MM
2023 09 27 13 00  MM   MM   MM    MM    MM    MM  MM 1015.3  27.7    MM    MM   MM +1.7    MM
2023 09 27 12 00  MM   MM   MM    MM    MM    MM  MM 1014.9  27.3    MM    MM   MM +1.4    MM
2023 09 27 11 00  MM   MM   MM    MM    MM    MM  MM 1014.8  27.3    MM    MM   MM +1.0    MM
2023 09 27 10 00  MM   MM   MM    MM    MM    MM  MM 1013.6  27.1    MM    MM   MM -0.7    MM
2023 09 27 09 00  MM   MM   MM    MM    MM    MM  MM 1013.5  27.1    MM    MM   MM -1.6    MM
2023 09 27 08 00  MM   MM   MM    MM    MM    MM  MM 1013.8  27.1    MM    MM   MM -1.4    MM
2023 09 27 07 00  MM   MM   MM    MM    MM    MM  MM 1014.3  27.1    MM    MM   MM -1.6    MM
2023 09 27 06 00  MM   MM   MM    MM    MM    MM  MM 1015.1  26.8    MM    MM   MM -1.0    MM
2023 09 27 05 00  MM   MM   MM    MM    MM    MM  MM 1015.2  26.5    MM    MM   MM -0.6    MM
2023 09 27 04 00  MM   MM   MM    MM    MM    MM  MM 1015.9  25.7    MM    MM   MM +0.0    MM
2023 09 27 03 00  MM   MM   MM    MM    MM    MM  MM 1016.1  26.6    MM    MM   MM +1.3    MM
2023 09 27 02 00  MM   MM   MM    MM    MM    MM  MM 1015.8  26.0    MM    MM   MM +1.2    MM
2023 09 27 01 00  MM   MM   MM    MM    MM    MM  MM 1016.0  26.2    MM    MM   MM +1.6    MM
2023 09 27 00 00  MM   MM   MM    MM    MM    MM  MM 1014.8  26.5    MM    MM   MM -0.0    MM
2023 09 26 23 00  MM   MM   MM    MM    MM    MM  MM 1014.6  26.7    MM    MM   MM -0.7    MM
2023 09 26 22 00  MM   MM   MM    MM    MM    MM  MM 1014.4  26.3    MM    MM   MM -1.7    MM
2023 09 26 21 00  MM   MM   MM    MM    MM    MM  MM 1015.0  26.2    MM    MM   MM -1.5    MM
2023 09 26 20 00  MM   MM   MM    MM    MM    MM  MM 1015.3  25.8    MM    MM   MM -1.2    MM
2023 09 26 19 00  MM   MM   MM    MM    MM    MM  MM 1016.1  25.4    MM    MM   MM -1.2    MM
2023 09 26 18 00  MM   MM   MM    MM    MM    MM  MM 1016.5  25.0    MM    MM   MM -1.2    MM
2023 09 26 17 00  MM   MM   MM    MM    MM    MM  MM 1016.5  25.1    MM    MM   MM -0.5    MM
2023 09 26 16 00  MM   MM   MM    MM    MM    MM  MM 1017.3  24.8    MM    MM   MM +1.3    MM
2023 09 26 15 00  MM   MM   MM    MM    MM    MM  MM 1017.7  23.2    MM    MM   MM +1.7    MM
2023 09 26 14 00  MM   MM   MM    MM    MM    MM  MM 1017.0  27.7    MM    MM   MM +1.7    MM
2023 09 26 13 00  MM   MM   MM    MM    MM    MM  MM 1016.0  27.7    MM    MM   MM +1.6    MM
2023 09 26 12 00  MM   MM   MM    MM    MM    MM  MM 1016.0  27.6    MM    MM   MM +2.1    MM
2023 09 26 11 00  MM   MM   MM    MM    MM    MM  MM 1015.3  27.2    MM    MM   MM +0.6    MM
2023 09 26 10 00  MM   MM   MM    MM    MM    MM  MM 1014.4  26.9    MM    MM   MM -1.1    MM
2023 09 26 09 00  MM   MM   MM    MM    MM    MM  MM 1013.9  26.9    MM    MM   MM -2.2    MM
2023 09 26 08 00  MM   MM   MM    MM    MM    MM  MM 1014.7  27.7    MM    MM   MM -1.3    MM
