#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 36 240  9.3 12.9    MM    MM    MM  MM     MM   9.7    MM   9.7   MM   MM    MM
2023 09 28 21 25 240  9.3 12.9    MM    MM    MM  MM     MM   9.5    MM   9.5   MM   MM    MM
2023 09 28 21 15 240  9.8 13.4    MM    MM    MM  MM     MM   9.5    MM   9.5   MM   MM    MM
2023 09 28 21 06 240  9.8 13.4    MM    MM    MM  MM     MM   9.3    MM   9.3   MM   MM    MM
2023 09 28 20 56 240 10.3 13.4    MM    MM    MM  MM     MM   9.2    MM   9.2   MM   MM    MM
2023 09 28 20 46 230 10.3 13.4    MM    MM    MM  MM     MM   8.8    MM   8.8   MM   MM    MM
2023 09 28 20 36 230  9.8 12.9    MM    MM    MM  MM     MM   8.9    MM   8.9   MM   MM    MM
2023 09 28 20 26 230  9.8 12.9    MM    MM    MM  MM     MM   9.3    MM   9.3   MM   MM    MM
2023 09 28 20 16 230  9.8 13.9    MM    MM    MM  MM     MM   9.3    MM   9.3   MM   MM    MM
2023 09 28 20 06 230  9.8 13.4    MM    MM    MM  MM     MM   9.2    MM   9.2   MM   MM    MM
2023 09 28 19 56 230  9.8 12.9    MM    MM    MM  MM     MM   9.3    MM   9.3   MM   MM    MM
2023 09 28 19 46 230  9.3 13.4    MM    MM    MM  MM     MM   9.0    MM   9.0   MM   MM    MM
2023 09 28 19 35 230  9.8 13.9    MM    MM    MM  MM     MM   8.6    MM   8.6   MM   MM    MM
2023 09 28 19 26 230  9.8 13.4    MM    MM    MM  MM     MM   8.7    MM   8.7   MM   MM    MM
2023 09 28 19 14 220  9.8 14.4    MM    MM    MM  MM     MM   8.6    MM   8.6   MM   MM    MM
2023 09 28 19 06 220 10.8 14.4    MM    MM    MM  MM     MM   8.4    MM   8.4   MM   MM    MM
2023 09 28 18 56 220 10.3 13.9    MM    MM    MM  MM     MM   8.4    MM   8.4   MM   MM    MM
2023 09 28 18 46 220 10.3 13.9    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 18 36 220 10.8 14.9    MM    MM    MM  MM     MM   8.2    MM   8.2   MM   MM    MM
2023 09 28 18 26 210 11.3 14.4    MM    MM    MM  MM     MM   8.3    MM   8.3   MM   MM    MM
2023 09 28 18 15 210 12.4 16.0    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 18 04 210 12.9 16.5    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 17 55 200 13.4 17.5    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 17 45 200 13.9 18.0    MM    MM    MM  MM     MM   8.1    MM   8.1   MM   MM    MM
2023 09 28 17 36 210 12.9 18.0    MM    MM    MM  MM     MM   8.0    MM   8.0   MM   MM    MM
