#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 36 260  1.0  2.6    MM    MM    MM  MM     MM  11.5    MM   7.6   MM   MM    MM
2023 09 28 21 26 310  1.0  2.1    MM    MM    MM  MM     MM  11.3    MM   7.4   MM   MM    MM
2023 09 28 21 16 280  1.5  2.6    MM    MM    MM  MM     MM  11.4    MM   7.2   MM   MM    MM
2023 09 28 21 06 300  1.5  2.6    MM    MM    MM  MM     MM  11.5    MM   7.5   MM   MM    MM
2023 09 28 20 56 330  1.5  2.1    MM    MM    MM  MM     MM  11.6    MM   8.0   MM   MM    MM
2023 09 28 20 46 340  1.0  2.1    MM    MM    MM  MM     MM  11.7    MM   8.1   MM   MM    MM
2023 09 28 20 36 320  1.0  2.1    MM    MM    MM  MM     MM  11.3    MM   8.1   MM   MM    MM
2023 09 28 20 26 340  1.0  1.5    MM    MM    MM  MM     MM  11.1    MM   8.2   MM   MM    MM
2023 09 28 20 16 330  1.5  2.6    MM    MM    MM  MM     MM  11.0    MM   8.0   MM   MM    MM
2023 09 28 20 06 340  1.5  2.1    MM    MM    MM  MM     MM  11.1    MM   8.0   MM   MM    MM
2023 09 28 19 56 330  1.5  2.6    MM    MM    MM  MM     MM  11.1    MM   8.1   MM   MM    MM
2023 09 28 19 46 330  1.5  2.6    MM    MM    MM  MM     MM  11.2    MM   8.1   MM   MM    MM
2023 09 28 19 36 330  1.0  2.1    MM    MM    MM  MM     MM  11.4    MM   8.2   MM   MM    MM
2023 09 28 19 25 190  0.5  1.5    MM    MM    MM  MM     MM  11.2    MM   8.7   MM   MM    MM
2023 09 28 19 16 180  1.5  1.5    MM    MM    MM  MM     MM  10.4    MM   8.5   MM   MM    MM
2023 09 28 19 05 190  1.5  2.1    MM    MM    MM  MM     MM  10.0    MM   8.4   MM   MM    MM
2023 09 28 18 56 190  2.1  2.6    MM    MM    MM  MM     MM   9.8    MM   8.5   MM   MM    MM
2023 09 28 18 46 190  2.1  2.6    MM    MM    MM  MM     MM   9.6    MM   8.4   MM   MM    MM
2023 09 28 18 36 190  2.1  3.1    MM    MM    MM  MM     MM  10.1    MM   8.6   MM   MM    MM
2023 09 28 18 26 130  1.0  1.5    MM    MM    MM  MM     MM  10.4    MM   9.1   MM   MM    MM
2023 09 28 18 16 140  1.0  2.6    MM    MM    MM  MM     MM   9.8    MM   8.8   MM   MM    MM
2023 09 28 18 06 170  1.0  2.1    MM    MM    MM  MM     MM   9.6    MM   8.7   MM   MM    MM
2023 09 28 17 55 130  0.5  1.5    MM    MM    MM  MM     MM   9.6    MM   8.7   MM   MM    MM
2023 09 28 17 46  60  0.5  1.5    MM    MM    MM  MM     MM   9.4    MM   8.4   MM   MM    MM
2023 09 28 17 36  MM  0.0  0.5    MM    MM    MM  MM     MM   9.4    MM   8.4   MM   MM    MM
2023 09 28 17 26  MM  0.0  1.0    MM    MM    MM  MM     MM   9.2    MM   8.3   MM   MM    MM
2023 09 28 17 16  MM  0.0  0.5    MM    MM    MM  MM     MM   9.1    MM   8.2   MM   MM    MM
2023 09 28 17 06  MM  0.0  1.0    MM    MM    MM  MM     MM   9.0    MM   8.1   MM   MM    MM
2023 09 28 16 56  MM  0.0  0.5    MM    MM    MM  MM     MM   9.0    MM   8.1   MM   MM    MM
2023 09 28 16 46  80  0.5  1.0    MM    MM    MM  MM     MM   8.9    MM   8.1   MM   MM    MM
2023 09 28 16 36 150  0.5  1.0    MM    MM    MM  MM     MM   8.7    MM   7.9   MM   MM    MM
2023 09 28 16 26 200  0.5  1.5    MM    MM    MM  MM     MM   8.5    MM   7.7   MM   MM    MM
