#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 22 160  0.5  2.6    MM    MM    MM  MM     MM  13.0    MM    MM   MM   MM    MM
2023 09 28 20 22  70  1.0  1.5    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2023 09 28 19 22  60  1.5  2.1    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2023 09 28 18 22  50  0.5  1.5    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2023 09 28 17 22  40  1.0  1.5    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2023 09 28 16 22 130  0.5  2.6    MM    MM    MM  MM     MM  11.3    MM    MM   MM   MM    MM
2023 09 28 15 22 150  1.0  5.7    MM    MM    MM  MM     MM  11.1    MM    MM   MM   MM    MM
2023 09 28 14 22 160  2.1  5.7    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
2023 09 28 12 22 140  3.6  7.7    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2023 09 28 11 22 140  3.6  7.2    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2023 09 28 10 22 140  4.6  7.2    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2023 09 28 09 22 140  4.6  8.2    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2023 09 28 08 22 140  4.6  9.3    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2023 09 28 07 22 130  5.7 10.3    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2023 09 28 06 22 130  6.7 11.3    MM    MM    MM  MM     MM  12.2    MM    MM   MM   MM    MM
2023 09 28 05 22 130  8.2 11.8    MM    MM    MM  MM     MM  12.2    MM    MM   MM   MM    MM
2023 09 28 04 22 130  6.7 11.8    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2023 09 28 03 22 140  7.2 13.4    MM    MM    MM  MM     MM  12.9    MM    MM   MM   MM    MM
2023 09 28 02 22 130  9.8 14.4    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2023 09 28 01 22 130 11.8 18.0    MM    MM    MM  MM     MM  13.3    MM    MM   MM   MM    MM
2023 09 28 00 22 130 11.3 15.4    MM    MM    MM  MM     MM  13.9    MM    MM   MM   MM    MM
