#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 30 310  9.3 10.8    MM    MM    MM  MM 1016.1  12.8    MM  10.6   MM   MM    MM
2023 09 28 21 20 310  9.8 11.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 21 10 310  8.8 10.3    MM    MM    MM  MM 1016.1  12.8    MM  11.1   MM   MM    MM
2023 09 28 21 00 300  6.2  8.8    MM    MM    MM  MM 1016.2  12.8    MM  11.0   MM -0.7    MM
2023 09 28 20 50 300  5.7  8.8    MM    MM    MM  MM 1016.4  12.9    MM  11.1   MM   MM    MM
2023 09 28 20 40 290  6.2  7.7    MM    MM    MM  MM 1016.5  12.8    MM  11.2   MM   MM    MM
2023 09 28 20 30 300  6.7  8.8    MM    MM    MM  MM 1016.6  12.6    MM  11.3   MM   MM    MM
2023 09 28 20 20 300  7.2  8.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 20 10 310  7.2  8.2    MM    MM    MM  MM 1016.6  12.4    MM  11.5   MM   MM    MM
2023 09 28 20 00 310  7.2  8.8    MM    MM    MM  MM 1016.6  12.3    MM  11.6   MM -0.4    MM
2023 09 28 19 50 310  7.2  8.8    MM    MM    MM  MM 1016.6  12.3    MM  11.7   MM   MM    MM
2023 09 28 19 40 310  6.7  8.8    MM    MM    MM  MM 1016.6  12.2    MM  11.6   MM   MM    MM
2023 09 28 19 20 300  5.1  7.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 19 10 300  6.2  7.2    MM    MM    MM  MM 1016.7  12.1    MM  11.9   MM   MM    MM
2023 09 28 19 00 290  6.2  7.7    MM    MM    MM  MM 1016.8  12.2    MM  11.9   MM +0.0    MM
2023 09 28 18 50 290  5.7  7.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 18 40 290  6.7  8.8    MM    MM    MM  MM 1016.8  12.2    MM  11.9   MM   MM    MM
2023 09 28 18 30 290  7.2  9.8    MM    MM    MM  MM 1016.8  12.3    MM  12.0   MM   MM    MM
2023 09 28 18 20 280  6.2  8.2    MM    MM    MM  MM 1016.8  12.3    MM  12.1   MM   MM    MM
2023 09 28 18 10 260  4.6  6.7    MM    MM    MM  MM 1016.8  12.0    MM  12.0   MM   MM    MM
2023 09 28 18 00 260  4.1  5.7    MM    MM    MM  MM 1016.9  12.1    MM  12.1   MM +0.0    MM
2023 09 28 17 50 260  4.6  6.7    MM    MM    MM  MM 1016.9  12.1    MM  12.1   MM   MM    MM
2023 09 28 17 40 250  3.6  5.1    MM    MM    MM  MM 1016.9  11.7    MM    MM   MM   MM    MM
2023 09 28 17 30 250  3.6  4.6    MM    MM    MM  MM 1017.0  11.4    MM    MM   MM   MM    MM
2023 09 28 17 20 250  3.6  4.1    MM    MM    MM  MM 1017.0  11.3    MM    MM   MM   MM    MM
2023 09 28 17 10 250  3.6  4.1    MM    MM    MM  MM 1017.0  11.4    MM    MM   MM   MM    MM
2023 09 28 17 00 260  4.1  5.1    MM    MM    MM  MM 1017.0  11.4    MM    MM   MM +0.3    MM
