#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 36 150  5.1  8.2    MM    MM    MM  MM     MM  10.5    MM   7.7   MM   MM    MM
2023 09 28 21 26 150  5.1  8.2    MM    MM    MM  MM     MM  10.4    MM   7.7   MM   MM    MM
2023 09 28 21 16 150  4.1  6.7    MM    MM    MM  MM     MM  10.2    MM   8.1   MM   MM    MM
2023 09 28 21 06 160  3.6  6.2    MM    MM    MM  MM     MM  10.2    MM   8.1   MM   MM    MM
2023 09 28 20 56 150  3.1  6.2    MM    MM    MM  MM     MM  10.1    MM   8.1   MM   MM    MM
2023 09 28 20 46 140  2.1  6.7    MM    MM    MM  MM     MM  10.0    MM   8.4   MM   MM    MM
2023 09 28 20 36 160  3.1  5.7    MM    MM    MM  MM     MM   9.9    MM   8.2   MM   MM    MM
2023 09 28 20 26 150  2.6  6.2    MM    MM    MM  MM     MM   9.8    MM   8.3   MM   MM    MM
2023 09 28 20 16 150  3.1  7.2    MM    MM    MM  MM     MM   9.8    MM   8.2   MM   MM    MM
2023 09 28 20 06 160  3.1  6.7    MM    MM    MM  MM     MM   9.7    MM   8.3   MM   MM    MM
2023 09 28 19 56 160  1.5  4.1    MM    MM    MM  MM     MM   9.7    MM   8.5   MM   MM    MM
2023 09 28 19 46 130  1.5  4.1    MM    MM    MM  MM     MM   9.7    MM   8.6   MM   MM    MM
2023 09 28 19 36  70  1.0  1.5    MM    MM    MM  MM     MM   9.7    MM   8.7   MM   MM    MM
2023 09 28 19 26 170  1.0  2.6    MM    MM    MM  MM     MM   9.6    MM   8.3   MM   MM    MM
2023 09 28 19 16  10  1.0  1.5    MM    MM    MM  MM     MM   9.7    MM   8.3   MM   MM    MM
2023 09 28 19 05 180  1.0  4.1    MM    MM    MM  MM     MM   9.6    MM   8.5   MM   MM    MM
2023 09 28 18 56 170  1.0  2.1    MM    MM    MM  MM     MM   9.5    MM   8.5   MM   MM    MM
2023 09 28 18 46 170  1.0  2.6    MM    MM    MM  MM     MM   9.6    MM   8.4   MM   MM    MM
2023 09 28 18 36 210  0.5  1.5    MM    MM    MM  MM     MM   9.5    MM   8.4   MM   MM    MM
2023 09 28 18 26 150  1.0  2.6    MM    MM    MM  MM     MM   9.5    MM   8.4   MM   MM    MM
2023 09 28 18 16 150  0.5  1.5    MM    MM    MM  MM     MM   9.4    MM   8.4   MM   MM    MM
