#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 37 350  3.1  9.3    MM    MM    MM  MM 1014.0  13.6    MM   7.2   MM   MM    MM
2023 09 28 21 27 290  2.1  6.7    MM    MM    MM  MM 1014.1  13.8    MM   7.5   MM   MM    MM
2023 09 28 21 16 290  2.6  6.7    MM    MM    MM  MM 1014.2  13.3    MM   7.4   MM   MM    MM
2023 09 28 21 07 350  2.6  6.7    MM    MM    MM  MM 1014.2  13.0    MM   7.1   MM   MM    MM
2023 09 28 20 57 330  3.6  8.2    MM    MM    MM  MM 1014.0  12.6    MM   7.1   MM   MM    MM
2023 09 28 20 47 320  4.1  8.8    MM    MM    MM  MM 1014.1  12.4    MM   7.0   MM   MM    MM
2023 09 28 20 37 330  4.6  8.8    MM    MM    MM  MM 1014.1  12.1    MM   7.1   MM   MM    MM
2023 09 28 20 27 330  4.1  8.8    MM    MM    MM  MM 1014.0  12.0    MM   7.1   MM   MM    MM
2023 09 28 20 17 320  3.6  8.8    MM    MM    MM  MM 1014.0  12.0    MM   7.2   MM   MM    MM
2023 09 28 20 07 320  3.1  7.2    MM    MM    MM  MM 1014.1  12.1    MM   7.2   MM   MM    MM
2023 09 28 19 57 340  3.6  8.2    MM    MM    MM  MM 1014.0  12.0    MM   7.1   MM   MM    MM
2023 09 28 19 47 330  4.1  8.2    MM    MM    MM  MM 1014.0  11.8    MM   7.0   MM   MM    MM
2023 09 28 19 37 330  3.6  7.7    MM    MM    MM  MM 1013.9  11.7    MM   7.0   MM   MM    MM
2023 09 28 19 26 310  4.6  8.2    MM    MM    MM  MM 1013.9  11.2    MM   6.9   MM   MM    MM
2023 09 28 19 17 310  4.6  9.3    MM    MM    MM  MM 1013.9  11.2    MM   6.8   MM   MM    MM
2023 09 28 19 06 320  4.1  7.7    MM    MM    MM  MM 1013.9  11.3    MM   6.9   MM   MM    MM
2023 09 28 18 57 320  4.1  8.2    MM    MM    MM  MM 1013.8  11.2    MM   6.8   MM   MM    MM
2023 09 28 18 46 330  3.6  7.7    MM    MM    MM  MM 1013.8  11.3    MM   6.6   MM   MM    MM
2023 09 28 18 37 340  3.1  6.2    MM    MM    MM  MM 1013.7  11.1    MM   6.6   MM   MM    MM
2023 09 28 18 27 350  3.6  7.2    MM    MM    MM  MM 1013.7  10.9    MM   6.5   MM   MM    MM
2023 09 28 18 17 360  3.6  7.7    MM    MM    MM  MM 1013.6  10.9    MM   6.6   MM   MM    MM
2023 09 28 18 07 350  4.1  8.2    MM    MM    MM  MM 1013.5  10.7    MM   6.5   MM   MM    MM
2023 09 28 17 55 360  3.6  6.7    MM    MM    MM  MM 1013.6  10.9    MM   6.5   MM   MM    MM
2023 09 28 17 46 340  2.1  5.7    MM    MM    MM  MM 1013.6  11.2    MM   6.8   MM   MM    MM
2023 09 28 17 37 360  2.6  6.2    MM    MM    MM  MM 1013.5  10.7    MM   6.5   MM   MM    MM
2023 09 28 17 27 350  3.1  7.2    MM    MM    MM  MM 1013.5  10.6    MM   6.5   MM   MM    MM
2023 09 28 17 17 360  1.5  4.1    MM    MM    MM  MM 1013.6  11.0    MM   7.0   MM   MM    MM
2023 09 28 17 07  20  0.5  2.6    MM    MM    MM  MM 1013.7  10.9    MM   7.3   MM   MM    MM
2023 09 28 16 47  40  0.5  1.0    MM    MM    MM  MM 1013.5   9.2    MM   6.8   MM   MM    MM
2023 09 28 16 37  90  0.5  1.5    MM    MM    MM  MM 1013.3   8.8    MM   6.4   MM   MM    MM
2023 09 28 16 27  20  0.5  1.0    MM    MM    MM  MM 1013.3   8.9    MM   6.4   MM   MM    MM
2023 09 28 16 17  20  0.5  1.0    MM    MM    MM  MM 1013.2   8.8    MM   6.4   MM   MM    MM
