#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 20  70  1.5  2.6    MM    MM    MM  MM 1011.4  29.2    MM  23.6   MM   MM    MM
2023 09 28 21 10  80  2.1  2.6    MM    MM    MM  MM 1010.4  29.2    MM  23.7   MM   MM    MM
2023 09 28 21 00 120  1.5  2.6    MM    MM    MM  MM 1010.3  29.3    MM  23.7   MM -1.4    MM
2023 09 28 20 50 140  1.5  3.1    MM    MM    MM  MM 1010.2  29.2    MM  23.7   MM   MM    MM
2023 09 28 20 40 160  2.1  2.6    MM    MM    MM  MM 1010.3  29.1    MM  23.5   MM   MM    MM
2023 09 28 20 30 170  2.1  2.6    MM    MM    MM  MM 1010.1  29.1    MM  23.8   MM   MM    MM
2023 09 28 20 20 160  2.1  3.1    MM    MM    MM  MM 1010.1  29.1    MM  23.7   MM   MM    MM
2023 09 28 20 10 170  1.5  2.1    MM    MM    MM  MM 1010.2  29.1    MM  23.7   MM   MM    MM
2023 09 28 20 00 150  1.5  2.1    MM    MM    MM  MM 1010.2  29.1    MM  23.9   MM -2.2    MM
2023 09 28 19 50 170  1.5  2.6    MM    MM    MM  MM 1010.3  29.0    MM  24.0   MM   MM    MM
2023 09 28 19 40 170  1.5  2.1    MM    MM    MM  MM 1010.4  29.0    MM  24.3   MM   MM    MM
2023 09 28 19 20 160  1.5  2.6    MM    MM    MM  MM 1010.6    MM    MM    MM   MM   MM    MM
2023 09 28 19 10 180  2.1  2.6    MM    MM    MM  MM 1010.7  29.0    MM  24.2   MM   MM    MM
2023 09 28 19 00 160  1.5  2.6    MM    MM    MM  MM 1010.9  29.0    MM  24.2   MM -2.0    MM
2023 09 28 18 50 190  1.5  2.6    MM    MM    MM  MM 1011.0    MM    MM    MM   MM   MM    MM
2023 09 28 18 40 190  1.5  2.6    MM    MM    MM  MM 1011.2  29.0    MM  24.1   MM   MM    MM
2023 09 28 18 30 200  1.5  2.1    MM    MM    MM  MM 1011.4  29.0    MM  24.2   MM   MM    MM
2023 09 28 18 20 190  1.5  2.1    MM    MM    MM  MM 1011.5  29.2    MM  24.2   MM   MM    MM
2023 09 28 18 10 190  1.0  1.5    MM    MM    MM  MM 1011.7  29.2    MM  24.1   MM   MM    MM
2023 09 28 18 00 210  0.5  1.5    MM    MM    MM  MM 1011.8  29.2    MM  24.1   MM -1.1    MM
2023 09 28 17 50 270  1.0  1.5    MM    MM    MM  MM 1012.1  28.9    MM  24.0   MM   MM    MM
2023 09 28 17 40 220  1.5  2.1    MM    MM    MM  MM 1012.1  28.8    MM  24.1   MM   MM    MM
2023 09 28 17 30 200  2.1  3.1    MM    MM    MM  MM 1012.2  28.7    MM  24.1   MM   MM    MM
2023 09 28 17 20 210  2.6  3.6    MM    MM    MM  MM 1012.4  28.7    MM  24.1   MM   MM    MM
2023 09 28 17 10 220  2.6  3.6    MM    MM    MM  MM 1012.4  28.7    MM  24.2   MM   MM    MM
2023 09 28 17 00 210  3.1  4.1    MM    MM    MM  MM 1012.4  28.7    MM  24.2   MM +0.3    MM
2023 09 28 16 50 220  3.6  4.1    MM    MM    MM  MM 1012.6  28.6    MM  24.1   MM   MM    MM
2023 09 28 16 40 230  3.6  4.1    MM    MM    MM  MM 1012.6  28.6    MM  24.1   MM   MM    MM
2023 09 28 16 30 230  3.6  4.6    MM    MM    MM  MM 1012.6  28.5    MM  24.2   MM   MM    MM
2023 09 28 16 20 220  3.6  4.6    MM    MM    MM  MM 1012.6  28.5    MM  24.2   MM   MM    MM
2023 09 28 16 10 220  3.6  4.6    MM    MM    MM  MM 1012.7  28.4    MM  24.1   MM   MM    MM
2023 09 28 16 00 220  3.6  4.6    MM    MM    MM  MM 1012.9  28.4    MM  24.2   MM +0.8    MM
