#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 50  90  2.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 19 50  90  3.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 18 50  80  2.6  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 17 50  90  3.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 16 50 100  3.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 15 50  90  2.6  5.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 14 50 100  4.6  7.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 13 50 110  5.1  7.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 12 50 120  5.7  7.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 11 50 110  5.7  7.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 10 50 120  6.2  8.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 09 50 110  6.7  8.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 08 50 120  7.7  9.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 07 50 120  8.2  9.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 06 50 120  7.7  9.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 04 50 120  8.2 10.8    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
