#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 38 320  4.1  5.1    MM    MM    MM  MM 1016.0   9.8    MM    MM   MM   MM    MM
2023 09 28 21 27 330  4.1  4.6    MM    MM    MM  MM 1015.9   9.6    MM    MM   MM   MM    MM
2023 09 28 21 17 330  3.6  4.6    MM    MM    MM  MM 1016.0   9.6    MM    MM   MM   MM    MM
2023 09 28 21 08 330  4.1  5.1    MM    MM    MM  MM 1016.0   9.5    MM    MM   MM   MM    MM
2023 09 28 20 58 340  2.6  5.1    MM    MM    MM  MM 1016.0   9.7    MM    MM   MM   MM    MM
2023 09 28 20 48 350  2.1  3.6    MM    MM    MM  MM 1016.0   9.7    MM    MM   MM   MM    MM
2023 09 28 20 38 340  3.1  5.7    MM    MM    MM  MM 1016.0   9.4    MM    MM   MM   MM    MM
2023 09 28 20 27 340  4.6  6.7    MM    MM    MM  MM 1016.0   9.2    MM    MM   MM   MM    MM
2023 09 28 20 18 330  5.1  6.7    MM    MM    MM  MM 1015.8   9.2    MM    MM   MM   MM    MM
2023 09 28 20 08 330  5.1  6.2    MM    MM    MM  MM 1015.8   9.1    MM    MM   MM   MM    MM
2023 09 28 19 58 330  5.7  6.7    MM    MM    MM  MM 1015.8   8.9    MM    MM   MM   MM    MM
2023 09 28 19 48 340  5.1  6.7    MM    MM    MM  MM 1015.8   8.9    MM    MM   MM   MM    MM
2023 09 28 19 38 340  4.6  6.7    MM    MM    MM  MM 1015.7   9.0    MM    MM   MM   MM    MM
2023 09 28 19 27 340  3.6  6.7    MM    MM    MM  MM 1015.7   9.0    MM    MM   MM   MM    MM
2023 09 28 19 18 340  4.6  6.7    MM    MM    MM  MM 1015.7   8.9    MM    MM   MM   MM    MM
2023 09 28 19 06 330  4.6  6.2    MM    MM    MM  MM 1015.7   8.9    MM    MM   MM   MM    MM
2023 09 28 18 58 320  4.6  6.2    MM    MM    MM  MM 1015.6   8.8    MM    MM   MM   MM    MM
2023 09 28 18 47 330  4.6  6.7    MM    MM    MM  MM 1015.6   8.8    MM    MM   MM   MM    MM
2023 09 28 18 38 330  4.6  6.2    MM    MM    MM  MM 1015.5   8.8    MM    MM   MM   MM    MM
2023 09 28 18 27 330  4.1  6.2    MM    MM    MM  MM 1015.6   8.9    MM    MM   MM   MM    MM
2023 09 28 18 18 320  5.1  7.2    MM    MM    MM  MM 1015.5   8.8    MM    MM   MM   MM    MM
2023 09 28 18 07 330  4.6  6.7    MM    MM    MM  MM 1015.5   9.0    MM    MM   MM   MM    MM
2023 09 28 17 56 360  2.1  4.1    MM    MM    MM  MM 1015.4   9.1    MM    MM   MM   MM    MM
2023 09 28 17 48 350  2.6  5.1    MM    MM    MM  MM 1015.4   9.0    MM    MM   MM   MM    MM
2023 09 28 17 38  10  2.1  3.1    MM    MM    MM  MM 1015.4   9.0    MM    MM   MM   MM    MM
2023 09 28 17 28  10  2.1  3.6    MM    MM    MM  MM 1015.3   8.9    MM    MM   MM   MM    MM
2023 09 28 17 17 360  1.5  5.1    MM    MM    MM  MM 1015.3   8.9    MM    MM   MM   MM    MM
2023 09 28 17 08  10  2.1  3.1    MM    MM    MM  MM 1015.3   9.0    MM    MM   MM   MM    MM
2023 09 28 16 57  10  1.5  3.1    MM    MM    MM  MM 1015.4   8.9    MM    MM   MM   MM    MM
2023 09 28 16 48  20  1.5  3.1    MM    MM    MM  MM 1015.3   8.6    MM    MM   MM   MM    MM
2023 09 28 16 38  20  1.0  2.6    MM    MM    MM  MM 1015.3   8.2    MM    MM   MM   MM    MM
2023 09 28 16 27  20  1.5  3.1    MM    MM    MM  MM 1015.2   7.9    MM    MM   MM   MM    MM
2023 09 28 16 18  20  1.5  3.1    MM    MM    MM  MM 1015.1   7.8    MM    MM   MM   MM    MM
2023 09 28 16 08  20  1.5  2.6    MM    MM    MM  MM 1015.0   7.7    MM    MM   MM   MM    MM
2023 09 28 15 57  20  1.5  2.6    MM    MM    MM  MM 1015.0   7.7    MM    MM   MM   MM    MM
2023 09 28 15 48  20  1.5  3.1    MM    MM    MM  MM 1015.0   7.7    MM    MM   MM   MM    MM
2023 09 28 15 37  20  1.5  3.1    MM    MM    MM  MM 1014.9   7.8    MM    MM   MM   MM    MM
2023 09 28 15 28  20  1.5  3.6    MM    MM    MM  MM 1014.8   7.8    MM    MM   MM   MM    MM
2023 09 28 15 18  20  1.5  3.1    MM    MM    MM  MM 1014.8   7.8    MM    MM   MM   MM    MM
2023 09 28 15 08  20  1.5  3.1    MM    MM    MM  MM 1014.8   7.8    MM    MM   MM   MM    MM
2023 09 28 14 58  20  1.5  3.1    MM    MM    MM  MM 1014.8   7.6    MM    MM   MM   MM    MM
2023 09 28 14 48  20  1.5  3.6    MM    MM    MM  MM 1014.7   7.7    MM    MM   MM   MM    MM
2023 09 28 14 37  20  2.1  3.1    MM    MM    MM  MM 1014.7   7.7    MM    MM   MM   MM    MM
2023 09 28 14 28  20  2.1  4.1    MM    MM    MM  MM 1014.6   7.7    MM    MM   MM   MM    MM
2023 09 28 14 18  20  1.5  3.1    MM    MM    MM  MM 1014.6   7.8    MM    MM   MM   MM    MM
2023 09 28 14 06  20  2.1  3.6    MM    MM    MM  MM 1014.5   8.0    MM    MM   MM   MM    MM
2023 09 28 13 58  20  1.5  3.1    MM    MM    MM  MM 1014.5   8.0    MM    MM   MM   MM    MM
2023 09 28 13 48  20  1.5  3.1    MM    MM    MM  MM 1014.5   8.0    MM    MM   MM   MM    MM
2023 09 28 13 38  20  1.5  3.6    MM    MM    MM  MM 1014.4   8.1    MM    MM   MM   MM    MM
