#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 39  50  2.6  3.6    MM    MM    MM  MM 1016.9   9.7    MM   7.4   MM   MM    MM
2023 09 28 21 29  50  2.6  4.1    MM    MM    MM  MM 1016.9   9.5    MM   7.3   MM   MM    MM
2023 09 28 21 19  50  3.1  4.6    MM    MM    MM  MM 1016.9   9.5    MM   7.4   MM   MM    MM
2023 09 28 21 09  50  2.6  4.1    MM    MM    MM  MM 1016.9   9.6    MM   7.5   MM   MM    MM
2023 09 28 20 59  40  2.1  4.1    MM    MM    MM  MM 1016.9   9.8    MM   7.6   MM   MM    MM
2023 09 28 20 49 110  0.5  1.0    MM    MM    MM  MM 1017.0   9.9    MM   7.8   MM   MM    MM
2023 09 28 20 39 110  0.5  1.0    MM    MM    MM  MM 1016.9   9.8    MM   7.7   MM   MM    MM
2023 09 28 20 29 160  0.5  1.5    MM    MM    MM  MM 1016.9   9.7    MM   7.8   MM   MM    MM
2023 09 28 20 19 140  0.5  1.0    MM    MM    MM  MM 1016.9   9.6    MM   7.8   MM   MM    MM
2023 09 28 20 09 200  1.0  2.1    MM    MM    MM  MM 1016.9   9.4    MM   7.8   MM   MM    MM
2023 09 28 19 59 200  1.0  2.1    MM    MM    MM  MM 1016.8   9.4    MM   7.7   MM   MM    MM
2023 09 28 19 49 200  1.0  1.5    MM    MM    MM  MM 1016.8   9.5    MM   7.7   MM   MM    MM
2023 09 28 19 39 230  1.0  1.5    MM    MM    MM  MM 1016.8   9.5    MM   7.8   MM   MM    MM
2023 09 28 19 29 220  1.0  2.1    MM    MM    MM  MM 1016.8   9.6    MM   7.8   MM   MM    MM
2023 09 28 19 19  70  1.0  1.5    MM    MM    MM  MM 1016.8   9.6    MM   7.9   MM   MM    MM
2023 09 28 19 08  40  1.0  2.1    MM    MM    MM  MM 1016.7   9.4    MM   7.9   MM   MM    MM
2023 09 28 19 00  40  1.0  2.1    MM    MM    MM  MM 1016.7   9.4    MM   7.9   MM   MM    MM
2023 09 28 18 49  40  2.1  2.6    MM    MM    MM  MM 1016.8   9.0    MM   7.8   MM   MM    MM
2023 09 28 18 39  40  2.1  3.1    MM    MM    MM  MM 1016.7   8.7    MM   7.6   MM   MM    MM
2023 09 28 18 29  40  2.1  3.1    MM    MM    MM  MM 1016.7   8.7    MM   7.5   MM   MM    MM
2023 09 28 18 19  30  1.5  2.6    MM    MM    MM  MM 1016.8   8.7    MM   7.5   MM   MM    MM
2023 09 28 18 09  20  1.5  2.6    MM    MM    MM  MM 1016.7   8.6    MM   7.4   MM   MM    MM
2023 09 28 17 57  20  1.5  3.1    MM    MM    MM  MM 1016.7   8.5    MM   7.4   MM   MM    MM
2023 09 28 17 50  30  2.1  3.1    MM    MM    MM  MM 1016.7   8.3    MM   7.3   MM   MM    MM
2023 09 28 17 39  40  2.1  3.1    MM    MM    MM  MM 1016.7   8.3    MM   7.3   MM   MM    MM
2023 09 28 17 29  30  1.5  3.1    MM    MM    MM  MM 1016.7   8.3    MM   7.3   MM   MM    MM
2023 09 28 17 19  30  1.5  3.1    MM    MM    MM  MM 1016.7   8.2    MM   7.2   MM   MM    MM
2023 09 28 17 09  40  2.1  3.6    MM    MM    MM  MM 1016.7   8.0    MM   7.0   MM   MM    MM
2023 09 28 16 59  40  2.1  3.1    MM    MM    MM  MM 1016.7   7.8    MM   6.8   MM   MM    MM
2023 09 28 16 49  40  2.1  3.6    MM    MM    MM  MM 1016.7   7.6    MM   6.7   MM   MM    MM
2023 09 28 16 39  40  2.1  3.6    MM    MM    MM  MM 1016.7   7.6    MM   6.7   MM   MM    MM
2023 09 28 16 29  40  2.1  3.6    MM    MM    MM  MM 1016.8   7.6    MM   6.6   MM   MM    MM
2023 09 28 16 19  40  2.6  3.6    MM    MM    MM  MM 1016.7   7.6    MM   6.6   MM   MM    MM
2023 09 28 16 09  40  2.1  4.1    MM    MM    MM  MM 1016.8   7.6    MM   6.7   MM   MM    MM
2023 09 28 15 59  40  2.1  3.6    MM    MM    MM  MM 1016.7   7.5    MM   6.6   MM   MM    MM
2023 09 28 15 49  30  1.5  2.6    MM    MM    MM  MM 1016.7   7.5    MM   6.6   MM   MM    MM
2023 09 28 15 38  40  1.5  3.1    MM    MM    MM  MM 1016.7   7.5    MM   6.4   MM   MM    MM
2023 09 28 15 29  30  1.5  3.1    MM    MM    MM  MM 1016.6   7.6    MM   6.4   MM   MM    MM
2023 09 28 15 19  30  1.5  2.6    MM    MM    MM  MM 1016.6   7.6    MM   6.4   MM   MM    MM
2023 09 28 15 09  40  2.1  3.6    MM    MM    MM  MM 1016.5   7.6    MM   6.2   MM   MM    MM
2023 09 28 14 59  30  1.5  3.1    MM    MM    MM  MM 1016.5   7.5    MM   6.4   MM   MM    MM
2023 09 28 14 49  30  1.5  2.6    MM    MM    MM  MM 1016.5   7.5    MM   6.5   MM   MM    MM
2023 09 28 14 39  30  1.0  2.1    MM    MM    MM  MM 1016.5   7.6    MM   6.4   MM   MM    MM
2023 09 28 14 29  50  2.1  3.1    MM    MM    MM  MM 1016.4   7.6    MM   6.3   MM   MM    MM
2023 09 28 14 19  50  2.1  3.1    MM    MM    MM  MM 1016.4   7.5    MM   6.3   MM   MM    MM
2023 09 28 14 08  60  2.6  3.6    MM    MM    MM  MM 1016.2   7.6    MM   6.4   MM   MM    MM
2023 09 28 13 59  40  2.1  3.1    MM    MM    MM  MM 1016.1   7.7    MM   6.6   MM   MM    MM
2023 09 28 13 49  40  2.1  3.1    MM    MM    MM  MM 1016.0   7.7    MM   6.8   MM   MM    MM
2023 09 28 13 39  40  2.1  3.6    MM    MM    MM  MM 1015.9   7.8    MM   6.8   MM   MM    MM
2023 09 28 13 29  40  2.1  3.1    MM    MM    MM  MM 1015.8   7.9    MM   6.9   MM   MM    MM
2023 09 28 13 18  50  2.6  3.6    MM    MM    MM  MM 1015.7   7.9    MM   7.0   MM   MM    MM
2023 09 28 13 09  30  1.5  2.6    MM    MM    MM  MM 1015.7   7.9    MM   7.1   MM   MM    MM
2023 09 28 12 59  20  1.5  2.6    MM    MM    MM  MM 1015.6   7.8    MM   6.9   MM   MM    MM
2023 09 28 12 48  40  2.1  3.1    MM    MM    MM  MM 1015.5   7.7    MM   6.8   MM   MM    MM
2023 09 28 12 39  30  1.5  2.6    MM    MM    MM  MM 1015.4   7.7    MM   6.9   MM   MM    MM
2023 09 28 12 29  30  1.5  3.1    MM    MM    MM  MM 1015.3   7.7    MM   6.9   MM   MM    MM
2023 09 28 12 19  30  1.5  2.6    MM    MM    MM  MM 1015.3   7.8    MM   7.0   MM   MM    MM
2023 09 28 12 08  40  2.1  3.6    MM    MM    MM  MM 1015.1   7.9    MM   7.0   MM   MM    MM
2023 09 28 11 59  40  2.1  3.6    MM    MM    MM  MM 1015.1   8.0    MM   7.2   MM   MM    MM
