#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 36 210  2.1  3.6    MM    MM    MM  MM     MM  11.7    MM   7.6   MM   MM    MM
2023 09 28 21 26 210  1.5  3.1    MM    MM    MM  MM     MM  11.3    MM   7.8   MM   MM    MM
2023 09 28 21 15 220  1.5  2.6    MM    MM    MM  MM     MM  11.1    MM   7.8   MM   MM    MM
2023 09 28 21 06 220  2.1  3.1    MM    MM    MM  MM     MM  11.2    MM   7.5   MM   MM    MM
2023 09 28 20 56 210  1.5  2.6    MM    MM    MM  MM     MM  11.3    MM   7.3   MM   MM    MM
2023 09 28 20 46 220  1.0  2.6    MM    MM    MM  MM     MM  11.3    MM   7.5   MM   MM    MM
2023 09 28 20 36 220  1.5  2.1    MM    MM    MM  MM     MM  11.1    MM   7.5   MM   MM    MM
2023 09 28 20 26 210  1.0  2.1    MM    MM    MM  MM     MM  11.4    MM   7.6   MM   MM    MM
2023 09 28 20 16 230  0.5  1.5    MM    MM    MM  MM     MM  11.4    MM   7.9   MM   MM    MM
2023 09 28 20 06 280  0.5  1.5    MM    MM    MM  MM     MM  10.8    MM   7.7   MM   MM    MM
2023 09 28 19 56 320  0.5  1.5    MM    MM    MM  MM     MM  10.8    MM   7.8   MM   MM    MM
2023 09 28 19 46 330  0.5  1.0    MM    MM    MM  MM     MM  10.9    MM   7.9   MM   MM    MM
2023 09 28 19 36 330  0.5  1.5    MM    MM    MM  MM     MM  10.7    MM   7.9   MM   MM    MM
2023 09 28 19 25 340  1.0  1.0    MM    MM    MM  MM     MM  10.2    MM   7.7   MM   MM    MM
2023 09 28 19 16 330  1.0  1.5    MM    MM    MM  MM     MM   9.7    MM   7.5   MM   MM    MM
2023 09 28 19 05 330  1.5  2.6    MM    MM    MM  MM     MM   9.4    MM   7.5   MM   MM    MM
2023 09 28 18 56 340  1.5  3.1    MM    MM    MM  MM     MM   9.2    MM   7.6   MM   MM    MM
2023 09 28 18 45 330  1.0  3.6    MM    MM    MM  MM     MM   9.4    MM   7.7   MM   MM    MM
2023 09 28 18 36 330  0.5  2.1    MM    MM    MM  MM     MM   9.3    MM   7.6   MM   MM    MM
2023 09 28 18 26 330  1.0  2.1    MM    MM    MM  MM     MM   9.2    MM   7.6   MM   MM    MM
2023 09 28 18 16 340  0.5  2.1    MM    MM    MM  MM     MM   9.2    MM   7.6   MM   MM    MM
2023 09 28 18 05 330  1.0  2.1    MM    MM    MM  MM     MM   9.1    MM   7.7   MM   MM    MM
2023 09 28 17 55 330  1.0  2.1    MM    MM    MM  MM     MM   9.4    MM   7.9   MM   MM    MM
2023 09 28 17 45  MM  0.0  1.5    MM    MM    MM  MM     MM   9.5    MM   8.0   MM   MM    MM
2023 09 28 17 36 140  0.5  1.0    MM    MM    MM  MM     MM   9.2    MM   7.9   MM   MM    MM
2023 09 28 17 26  MM  0.0  0.5    MM    MM    MM  MM     MM   9.0    MM   7.8   MM   MM    MM
2023 09 28 17 16  MM  0.0  1.0    MM    MM    MM  MM     MM   8.8    MM   7.7   MM   MM    MM
2023 09 28 17 06  MM  0.0  0.5    MM    MM    MM  MM     MM   8.7    MM   7.7   MM   MM    MM
2023 09 28 16 56  MM  0.0  1.0    MM    MM    MM  MM     MM   8.5    MM   7.5   MM   MM    MM
2023 09 28 16 46  MM  0.0  1.0    MM    MM    MM  MM     MM   8.4    MM   7.3   MM   MM    MM
2023 09 28 16 36 100  1.0  1.5    MM    MM    MM  MM     MM   8.3    MM   7.2   MM   MM    MM
2023 09 28 16 26  30  0.5  1.0    MM    MM    MM  MM     MM   8.2    MM   7.1   MM   MM    MM
2023 09 28 16 16  MM  0.0  1.0    MM    MM    MM  MM     MM   8.1    MM   7.1   MM   MM    MM
2023 09 28 16 06  MM  0.0  1.0    MM    MM    MM  MM     MM   8.0    MM   7.1   MM   MM    MM
