#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 35  10  5.1  7.7    MM    MM    MM  MM     MM   9.8    MM  -0.1   MM   MM    MM
2023 09 28 21 24 360  4.6  9.3    MM    MM    MM  MM     MM   9.7    MM  -0.1   MM   MM    MM
2023 09 28 21 14 360  5.1  8.8    MM    MM    MM  MM     MM   9.4    MM   0.0   MM   MM    MM
2023 09 28 21 05 360  5.7  7.7    MM    MM    MM  MM     MM   9.1    MM  -0.1   MM   MM    MM
2023 09 28 20 54 360  5.1  7.7    MM    MM    MM  MM     MM   8.9    MM   0.2   MM   MM    MM
2023 09 28 20 44 350  5.7  9.3    MM    MM    MM  MM     MM   8.5    MM  -0.3   MM   MM    MM
2023 09 28 20 34 350  5.1  8.8    MM    MM    MM  MM     MM   8.2    MM   0.2   MM   MM    MM
2023 09 28 20 25 360  6.7  9.8    MM    MM    MM  MM     MM   7.7    MM   0.1   MM   MM    MM
2023 09 28 20 14 360  6.2  9.3    MM    MM    MM  MM     MM   7.5    MM   0.1   MM   MM    MM
2023 09 28 20 04 360  7.2 10.3    MM    MM    MM  MM     MM   7.2    MM  -0.4   MM   MM    MM
2023 09 28 19 55 360  7.2 10.8    MM    MM    MM  MM     MM   7.0    MM  -0.3   MM   MM    MM
2023 09 28 19 44 350  6.7 10.3    MM    MM    MM  MM     MM   7.0    MM  -0.2   MM   MM    MM
2023 09 28 19 34 350  7.2 10.8    MM    MM    MM  MM     MM   6.8    MM  -0.2   MM   MM    MM
2023 09 28 19 24 360  7.2 11.8    MM    MM    MM  MM     MM   6.6    MM  -0.4   MM   MM    MM
2023 09 28 19 13 350  7.2 11.3    MM    MM    MM  MM     MM   6.3    MM  -0.3   MM   MM    MM
2023 09 28 19 04 350  6.7 12.4    MM    MM    MM  MM     MM   6.0    MM  -0.3   MM   MM    MM
2023 09 28 18 54 350  6.7 10.8    MM    MM    MM  MM     MM   5.7    MM  -0.4   MM   MM    MM
2023 09 28 18 44 340  6.7 10.8    MM    MM    MM  MM     MM   5.4    MM  -0.6   MM   MM    MM
2023 09 28 18 34 340  6.7 11.3    MM    MM    MM  MM     MM   5.4    MM  -0.6   MM   MM    MM
2023 09 28 18 24 340  6.7 10.8    MM    MM    MM  MM     MM   5.2    MM  -0.5   MM   MM    MM
2023 09 28 18 14 350  7.7 12.9    MM    MM    MM  MM     MM   5.0    MM  -0.5   MM   MM    MM
2023 09 28 18 02 350  7.7 11.3    MM    MM    MM  MM     MM   4.7    MM  -0.4   MM   MM    MM
2023 09 28 17 54 350  7.7 11.8    MM    MM    MM  MM     MM   4.8    MM  -0.6   MM   MM    MM
2023 09 28 17 44 350  7.2 10.8    MM    MM    MM  MM     MM   4.7    MM  -0.5   MM   MM    MM
2023 09 28 17 35 340  6.2 10.8    MM    MM    MM  MM     MM   4.6    MM  -0.6   MM   MM    MM
2023 09 28 17 24 340  6.2 10.3    MM    MM    MM  MM     MM   4.4    MM  -0.5   MM   MM    MM
2023 09 28 17 14 350  6.2  9.8    MM    MM    MM  MM     MM   4.6    MM  -0.7   MM   MM    MM
2023 09 28 17 04 350  6.7 10.3    MM    MM    MM  MM     MM   4.5    MM  -0.7   MM   MM    MM
2023 09 28 16 55 350  6.7 10.8    MM    MM    MM  MM     MM   4.4    MM  -0.6   MM   MM    MM
2023 09 28 16 44 350  6.7 11.3    MM    MM    MM  MM     MM   4.4    MM  -0.6   MM   MM    MM
2023 09 28 16 34 350  8.2 11.3    MM    MM    MM  MM     MM   4.4    MM  -0.7   MM   MM    MM
2023 09 28 16 24 350  7.2 10.3    MM    MM    MM  MM     MM   4.4    MM  -0.7   MM   MM    MM
2023 09 28 16 14 350  7.7 11.3    MM    MM    MM  MM     MM   4.6    MM  -0.7   MM   MM    MM
2023 09 28 16 04 350  7.2 10.3    MM    MM    MM  MM     MM   4.5    MM  -0.7   MM   MM    MM
2023 09 28 15 54 350  7.7 11.3    MM    MM    MM  MM     MM   4.5    MM  -0.7   MM   MM    MM
2023 09 28 15 43 350  8.2 11.3    MM    MM    MM  MM     MM   4.7    MM  -0.8   MM   MM    MM
2023 09 28 15 34 360  7.7 11.3    MM    MM    MM  MM     MM   5.0    MM  -0.7   MM   MM    MM
2023 09 28 15 24 360  7.2 10.3    MM    MM    MM  MM     MM   5.0    MM  -0.7   MM   MM    MM
2023 09 28 15 14 350  5.7 10.3    MM    MM    MM  MM     MM   5.0    MM  -0.6   MM   MM    MM
2023 09 28 15 04 340  5.7  9.3    MM    MM    MM  MM     MM   5.3    MM  -0.6   MM   MM    MM
2023 09 28 14 54 350  6.2 10.3    MM    MM    MM  MM     MM   5.3    MM  -0.5   MM   MM    MM
2023 09 28 14 44 350  6.7 10.3    MM    MM    MM  MM     MM   5.4    MM  -0.5   MM   MM    MM
2023 09 28 14 34 360  7.2 11.3    MM    MM    MM  MM     MM   5.6    MM  -0.7   MM   MM    MM
2023 09 28 14 24 350  5.7  9.3    MM    MM    MM  MM     MM   5.5    MM  -0.4   MM   MM    MM
2023 09 28 14 13 360  6.7  9.8    MM    MM    MM  MM     MM   5.6    MM  -0.6   MM   MM    MM
2023 09 28 14 04 360  7.7 11.8    MM    MM    MM  MM     MM   5.7    MM  -0.5   MM   MM    MM
2023 09 28 13 54 360  7.7 10.8    MM    MM    MM  MM     MM   6.2    MM  -0.6   MM   MM    MM
2023 09 28 13 45 360  6.7 10.3    MM    MM    MM  MM     MM   6.1    MM  -0.5   MM   MM    MM
2023 09 28 13 34 360  7.2  9.8    MM    MM    MM  MM     MM   6.1    MM  -0.5   MM   MM    MM
2023 09 28 13 24 360  7.2 10.8    MM    MM    MM  MM     MM   6.6    MM  -0.9   MM   MM    MM
2023 09 28 13 14  10  7.7 10.8    MM    MM    MM  MM     MM   6.7    MM  -0.7   MM   MM    MM
2023 09 28 13 04 360  6.7 10.3    MM    MM    MM  MM     MM   6.9    MM  -0.9   MM   MM    MM
