#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 37 320  4.6  7.7    MM    MM    MM  MM     MM  12.3    MM   6.0   MM   MM    MM
2023 09 28 21 27 320  6.2  7.7    MM    MM    MM  MM     MM  12.1    MM   5.9   MM   MM    MM
2023 09 28 21 07 340  5.1  7.2    MM    MM    MM  MM     MM  11.8    MM   6.4   MM   MM    MM
2023 09 28 20 57 340  4.1  6.2    MM    MM    MM  MM     MM  11.9    MM   6.6   MM   MM    MM
2023 09 28 20 48 340  4.1  5.7    MM    MM    MM  MM     MM  11.7    MM   6.7   MM   MM    MM
2023 09 28 20 37 340  3.6  5.1    MM    MM    MM  MM     MM  11.7    MM   6.8   MM   MM    MM
2023 09 28 20 27 340  3.1  4.1    MM    MM    MM  MM     MM  11.8    MM   6.6   MM   MM    MM
2023 09 28 20 18 340  3.1  4.1    MM    MM    MM  MM     MM  11.7    MM   6.5   MM   MM    MM
2023 09 28 20 07 340  2.6  4.1    MM    MM    MM  MM     MM  11.6    MM   6.6   MM   MM    MM
2023 09 28 19 57 340  3.1  5.1    MM    MM    MM  MM     MM  11.4    MM   6.3   MM   MM    MM
2023 09 28 19 47 340  3.6  5.1    MM    MM    MM  MM     MM  11.1    MM   6.3   MM   MM    MM
2023 09 28 19 37 340  4.6  6.2    MM    MM    MM  MM     MM  11.0    MM   6.3   MM   MM    MM
2023 09 28 19 27 340  3.6  5.1    MM    MM    MM  MM     MM  11.0    MM   6.3   MM   MM    MM
2023 09 28 19 18 330  3.6  5.1    MM    MM    MM  MM     MM  10.9    MM   6.4   MM   MM    MM
2023 09 28 19 06 330  3.6  5.1    MM    MM    MM  MM     MM  10.8    MM   6.4   MM   MM    MM
2023 09 28 18 58 340  3.6  5.1    MM    MM    MM  MM     MM  10.6    MM   6.3   MM   MM    MM
2023 09 28 18 47 330  4.6  6.2    MM    MM    MM  MM     MM  10.4    MM   6.3   MM   MM    MM
2023 09 28 18 37 330  4.6  6.2    MM    MM    MM  MM     MM  10.4    MM   6.2   MM   MM    MM
2023 09 28 18 27 330  5.1  7.2    MM    MM    MM  MM     MM  10.3    MM   6.1   MM   MM    MM
2023 09 28 18 17 330  6.2  8.2    MM    MM    MM  MM     MM  10.1    MM   6.1   MM   MM    MM
2023 09 28 18 07 330  6.7  8.2    MM    MM    MM  MM     MM  10.1    MM   6.0   MM   MM    MM
2023 09 28 17 56 330  4.6  7.2    MM    MM    MM  MM     MM  10.2    MM   6.3   MM   MM    MM
2023 09 28 17 47 340  3.1  6.2    MM    MM    MM  MM     MM  10.2    MM   6.3   MM   MM    MM
2023 09 28 17 37 340  2.6  4.6    MM    MM    MM  MM     MM   9.9    MM   6.3   MM   MM    MM
2023 09 28 17 27 340  2.6  4.6    MM    MM    MM  MM     MM   9.7    MM   6.2   MM   MM    MM
2023 09 28 17 17 340  2.6  4.6    MM    MM    MM  MM     MM   9.4    MM   6.2   MM   MM    MM
2023 09 28 17 07 350  2.1  3.6    MM    MM    MM  MM     MM   9.2    MM   6.3   MM   MM    MM
2023 09 28 16 57 350  2.1  3.6    MM    MM    MM  MM     MM   9.1    MM   6.2   MM   MM    MM
2023 09 28 16 48 340  2.1  4.1    MM    MM    MM  MM     MM   9.1    MM   6.2   MM   MM    MM
2023 09 28 16 37 350  1.5  3.1    MM    MM    MM  MM     MM   9.1    MM   6.2   MM   MM    MM
2023 09 28 16 27 350  1.0  2.1    MM    MM    MM  MM     MM   9.1    MM   6.3   MM   MM    MM
2023 09 28 16 17  10  1.0  2.6    MM    MM    MM  MM     MM   9.0    MM   6.3   MM   MM    MM
2023 09 28 16 07 360  1.0  2.6    MM    MM    MM  MM     MM   8.9    MM   6.2   MM   MM    MM
2023 09 28 15 57  20  1.0  2.6    MM    MM    MM  MM     MM   8.8    MM   6.2   MM   MM    MM
2023 09 28 15 47  10  1.0  2.6    MM    MM    MM  MM     MM   8.7    MM   6.3   MM   MM    MM
2023 09 28 15 36  30  1.0  2.1    MM    MM    MM  MM     MM   8.7    MM   6.2   MM   MM    MM
2023 09 28 15 27  30  1.0  2.6    MM    MM    MM  MM     MM   8.7    MM   6.2   MM   MM    MM
