#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 24 06 16 210  1.0   MM    MM    MM    MM  MM 1016.0  12.8    MM   9.9   MM   MM    MM
2023 09 24 06 10 250  1.0   MM    MM    MM    MM  MM 1016.0  13.1    MM  10.1   MM   MM    MM
2023 09 24 06 04 220  1.5   MM    MM    MM    MM  MM 1016.0  12.8    MM   9.8   MM   MM    MM
2023 09 24 05 58 230  1.5   MM    MM    MM    MM  MM 1016.0  12.8    MM   9.7   MM   MM    MM
2023 09 24 05 52 200  1.5   MM    MM    MM    MM  MM 1016.0  13.1    MM  10.1   MM   MM    MM
2023 09 24 05 46 220  1.5   MM    MM    MM    MM  MM 1016.0  12.6    MM   9.5   MM   MM    MM
2023 09 24 05 40 230  1.0   MM    MM    MM    MM  MM 1016.0  12.6    MM   9.4   MM   MM    MM
2023 09 24 05 34  MM  0.0   MM    MM    MM    MM  MM 1016.0  12.9    MM   9.6   MM   MM    MM
2023 09 24 05 28 180  1.0   MM    MM    MM    MM  MM 1016.0  12.9    MM   9.6   MM   MM    MM
2023 09 24 05 22 280  1.0   MM    MM    MM    MM  MM 1016.0  12.6    MM   9.2   MM   MM    MM
2023 09 24 05 16 240  0.5   MM    MM    MM    MM  MM 1016.0  13.0    MM   9.4   MM   MM    MM
2023 09 24 05 10  MM  0.0   MM    MM    MM    MM  MM 1016.0  13.1    MM   9.3   MM   MM    MM
2023 09 24 05 04  MM  0.0   MM    MM    MM    MM  MM 1016.0  13.3    MM   9.4   MM   MM    MM
2023 09 24 04 58  MM  0.0   MM    MM    MM    MM  MM 1016.0  13.4    MM   9.5   MM   MM    MM
2023 09 24 04 52 280  1.0   MM    MM    MM    MM  MM 1016.0  13.4    MM   9.5   MM   MM    MM
2023 09 24 04 46  MM  0.0   MM    MM    MM    MM  MM 1016.0  13.6    MM   9.7   MM   MM    MM
2023 09 24 04 40 250  1.0   MM    MM    MM    MM  MM 1016.0  13.8    MM   9.9   MM   MM    MM
2023 09 24 04 34  MM  0.0   MM    MM    MM    MM  MM 1016.0  13.9    MM  10.1   MM   MM    MM
2023 09 24 04 28 200  0.5   MM    MM    MM    MM  MM 1016.0  14.0    MM  10.3   MM   MM    MM
2023 09 24 04 22  MM  0.0   MM    MM    MM    MM  MM 1016.0  14.1    MM  10.4   MM   MM    MM
2023 09 24 04 16 230  3.1   MM    MM    MM    MM  MM 1016.0  14.2    MM  10.4   MM   MM    MM
2023 09 24 04 10 200  1.5   MM    MM    MM    MM  MM 1016.0  14.2    MM  10.4   MM   MM    MM
2023 09 24 04 04 240  3.1   MM    MM    MM    MM  MM 1016.0  14.3    MM  10.5   MM   MM    MM
2023 09 24 03 58 240  4.6   MM    MM    MM    MM  MM 1015.0  14.2    MM  10.5   MM   MM    MM
2023 09 24 03 52 250  5.1   MM    MM    MM    MM  MM 1015.0  14.3    MM  10.5   MM   MM    MM
2023 09 24 03 46 260  4.1   MM    MM    MM    MM  MM 1015.0  14.2    MM  10.3   MM   MM    MM
2023 09 24 03 40 230  5.1   MM    MM    MM    MM  MM 1015.0  14.3    MM  10.3   MM   MM    MM
2023 09 24 03 34 210  5.1   MM    MM    MM    MM  MM 1015.0  14.4    MM  10.3   MM   MM    MM
2023 09 24 03 28 230  4.6   MM    MM    MM    MM  MM 1015.0  14.6    MM  10.3   MM   MM    MM
2023 09 24 03 22 250  5.1   MM    MM    MM    MM  MM 1015.0  14.6    MM  10.3   MM   MM    MM
2023 09 24 03 16 210  4.6   MM    MM    MM    MM  MM 1015.0  14.6    MM  10.3   MM   MM    MM
2023 09 24 03 10 240  4.6   MM    MM    MM    MM  MM 1015.0  14.6    MM  10.3   MM   MM    MM
2023 09 24 03 04 230  4.6   MM    MM    MM    MM  MM 1015.0  14.6    MM  10.2   MM   MM    MM
2023 09 24 02 58 230  4.6   MM    MM    MM    MM  MM 1015.0  14.7    MM  10.2   MM   MM    MM
2023 09 24 02 52 230  5.7   MM    MM    MM    MM  MM 1015.0  14.8    MM  10.3   MM   MM    MM
2023 09 24 02 46 230  6.2   MM    MM    MM    MM  MM 1015.0  14.8    MM  10.3   MM   MM    MM
2023 09 24 02 40 220  5.1   MM    MM    MM    MM  MM 1015.0  14.8    MM  10.2   MM   MM    MM
2023 09 24 02 34 220  3.6   MM    MM    MM    MM  MM 1015.0  14.8    MM  10.3   MM   MM    MM
2023 09 24 02 28 230  4.1   MM    MM    MM    MM  MM 1015.0  14.8    MM  10.2   MM   MM    MM
2023 09 24 02 22 240  5.1   MM    MM    MM    MM  MM 1015.0  14.9    MM  10.3   MM   MM    MM
2023 09 24 02 16 230  5.7   MM    MM    MM    MM  MM 1015.0  14.9    MM  10.2   MM   MM    MM
2023 09 24 02 10 230  3.6   MM    MM    MM    MM  MM 1015.0  15.0    MM  10.3   MM   MM    MM
2023 09 24 02 04 220  7.2   MM    MM    MM    MM  MM 1015.0  15.0    MM  10.2   MM   MM    MM
2023 09 24 01 58 230  4.1   MM    MM    MM    MM  MM 1015.0  15.1    MM  10.2   MM   MM    MM
2023 09 24 01 52 220  6.2   MM    MM    MM    MM  MM 1015.0  15.2    MM  10.3   MM   MM    MM
2023 09 24 01 46 240  4.6   MM    MM    MM    MM  MM 1015.0  15.2    MM  10.2   MM   MM    MM
2023 09 24 01 40 250  3.6   MM    MM    MM    MM  MM 1015.0  15.3    MM  10.3   MM   MM    MM
2023 09 24 01 34 240  5.1   MM    MM    MM    MM  MM 1015.0  15.4    MM  10.3   MM   MM    MM
2023 09 24 01 28 250  7.2   MM    MM    MM    MM  MM 1015.0  15.4    MM  10.2   MM   MM    MM
2023 09 24 01 22 240  4.6   MM    MM    MM    MM  MM 1015.0  15.6    MM  10.3   MM   MM    MM
2023 09 24 01 16 230  5.1   MM    MM    MM    MM  MM 1015.0  15.8    MM  10.4   MM   MM    MM
2023 09 24 01 10 240  4.1   MM    MM    MM    MM  MM 1015.0  15.9    MM  10.4   MM   MM    MM
2023 09 24 01 04 230  2.6   MM    MM    MM    MM  MM 1015.0  16.1    MM  10.6   MM   MM    MM
2023 09 24 00 58 250  4.1   MM    MM    MM    MM  MM 1015.0  16.2    MM  10.5   MM   MM    MM
2023 09 24 00 52 230  6.2   MM    MM    MM    MM  MM 1015.0  16.4    MM  10.5   MM   MM    MM
2023 09 24 00 46 220  5.1   MM    MM    MM    MM  MM 1015.0  16.5    MM  10.7   MM   MM    MM
2023 09 24 00 40 240  4.1   MM    MM    MM    MM  MM 1016.0  16.6    MM  10.7   MM   MM    MM
2023 09 24 00 34 240  4.1   MM    MM    MM    MM  MM 1016.0  16.5    MM  10.5   MM   MM    MM
2023 09 24 00 28 220  5.1   MM    MM    MM    MM  MM 1016.0  16.6    MM  10.6   MM   MM    MM
2023 09 24 00 22 230  7.2   MM    MM    MM    MM  MM 1016.0  16.6    MM  10.5   MM   MM    MM
2023 09 24 00 16 230  5.1   MM    MM    MM    MM  MM 1016.0  16.7    MM  10.6   MM   MM    MM
2023 09 24 00 10 210  3.6   MM    MM    MM    MM  MM 1016.0  16.8    MM  10.6   MM   MM    MM
2023 09 24 00 04 230  4.6   MM    MM    MM    MM  MM 1016.0  16.9    MM  10.6   MM   MM    MM
