#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 43 150  0.5  1.0    MM    MM    MM  MM 1016.3  11.4    MM   7.4   MM   MM    MM
2023 09 28 21 33 140  1.0  1.5    MM    MM    MM  MM 1016.3  11.8    MM   7.8   MM   MM    MM
2023 09 28 21 23  MM  0.0  0.5    MM    MM    MM  MM 1016.4  12.0    MM   7.5   MM   MM    MM
2023 09 28 21 12  MM  0.0  1.0    MM    MM    MM  MM 1016.3  11.5    MM   7.9   MM   MM    MM
2023 09 28 21 03 260  0.5  1.0    MM    MM    MM  MM 1016.3  11.2    MM   7.9   MM   MM    MM
2023 09 28 20 53 260  1.0  2.1    MM    MM    MM  MM 1016.3  10.9    MM   7.8   MM   MM    MM
2023 09 28 20 42 240  1.5  2.6    MM    MM    MM  MM 1016.2  11.1    MM   8.1   MM   MM    MM
2023 09 28 20 33 230  1.5  2.6    MM    MM    MM  MM 1016.2  11.6    MM   8.3   MM   MM    MM
2023 09 28 20 22 230  1.0  1.5    MM    MM    MM  MM 1016.2  11.9    MM   8.3   MM   MM    MM
2023 09 28 20 13 220  0.5  1.0    MM    MM    MM  MM 1016.2  11.9    MM   8.3   MM   MM    MM
2023 09 28 20 03 230  0.5  1.0    MM    MM    MM  MM 1016.2  11.9    MM   8.4   MM   MM    MM
2023 09 28 19 53  MM  0.0  1.0    MM    MM    MM  MM 1016.2  11.6    MM   8.2   MM   MM    MM
2023 09 28 19 43 210  0.5  2.1    MM    MM    MM  MM 1016.2  11.6    MM   7.9   MM   MM    MM
2023 09 28 19 33  MM  0.0  1.0    MM    MM    MM  MM 1016.1  11.5    MM   8.0   MM   MM    MM
2023 09 28 19 22 150  0.5  0.5    MM    MM    MM  MM 1016.1  11.2    MM   8.1   MM   MM    MM
2023 09 28 19 13  MM  0.0  1.0    MM    MM    MM  MM 1016.0  11.1    MM   8.1   MM   MM    MM
2023 09 28 19 02  MM  0.0  1.0    MM    MM    MM  MM 1016.0  11.0    MM   8.2   MM   MM    MM
2023 09 28 18 53  MM  0.0  0.5    MM    MM    MM  MM 1015.9  10.7    MM   8.2   MM   MM    MM
2023 09 28 18 43  90  0.5  1.0    MM    MM    MM  MM 1015.9  10.3    MM   8.1   MM   MM    MM
2023 09 28 18 33  MM  0.0  1.0    MM    MM    MM  MM 1015.9  10.3    MM   8.1   MM   MM    MM
2023 09 28 18 23  MM  0.0  0.5    MM    MM    MM  MM 1015.9   9.8    MM   8.0   MM   MM    MM
2023 09 28 18 12 100  0.5  1.0    MM    MM    MM  MM 1015.9   9.3    MM   7.7   MM   MM    MM
2023 09 28 18 02 140  1.5  2.1    MM    MM    MM  MM 1015.9   9.0    MM   7.6   MM   MM    MM
2023 09 28 17 52 130  1.5  2.1    MM    MM    MM  MM 1015.8   8.9    MM   7.5   MM   MM    MM
2023 09 28 17 42 130  1.5  2.1    MM    MM    MM  MM 1015.7   8.9    MM   7.7   MM   MM    MM
2023 09 28 17 33 110  2.1  2.1    MM    MM    MM  MM 1015.7   8.8    MM   7.7   MM   MM    MM
2023 09 28 17 22  90  1.5  2.1    MM    MM    MM  MM 1015.7   8.7    MM   7.5   MM   MM    MM
2023 09 28 17 12 110  1.0  2.1    MM    MM    MM  MM 1015.7   8.6    MM   7.5   MM   MM    MM
2023 09 28 17 03 120  1.0  1.0    MM    MM    MM  MM 1015.6   8.8    MM   7.6   MM   MM    MM
2023 09 28 16 53  MM  0.0  0.5    MM    MM    MM  MM 1015.6   8.8    MM   7.8   MM   MM    MM
2023 09 28 16 43 200  0.5  1.5    MM    MM    MM  MM 1015.6   8.4    MM   7.6   MM   MM    MM
2023 09 28 16 33 200  1.0  2.1    MM    MM    MM  MM 1015.6   8.2    MM   7.4   MM   MM    MM
2023 09 28 16 23 190  1.0  2.6    MM    MM    MM  MM 1015.5   8.3    MM   7.5   MM   MM    MM
2023 09 28 16 13  40  1.0  1.5    MM    MM    MM  MM 1015.4   8.2    MM   7.4   MM   MM    MM
2023 09 28 16 03 100  1.0  1.5    MM    MM    MM  MM 1015.4   8.2    MM   7.4   MM   MM    MM
2023 09 28 15 52 170  1.0  1.5    MM    MM    MM  MM 1015.4   8.2    MM   7.5   MM   MM    MM
2023 09 28 15 43 100  0.5  1.5    MM    MM    MM  MM 1015.3   8.1    MM   7.5   MM   MM    MM
2023 09 28 15 32 100  0.5  1.5    MM    MM    MM  MM 1015.3   8.1    MM   7.5   MM   MM    MM
2023 09 28 15 23 190  0.5  2.1    MM    MM    MM  MM 1015.2   8.0    MM   7.4   MM   MM    MM
2023 09 28 15 13  50  1.0  2.1    MM    MM    MM  MM 1015.1   8.0    MM   7.4   MM   MM    MM
2023 09 28 15 03  30  1.0  1.5    MM    MM    MM  MM 1015.1   8.1    MM   7.5   MM   MM    MM
2023 09 28 14 53  30  0.5  1.5    MM    MM    MM  MM 1015.1   8.2    MM   7.4   MM   MM    MM
2023 09 28 14 43  30  0.5  1.0    MM    MM    MM  MM 1015.1   8.4    MM   7.6   MM   MM    MM
2023 09 28 14 33  MM  0.0  1.0    MM    MM    MM  MM 1015.0   8.4    MM   7.6   MM   MM    MM
2023 09 28 14 23 130  0.5  1.5    MM    MM    MM  MM 1015.0   8.5    MM   7.6   MM   MM    MM
2023 09 28 14 13  40  0.5  1.5    MM    MM    MM  MM 1014.9   8.5    MM   7.6   MM   MM    MM
2023 09 28 14 02  60  1.0  2.1    MM    MM    MM  MM 1014.9   8.3    MM   7.5   MM   MM    MM
2023 09 28 13 53  70  0.5  1.5    MM    MM    MM  MM 1014.8   8.5    MM   7.6   MM   MM    MM
2023 09 28 13 43 140  1.0  2.1    MM    MM    MM  MM 1014.7   8.5    MM   7.5   MM   MM    MM
2023 09 28 13 33 160  1.0  2.1    MM    MM    MM  MM 1014.7   8.5    MM   7.6   MM   MM    MM
2023 09 28 13 23  50  1.0  2.1    MM    MM    MM  MM 1014.6   8.5    MM   7.6   MM   MM    MM
2023 09 28 13 12  40  1.0  2.1    MM    MM    MM  MM 1014.6   8.5    MM   7.5   MM   MM    MM
2023 09 28 13 03  60  1.0  2.1    MM    MM    MM  MM 1014.6   8.5    MM   7.6   MM   MM    MM
2023 09 28 12 53  40  1.0  2.1    MM    MM    MM  MM 1014.5   8.5    MM   7.6   MM   MM    MM
2023 09 28 12 42  40  0.5  1.5    MM    MM    MM  MM 1014.4   8.5    MM   7.6   MM   MM    MM
2023 09 28 12 33  60  1.0  1.5    MM    MM    MM  MM 1014.3   8.5    MM   7.5   MM   MM    MM
2023 09 28 12 23  40  0.5  1.0    MM    MM    MM  MM 1014.2   8.4    MM   7.6   MM   MM    MM
2023 09 28 12 13  20  0.5  1.5    MM    MM    MM  MM 1014.2   8.4    MM   7.6   MM   MM    MM
2023 09 28 12 02 360  0.5  1.5    MM    MM    MM  MM 1014.1   8.5    MM   7.6   MM   MM    MM
2023 09 28 11 53 360  0.5  1.5    MM    MM    MM  MM 1014.1   8.4    MM   7.6   MM   MM    MM
2023 09 28 11 43 360  1.0  1.5    MM    MM    MM  MM 1014.0   8.3    MM   7.7   MM   MM    MM
2023 09 28 11 32 350  1.0  1.5    MM    MM    MM  MM 1014.0   8.4    MM   7.6   MM   MM    MM
2023 09 28 11 23 350  1.0  1.5    MM    MM    MM  MM 1013.9   8.4    MM   7.6   MM   MM    MM
2023 09 28 11 12  10  1.0  1.5    MM    MM    MM  MM 1013.9   8.4    MM   7.6   MM   MM    MM
2023 09 28 11 03 360  1.0  1.5    MM    MM    MM  MM 1013.8   8.4    MM   7.7   MM   MM    MM
2023 09 28 10 53  20  0.5  1.5    MM    MM    MM  MM 1013.7   8.4    MM   7.6   MM   MM    MM
2023 09 28 10 42  MM  0.0  1.0    MM    MM    MM  MM 1013.6   8.5    MM   7.7   MM   MM    MM
2023 09 28 10 32  10  1.0  1.5    MM    MM    MM  MM 1013.5   8.5    MM   7.6   MM   MM    MM
2023 09 28 10 23 360  1.0  2.1    MM    MM    MM  MM 1013.4   8.5    MM   7.5   MM   MM    MM
2023 09 28 10 13  10  1.0  1.5    MM    MM    MM  MM 1013.4   8.4    MM   7.6   MM   MM    MM
2023 09 28 10 02  40  0.5  1.5    MM    MM    MM  MM 1013.3   8.5    MM   7.7   MM   MM    MM
2023 09 28 09 53  40  0.5  1.0    MM    MM    MM  MM 1013.3   8.5    MM   7.7   MM   MM    MM
2023 09 28 09 43  10  1.5  2.6    MM    MM    MM  MM 1013.1   8.6    MM   7.6   MM   MM    MM
2023 09 28 09 33  40  1.5  2.6    MM    MM    MM  MM 1013.1   8.6    MM   7.5   MM   MM    MM
2023 09 28 09 22  30  1.5  2.6    MM    MM    MM  MM 1012.9   8.7    MM   7.6   MM   MM    MM
2023 09 28 09 13  30  1.0  2.1    MM    MM    MM  MM 1012.8   8.8    MM   7.8   MM   MM    MM
2023 09 28 09 03  40  1.0  1.5    MM    MM    MM  MM 1012.7   9.1    MM   7.6   MM   MM    MM
2023 09 28 08 52  20  1.5  3.1    MM    MM    MM  MM 1012.5   9.1    MM   7.4   MM   MM    MM
2023 09 28 08 42  40  1.5  3.1    MM    MM    MM  MM 1012.4   8.9    MM   7.6   MM   MM    MM
2023 09 28 08 33  30  1.5  3.1    MM    MM    MM  MM 1012.3   9.0    MM   7.8   MM   MM    MM
2023 09 28 08 23  30  1.0  2.1    MM    MM    MM  MM 1012.2   9.2    MM   7.9   MM   MM    MM
2023 09 28 08 13  30  1.0  1.5    MM    MM    MM  MM 1012.1   9.4    MM   7.8   MM   MM    MM
2023 09 28 08 03 110  1.0  1.5    MM    MM    MM  MM 1012.0   9.7    MM   7.8   MM   MM    MM
2023 09 28 07 52 150  1.5  2.6    MM    MM    MM  MM 1011.9   9.7    MM   7.9   MM   MM    MM
2023 09 28 07 43 170  2.6  3.1    MM    MM    MM  MM 1011.7   9.8    MM   7.7   MM   MM    MM
2023 09 28 07 33 170  2.1  3.1    MM    MM    MM  MM 1011.6   9.8    MM   7.7   MM   MM    MM
2023 09 28 07 22 160  2.1  3.1    MM    MM    MM  MM 1011.4   9.8    MM   7.8   MM   MM    MM
2023 09 28 07 13 170  1.5  2.6    MM    MM    MM  MM 1011.3   9.7    MM   7.9   MM   MM    MM
2023 09 28 07 02 170  1.5  3.1    MM    MM    MM  MM 1011.2   9.7    MM   7.8   MM   MM    MM
2023 09 28 06 53 180  2.6  4.1    MM    MM    MM  MM 1011.1   9.7    MM   7.9   MM   MM    MM
2023 09 28 06 42 180  2.1  3.1    MM    MM    MM  MM 1011.0   9.8    MM   7.9   MM   MM    MM
2023 09 28 06 33 180  2.6  4.1    MM    MM    MM  MM 1010.8   9.8    MM   7.8   MM   MM    MM
2023 09 28 06 22 170  2.1  3.1    MM    MM    MM  MM 1010.6   9.8    MM   7.9   MM   MM    MM
2023 09 28 06 13 160  2.1  3.1    MM    MM    MM  MM 1010.5   9.7    MM   7.9   MM   MM    MM
2023 09 28 06 03 120  1.0  2.6    MM    MM    MM  MM 1010.4   9.4    MM   7.8   MM   MM    MM
2023 09 28 05 53 360  0.5  1.5    MM    MM    MM  MM 1010.3   9.2    MM   8.0   MM   MM    MM
2023 09 28 05 42 360  1.0  1.5    MM    MM    MM  MM 1010.1   9.2    MM   8.2   MM   MM    MM
2023 09 28 05 32 340  1.0  1.5    MM    MM    MM  MM 1010.0   9.3    MM   8.0   MM   MM    MM
2023 09 28 05 22 320  0.5  1.5    MM    MM    MM  MM 1009.9   9.5    MM   8.0   MM   MM    MM
2023 09 28 05 13 100  1.5  3.6    MM    MM    MM  MM 1009.7   9.3    MM   7.8   MM   MM    MM
2023 09 28 05 03  70  2.1  3.6    MM    MM    MM  MM 1009.5   9.2    MM   8.0   MM   MM    MM
2023 09 28 04 53  80  0.5  1.5    MM    MM    MM  MM 1009.4   9.5    MM   8.1   MM   MM    MM
2023 09 28 04 43  20  0.5  1.5    MM    MM    MM  MM 1009.3   9.5    MM   8.2   MM   MM    MM
2023 09 28 04 33  70  0.5  1.0    MM    MM    MM  MM 1009.1   9.5    MM   8.1   MM   MM    MM
2023 09 28 04 23  60  1.0  2.6    MM    MM    MM  MM 1008.9   9.4    MM   8.0   MM   MM    MM
2023 09 28 04 13  50  1.0  2.1    MM    MM    MM  MM 1008.8   9.6    MM   8.1   MM   MM    MM
2023 09 28 04 03 100  1.0  2.6    MM    MM    MM  MM 1008.6   9.6    MM   8.0   MM   MM    MM
2023 09 28 03 53  80  2.1  3.6    MM    MM    MM  MM 1008.4   9.6    MM   7.9   MM   MM    MM
2023 09 28 03 43  70  2.1  3.6    MM    MM    MM  MM 1008.2   9.6    MM   7.9   MM   MM    MM
2023 09 28 03 33  60  2.1  4.1    MM    MM    MM  MM 1008.0   9.5    MM   7.9   MM   MM    MM
2023 09 28 03 23  40  1.0  3.1    MM    MM    MM  MM 1007.9   9.6    MM   8.1   MM   MM    MM
2023 09 28 03 13 360  0.5  1.5    MM    MM    MM  MM 1007.7   9.6    MM   8.2   MM   MM    MM
2023 09 28 03 02 330  1.0  1.5    MM    MM    MM  MM 1007.5   9.7    MM   8.2   MM   MM    MM
2023 09 28 02 52 350  0.5  1.5    MM    MM    MM  MM 1007.3   9.9    MM   8.0   MM   MM    MM
2023 09 28 02 43 240  1.0  2.6    MM    MM    MM  MM 1007.2  10.0    MM   7.8   MM   MM    MM
2023 09 28 02 33 190  2.1  4.1    MM    MM    MM  MM 1007.1  10.1    MM   7.8   MM   MM    MM
2023 09 28 02 22 150  2.1  4.1    MM    MM    MM  MM 1006.9  10.2    MM   7.8   MM   MM    MM
2023 09 28 02 12 160  1.5  2.6    MM    MM    MM  MM 1006.6  10.3    MM   7.9   MM   MM    MM
2023 09 28 02 03 160  1.5  3.1    MM    MM    MM  MM 1006.4  10.3    MM   7.8   MM   MM    MM
2023 09 28 01 52 190  2.6  5.7    MM    MM    MM  MM 1006.2  10.4    MM   7.8   MM   MM    MM
2023 09 28 01 42 170  3.1  5.7    MM    MM    MM  MM 1006.0  10.7    MM   8.1   MM   MM    MM
2023 09 28 01 32 190  3.1  6.7    MM    MM    MM  MM 1005.7  10.7    MM   8.4   MM   MM    MM
2023 09 28 01 22 170  4.1  7.2    MM    MM    MM  MM 1005.4  11.1    MM   8.3   MM   MM    MM
2023 09 28 01 12 170  4.1  7.2    MM    MM    MM  MM 1005.0  11.3    MM   8.6   MM   MM    MM
2023 09 28 01 02 160  3.1  5.7    MM    MM    MM  MM 1004.7  11.2    MM   8.8   MM   MM    MM
2023 09 28 00 52 140  2.1  4.1    MM    MM    MM  MM 1004.5  11.0    MM   9.2   MM   MM    MM
2023 09 28 00 42  90  2.6  5.1    MM    MM    MM  MM 1004.1  10.6    MM   9.3   MM   MM    MM
2023 09 28 00 32  80  3.6  5.1    MM    MM    MM  MM 1003.6  10.5    MM   9.2   MM   MM    MM
2023 09 28 00 22  80  3.6  7.2    MM    MM    MM  MM 1003.2  10.5    MM   9.1   MM   MM    MM
2023 09 28 00 12  90  3.6  5.7    MM    MM    MM  MM 1002.9  10.5    MM   9.1   MM   MM    MM
2023 09 27 23 52  90  4.6  7.2    MM    MM    MM  MM 1002.3  10.6    MM   9.0   MM   MM    MM
2023 09 27 23 42  90  4.6  7.2    MM    MM    MM  MM 1002.2  10.7    MM   9.0   MM   MM    MM
2023 09 27 23 32  90  4.1  6.7    MM    MM    MM  MM 1002.0  10.8    MM   9.1   MM   MM    MM
2023 09 27 23 22 100  4.6  6.2    MM    MM    MM  MM 1001.9  10.9    MM   9.1   MM   MM    MM
2023 09 27 23 12  90  4.1  8.2    MM    MM    MM  MM 1001.7  10.8    MM   9.1   MM   MM    MM
2023 09 27 23 02  90  4.1  6.7    MM    MM    MM  MM 1001.5  10.9    MM   9.2   MM   MM    MM
2023 09 27 22 52  80  4.1  6.2    MM    MM    MM  MM 1001.3  10.9    MM   9.3   MM   MM    MM
2023 09 27 22 42  80  4.1  7.2    MM    MM    MM  MM 1001.0  11.0    MM   9.3   MM   MM    MM
2023 09 27 22 32  90  4.1  6.7    MM    MM    MM  MM 1000.9  11.0    MM   9.3   MM   MM    MM
2023 09 27 22 22  90  4.1  7.2    MM    MM    MM  MM 1000.6  11.0    MM   9.4   MM   MM    MM
2023 09 27 22 12  80  4.6  8.8    MM    MM    MM  MM 1000.3  11.0    MM   9.4   MM   MM    MM
2023 09 27 22 02  90  4.6  7.7    MM    MM    MM  MM 1000.1  11.1    MM   9.4   MM   MM    MM
2023 09 27 21 52  90  5.1  8.8    MM    MM    MM  MM  999.9  11.1    MM   9.5   MM   MM    MM
2023 09 27 21 42  90  5.1  7.7    MM    MM    MM  MM  999.6  11.2    MM   9.5   MM   MM    MM
2023 09 27 21 32  90  5.7  9.3    MM    MM    MM  MM  999.4  11.2    MM   9.5   MM   MM    MM
2023 09 27 21 22  90  6.2  9.8    MM    MM    MM  MM  999.1  11.1    MM   9.5   MM   MM    MM
2023 09 27 21 12  90  6.2  9.8    MM    MM    MM  MM  998.9  11.1    MM   9.4   MM   MM    MM
2023 09 27 21 02  90  5.7  9.8    MM    MM    MM  MM  998.7  11.0    MM   9.5   MM   MM    MM
2023 09 27 20 52  80  6.2 10.8    MM    MM    MM  MM  998.4  11.1    MM   9.4   MM   MM    MM
2023 09 27 20 42  90  6.2 10.3    MM    MM    MM  MM  998.3  11.2    MM   9.5   MM   MM    MM
2023 09 27 20 32  90  6.7 11.3    MM    MM    MM  MM  998.1  11.2    MM   9.5   MM   MM    MM
2023 09 27 20 22  90  6.7 10.8    MM    MM    MM  MM  997.9  11.2    MM   9.5   MM   MM    MM
2023 09 27 20 12  90  7.2 13.4    MM    MM    MM  MM  997.7  11.3    MM   9.6   MM   MM    MM
2023 09 27 20 02  90  6.7 11.3    MM    MM    MM  MM  997.6  11.3    MM   9.6   MM   MM    MM
2023 09 27 19 52  90  7.2 11.3    MM    MM    MM  MM  997.4  11.3    MM   9.7   MM   MM    MM
2023 09 27 19 42  80  6.2 10.3    MM    MM    MM  MM  997.3  11.3    MM   9.7   MM   MM    MM
2023 09 27 19 32  90  6.2 10.8    MM    MM    MM  MM  997.2  11.4    MM   9.8   MM   MM    MM
2023 09 27 19 22  90  6.7 11.3    MM    MM    MM  MM  997.0  11.5    MM   9.8   MM   MM    MM
2023 09 27 19 12  90  6.2 11.8    MM    MM    MM  MM  996.8  11.7    MM  10.0   MM   MM    MM
2023 09 27 19 02  90  6.7 11.8    MM    MM    MM  MM  996.6  11.8    MM   9.9   MM   MM    MM
2023 09 27 18 52  80  6.2 10.3    MM    MM    MM  MM  996.5  11.7    MM   9.9   MM   MM    MM
2023 09 27 18 42  90  6.7 10.8    MM    MM    MM  MM  996.4  11.8    MM  10.0   MM   MM    MM
2023 09 27 18 32  90  6.2 11.8    MM    MM    MM  MM  996.4  11.8    MM  10.0   MM   MM    MM
2023 09 27 18 22  90  6.2 10.8    MM    MM    MM  MM  996.2  11.8    MM  10.0   MM   MM    MM
2023 09 27 18 12  80  4.6  9.3    MM    MM    MM  MM  996.2  11.7    MM  10.0   MM   MM    MM
2023 09 27 18 02 100  4.6  6.7    MM    MM    MM  MM  996.2  11.1    MM   9.9   MM   MM    MM
2023 09 27 17 52  90  4.1  8.2    MM    MM    MM  MM  996.1  11.1    MM   9.9   MM   MM    MM
2023 09 27 17 42 100  4.1  6.7    MM    MM    MM  MM  996.1  11.4    MM   9.9   MM   MM    MM
