#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 00  10  7.2  7.7    MM    MM    MM  MM 1021.6  18.0    MM    MM   MM -1.8    MM
2023 09 28 20 00 360  6.2  6.7    MM    MM    MM  MM 1022.2  17.7    MM    MM   MM -1.2    MM
2023 09 28 19 00 350  6.2  7.2    MM    MM    MM  MM 1022.7  17.5    MM    MM   MM -1.2    MM
2023 09 28 18 00  10  6.2  6.7    MM    MM    MM  MM 1023.4  16.7    MM    MM   MM -0.8    MM
2023 09 28 17 00  10  6.2  6.7    MM    MM    MM  MM 1023.4  17.7    MM    MM   MM -1.0    MM
2023 09 28 16 00  10  6.2  6.7    MM    MM    MM  MM 1023.9  17.0    MM    MM   MM -0.5    MM
2023 09 28 15 00  10  6.2  6.7    MM    MM    MM  MM 1024.2  16.7    MM    MM   MM +0.0    MM
2023 09 28 14 00  10  5.7  6.2    MM    MM    MM  MM 1024.4  16.1    MM    MM   MM +0.7    MM
2023 09 28 13 00  20  6.7  7.2    MM    MM    MM  MM 1024.4  15.7    MM    MM   MM +1.1    MM
2023 09 28 12 00  30  7.2  7.7    MM    MM    MM  MM 1024.2  15.1    MM    MM   MM +0.8    MM
2023 09 28 11 00  20  8.2  8.8    MM    MM    MM  MM 1023.7  15.1    MM    MM   MM +0.4    MM
2023 09 28 10 00  20  7.2  8.8    MM    MM    MM  MM 1023.3  15.0    MM    MM   MM -0.7    MM
2023 09 28 09 00  20  6.7  7.7    MM    MM    MM  MM 1023.4  15.0    MM    MM   MM -1.1    MM
2023 09 28 08 00  20  6.7  8.2    MM    MM    MM  MM 1023.3  15.0    MM    MM   MM -1.1    MM
2023 09 28 07 00  10  5.7  6.2    MM    MM    MM  MM 1024.0  15.0    MM    MM   MM -0.8    MM
2023 09 28 06 00  20  5.7  6.7    MM    MM    MM  MM 1024.5  15.3    MM    MM   MM -0.8    MM
