#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 35 210  2.1  3.1    MM    MM    MM  MM     MM  11.0    MM   5.6   MM   MM    MM
2023 09 28 21 24 220  1.5  2.6    MM    MM    MM  MM     MM  11.0    MM   5.6   MM   MM    MM
2023 09 28 21 14 220  2.6  4.1    MM    MM    MM  MM     MM  10.8    MM   5.9   MM   MM    MM
2023 09 28 21 05 210  2.1  3.6    MM    MM    MM  MM     MM  11.0    MM   6.1   MM   MM    MM
2023 09 28 20 55 230  0.5  1.5    MM    MM    MM  MM     MM  11.7    MM   5.7   MM   MM    MM
2023 09 28 20 44 210  1.0  1.5    MM    MM    MM  MM     MM  11.0    MM   5.8   MM   MM    MM
2023 09 28 20 34 220  1.5  2.6    MM    MM    MM  MM     MM  10.7    MM   6.0   MM   MM    MM
2023 09 28 20 25 220  2.1  3.1    MM    MM    MM  MM     MM  10.8    MM   6.0   MM   MM    MM
2023 09 28 20 15 170  1.5  3.6    MM    MM    MM  MM     MM  11.7    MM   5.9   MM   MM    MM
2023 09 28 20 05 150  1.0  1.5    MM    MM    MM  MM     MM  12.5    MM   5.3   MM   MM    MM
2023 09 28 19 55 170  0.5  1.5    MM    MM    MM  MM     MM  11.8    MM   5.5   MM   MM    MM
2023 09 28 19 44 180  0.5  1.5    MM    MM    MM  MM     MM  11.7    MM   5.3   MM   MM    MM
2023 09 28 19 34 340  0.5  1.5    MM    MM    MM  MM     MM  11.7    MM   5.0   MM   MM    MM
2023 09 28 19 24  70  1.0  1.5    MM    MM    MM  MM     MM  11.7    MM   5.0   MM   MM    MM
2023 09 28 19 13 110  1.0  2.1    MM    MM    MM  MM     MM  11.7    MM   5.2   MM   MM    MM
2023 09 28 19 05 120  1.0  2.1    MM    MM    MM  MM     MM  10.9    MM   5.4   MM   MM    MM
2023 09 28 18 54 150  0.5  1.0    MM    MM    MM  MM     MM  10.6    MM   6.0   MM   MM    MM
2023 09 28 18 44  MM  0.0  1.0    MM    MM    MM  MM     MM  10.3    MM   5.9   MM   MM    MM
2023 09 28 18 34 280  1.0  1.5    MM    MM    MM  MM     MM   9.8    MM   5.1   MM   MM    MM
2023 09 28 18 24 250  1.0  2.6    MM    MM    MM  MM     MM   9.7    MM   5.1   MM   MM    MM
2023 09 28 18 14 280  1.5  3.1    MM    MM    MM  MM     MM   9.6    MM   5.0   MM   MM    MM
2023 09 28 18 02 270  1.0  2.1    MM    MM    MM  MM     MM   9.5    MM   5.0   MM   MM    MM
2023 09 28 17 54 280  1.5  2.1    MM    MM    MM  MM     MM   9.3    MM   5.1   MM   MM    MM
2023 09 28 17 44 310  1.0  1.5    MM    MM    MM  MM     MM   9.5    MM   4.9   MM   MM    MM
2023 09 28 17 35 290  0.5  1.5    MM    MM    MM  MM     MM   9.3    MM   4.6   MM   MM    MM
2023 09 28 17 24 270  1.0  1.5    MM    MM    MM  MM     MM   9.0    MM   4.7   MM   MM    MM
2023 09 28 17 14 290  1.0  1.5    MM    MM    MM  MM     MM   9.0    MM   4.5   MM   MM    MM
2023 09 28 17 05 290  1.0  2.1    MM    MM    MM  MM     MM   8.8    MM   4.5   MM   MM    MM
2023 09 28 16 55 310  1.0  1.5    MM    MM    MM  MM     MM   8.7    MM   4.5   MM   MM    MM
2023 09 28 16 45 310  1.0  2.1    MM    MM    MM  MM     MM   8.6    MM   4.6   MM   MM    MM
2023 09 28 16 34 310  1.0  2.1    MM    MM    MM  MM     MM   8.6    MM   4.4   MM   MM    MM
2023 09 28 16 25 320  1.0  2.1    MM    MM    MM  MM     MM   8.8    MM   4.3   MM   MM    MM
2023 09 28 16 14 280  1.0  2.1    MM    MM    MM  MM     MM   8.5    MM   4.2   MM   MM    MM
2023 09 28 16 04 270  1.0  2.1    MM    MM    MM  MM     MM   8.2    MM   4.2   MM   MM    MM
2023 09 28 15 54 300  1.0  2.1    MM    MM    MM  MM     MM   8.1    MM   4.2   MM   MM    MM
