#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 00 300  4.6  5.1    MM    MM    MM  MM 1011.0  28.7  30.8  25.0   MM -1.4    MM
2023 09 28 20 00 290  4.1  4.6    MM    MM    MM  MM 1011.1  28.5  30.7  25.3   MM -1.8    MM
2023 09 28 19 00 280  3.6  4.1    MM    MM    MM  MM 1011.7  28.6  30.3  25.6   MM -1.7    MM
2023 09 28 18 00 250  3.6  3.6    MM    MM    MM  MM 1012.4  28.6  29.9  25.2   MM -1.1    MM
2023 09 28 17 00 260  2.1  2.6    MM    MM    MM  MM 1012.9  29.0  29.4  25.2   MM -0.3    MM
2023 09 28 16 00 310  2.1  2.6    MM    MM    MM  MM 1013.4  28.5  29.2  25.0   MM   MM    MM
2023 09 28 15 00  20  3.1  3.6    MM    MM    MM  MM 1013.5  27.4  29.0  25.1   MM +0.3    MM
2023 09 28 14 00  60  3.6  4.6    MM    MM    MM  MM 1013.2  25.7  28.9  25.0   MM +0.5    MM
2023 09 28 12 00  60  3.1  4.1    MM    MM    MM  MM 1013.2  23.5  29.0  23.5   MM +1.8    MM
2023 09 28 11 00  60  3.1  3.6    MM    MM    MM  MM 1012.7  23.6  29.1  23.6   MM +1.0    MM
2023 09 28 10 00  70  2.6  3.1    MM    MM    MM  MM 1011.8  23.9  29.1  23.9   MM -0.5    MM
2023 09 28 09 00  80  2.1  2.6    MM    MM    MM  MM 1011.4  23.9  29.1  23.9   MM -1.4    MM
2023 09 28 08 00  80  2.6  3.1    MM    MM    MM  MM 1011.7  24.0  29.1  24.0   MM -1.4    MM
2023 09 28 07 00  80  3.1  3.6    MM    MM    MM  MM 1012.3  24.1  29.2  24.1   MM -1.2    MM
2023 09 28 06 00  70  3.1  4.1    MM    MM    MM  MM 1012.8  24.3  29.2  24.3   MM -0.7    MM
2023 09 28 05 00  50  4.1  4.6    MM    MM    MM  MM 1013.1  24.8  29.4  24.6   MM -0.5    MM
2023 09 28 04 00  30  2.6  3.1    MM    MM    MM  MM 1013.5  25.7  29.4  25.4   MM +0.4    MM
2023 09 28 03 00 150  2.6  2.6    MM    MM    MM  MM 1013.5  26.7  29.5  24.7   MM +1.1    MM
2023 09 28 02 00 220  4.6  4.6    MM    MM    MM  MM 1013.6  26.1  29.5  25.1   MM +1.5    MM
2023 09 28 01 00 160  6.2  6.2    MM    MM    MM  MM 1013.1  27.0  29.6  25.9   MM +1.1    MM
2023 09 28 00 00 130  2.6  3.1    MM    MM    MM  MM 1012.4  27.3  29.7  25.3   MM +0.6    MM
2023 09 27 23 00 180  2.1  2.6    MM    MM    MM  MM 1012.1  27.7  29.7  25.2   MM +0.0    MM
