#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 20 30 130  3.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 20 20 140  2.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 19 30 130  2.6  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 19 20 160  1.0  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 18 30 170  2.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 18 20 160  1.5  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 17 30 150  1.5  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 17 20 140  2.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 16 30 140  3.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 16 20 160  2.6  5.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 15 30 150  2.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 15 20 150  2.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 14 30 160  1.5  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 14 20 140  3.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 13 30 110  2.1  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 13 20 120  1.5  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 12 20 100  2.6  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 11 30 120  1.5  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 11 20 120  2.1  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 10 30 110  2.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 10 20 120  2.1  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 09 30 160  2.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 09 20 160  2.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 08 30 140  2.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 08 20 140  1.0  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 07 30 140  1.0  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 07 20 110  2.1  2.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 06 30 120  2.1  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 06 20 120  2.1  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 05 30 120  2.6  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 04 30 110  3.1  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 04 20 110  2.6  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 03 30 110  3.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 03 20 100  3.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 01 30 120  2.6  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 01 20 110  2.6  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 00 30 120  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 28 00 20 100  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 23 30 100  3.6  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 23 20 100  5.1  6.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 22 30 100  4.6  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 22 20 100  4.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 21 30  90  2.6  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 21 20  90  2.6  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 20 30 120  2.6  5.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2023 09 27 20 20 110  4.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
