#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 39  80  1.5  3.6    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2023 09 28 21 28 150  1.0  2.6    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2023 09 28 21 18 190  1.5  4.1    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2023 09 28 21 08 120  1.5  4.1    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2023 09 28 20 59 110  1.5  3.6    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2023 09 28 20 49 110  1.5  3.6    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2023 09 28 20 38 140  1.5  3.6    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2023 09 28 20 28 230  1.5  5.1    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2023 09 28 20 19 160  1.5  3.6    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2023 09 28 20 08 130  1.5  2.6    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2023 09 28 19 58 100  1.5  5.1    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2023 09 28 19 49 140  1.0  2.6    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2023 09 28 19 38 120  1.5  2.6    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2023 09 28 19 28 130  1.5  3.1    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
2023 09 28 19 19 130  1.5  3.6    MM    MM    MM  MM     MM  11.1    MM    MM   MM   MM    MM
2023 09 28 19 07 110  1.0  3.1    MM    MM    MM  MM     MM  11.1    MM    MM   MM   MM    MM
2023 09 28 18 59 110  1.5  3.1    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
2023 09 28 18 48  90  1.5  3.1    MM    MM    MM  MM     MM  10.6    MM    MM   MM   MM    MM
2023 09 28 18 38 130  1.5  3.6    MM    MM    MM  MM     MM  10.6    MM    MM   MM   MM    MM
2023 09 28 18 28 220  2.6  5.1    MM    MM    MM  MM     MM  10.1    MM    MM   MM   MM    MM
2023 09 28 18 18 210  3.6  5.7    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2023 09 28 18 08 220  3.1  5.7    MM    MM    MM  MM     MM   9.8    MM    MM   MM   MM    MM
2023 09 28 17 57 200  3.1  6.2    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2023 09 28 17 49 180  2.1  4.1    MM    MM    MM  MM     MM   9.3    MM    MM   MM   MM    MM
2023 09 28 17 38 200  2.1  3.1    MM    MM    MM  MM     MM   9.1    MM    MM   MM   MM    MM
2023 09 28 17 29 190  1.0  2.6    MM    MM    MM  MM     MM   9.3    MM    MM   MM   MM    MM
2023 09 28 17 18  60  1.0  1.5    MM    MM    MM  MM     MM   8.9    MM    MM   MM   MM    MM
2023 09 28 17 09  40  1.0  1.5    MM    MM    MM  MM     MM   8.6    MM    MM   MM   MM    MM
2023 09 28 16 58  70  1.0  1.5    MM    MM    MM  MM     MM   8.0    MM    MM   MM   MM    MM
2023 09 28 16 49  40  1.5  2.1    MM    MM    MM  MM     MM   7.7    MM    MM   MM   MM    MM
2023 09 28 16 38  40  1.5  2.6    MM    MM    MM  MM     MM   7.4    MM    MM   MM   MM    MM
2023 09 28 16 28  30  1.5  2.1    MM    MM    MM  MM     MM   7.3    MM    MM   MM   MM    MM
2023 09 28 16 18  30  1.5  2.6    MM    MM    MM  MM     MM   7.2    MM    MM   MM   MM    MM
