#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 39 290  1.0  1.5    MM    MM    MM  MM 1016.0   6.8    MM   6.6   MM   MM    MM
2023 09 28 21 29 290  1.0  1.5    MM    MM    MM  MM 1016.0   6.7    MM   6.6   MM   MM    MM
2023 09 28 21 19 290  1.0  1.5    MM    MM    MM  MM 1016.0   6.7    MM   6.6   MM   MM    MM
2023 09 28 21 09 270  1.0  1.5    MM    MM    MM  MM 1016.1   6.7    MM   6.7   MM   MM    MM
2023 09 28 20 59 270  1.5  2.1    MM    MM    MM  MM 1016.0   6.6    MM   6.6   MM   MM    MM
2023 09 28 20 49 280  1.5  2.1    MM    MM    MM  MM 1016.0   6.6    MM   6.6   MM   MM    MM
2023 09 28 20 39 280  1.0  1.5    MM    MM    MM  MM 1016.0   6.9    MM   6.9   MM   MM    MM
2023 09 28 20 29 300  1.0  1.5    MM    MM    MM  MM 1016.0   6.5    MM   6.5   MM   MM    MM
2023 09 28 20 20 300  1.0  1.5    MM    MM    MM  MM 1016.0   6.5    MM   6.5   MM   MM    MM
2023 09 28 20 09 300  1.5  2.6    MM    MM    MM  MM 1016.0   6.3    MM   6.3   MM   MM    MM
2023 09 28 19 59 290  1.5  2.6    MM    MM    MM  MM 1016.0   6.4    MM   6.4   MM   MM    MM
2023 09 28 19 49 280  1.5  2.1    MM    MM    MM  MM 1015.9   6.6    MM   6.6   MM   MM    MM
2023 09 28 19 39 270  1.5  2.1    MM    MM    MM  MM 1015.9   6.7    MM   6.7   MM   MM    MM
2023 09 28 19 29 280  0.5  1.5    MM    MM    MM  MM 1015.9   7.0    MM   7.0   MM   MM    MM
2023 09 28 19 19 260  1.0  1.5    MM    MM    MM  MM 1015.8   6.9    MM   6.9   MM   MM    MM
2023 09 28 19 08 250  1.0  2.6    MM    MM    MM  MM 1015.8   6.7    MM   6.7   MM   MM    MM
2023 09 28 19 00 250  1.0  2.6    MM    MM    MM  MM 1015.8   6.7    MM   6.7   MM   MM    MM
2023 09 28 18 49 270  1.5  2.6    MM    MM    MM  MM 1015.7   6.8    MM   6.8   MM   MM    MM
2023 09 28 18 39 280  1.0  2.1    MM    MM    MM  MM 1015.6   6.8    MM   6.8   MM   MM    MM
2023 09 28 18 29 290  1.0  1.5    MM    MM    MM  MM 1015.6   6.8    MM   6.8   MM   MM    MM
2023 09 28 18 19 290  1.0  1.5    MM    MM    MM  MM 1015.5   6.8    MM   6.8   MM   MM    MM
2023 09 28 18 09 290  1.0  1.5    MM    MM    MM  MM 1015.5   6.7    MM   6.7   MM   MM    MM
2023 09 28 17 58 280  1.5  2.1    MM    MM    MM  MM 1015.5   6.6    MM   6.6   MM   MM    MM
2023 09 28 17 50 300  1.5  2.6    MM    MM    MM  MM 1015.4   6.8    MM   6.8   MM   MM    MM
2023 09 28 17 39 290  1.0  1.5    MM    MM    MM  MM 1015.4   6.8    MM   6.8   MM   MM    MM
2023 09 28 17 30 290  1.0  1.5    MM    MM    MM  MM 1015.4   6.8    MM   6.8   MM   MM    MM
2023 09 28 17 19 300  1.0  2.1    MM    MM    MM  MM 1015.5   6.7    MM   6.7   MM   MM    MM
2023 09 28 17 09 290  1.0  2.1    MM    MM    MM  MM 1015.5   6.8    MM   6.8   MM   MM    MM
2023 09 28 16 59 300  0.5  1.5    MM    MM    MM  MM 1015.4   6.9    MM   6.9   MM   MM    MM
2023 09 28 16 50 300  0.5  1.5    MM    MM    MM  MM 1015.4   6.9    MM   6.9   MM   MM    MM
2023 09 28 16 39 270  1.0  2.6    MM    MM    MM  MM 1015.4   6.8    MM   6.8   MM   MM    MM
2023 09 28 16 29 270  2.1  2.6    MM    MM    MM  MM 1015.4   6.9    MM   6.9   MM   MM    MM
2023 09 28 16 19 310  1.0  2.1    MM    MM    MM  MM 1015.3   7.1    MM   7.1   MM   MM    MM
2023 09 28 16 09 340  1.0  2.1    MM    MM    MM  MM 1015.2   7.3    MM   7.2   MM   MM    MM
2023 09 28 15 59 350  1.5  2.1    MM    MM    MM  MM 1015.2   7.3    MM   7.2   MM   MM    MM
2023 09 28 15 49 330  0.5  2.1    MM    MM    MM  MM 1015.1   7.4    MM   7.3   MM   MM    MM
2023 09 28 15 38  MM  0.0  1.0    MM    MM    MM  MM 1015.0   7.5    MM   7.4   MM   MM    MM
2023 09 28 15 29  60  1.0  2.1    MM    MM    MM  MM 1015.0   7.4    MM   7.3   MM   MM    MM
2023 09 28 15 19  40  1.0  2.1    MM    MM    MM  MM 1015.0   7.6    MM   7.3   MM   MM    MM
2023 09 28 15 09  90  0.5  1.0    MM    MM    MM  MM 1015.0   7.5    MM   7.2   MM   MM    MM
2023 09 28 14 59 120  1.0  1.5    MM    MM    MM  MM 1015.0   7.5    MM   7.2   MM   MM    MM
2023 09 28 14 49 140  1.0  1.5    MM    MM    MM  MM 1014.9   7.5    MM   7.2   MM   MM    MM
2023 09 28 14 29  80  1.0  1.5    MM    MM    MM  MM 1014.9   7.6    MM   7.3   MM   MM    MM
2023 09 28 14 19  80  1.0  1.5    MM    MM    MM  MM 1014.8   7.7    MM   7.4   MM   MM    MM
2023 09 28 14 08 130  1.5  2.1    MM    MM    MM  MM 1014.7   7.8    MM   7.4   MM   MM    MM
2023 09 28 13 59 120  1.0  1.0    MM    MM    MM  MM 1014.8   7.9    MM   7.5   MM   MM    MM
2023 09 28 13 49  80  1.0  1.5    MM    MM    MM  MM 1014.8   7.9    MM   7.5   MM   MM    MM
2023 09 28 13 40  80  1.0  1.5    MM    MM    MM  MM 1014.8   7.9    MM   7.5   MM   MM    MM
2023 09 28 13 29  70  1.0  1.5    MM    MM    MM  MM 1014.7   7.9    MM   7.6   MM   MM    MM
2023 09 28 13 19  80  1.0  1.5    MM    MM    MM  MM 1014.6   8.0    MM   7.7   MM   MM    MM
2023 09 28 13 09 110  1.0  2.1    MM    MM    MM  MM 1014.5   8.0    MM   7.7   MM   MM    MM
2023 09 28 12 59 130  1.0  1.5    MM    MM    MM  MM 1014.4   7.9    MM   7.6   MM   MM    MM
2023 09 28 12 48 180  1.0  1.5    MM    MM    MM  MM 1014.4   7.9    MM   7.7   MM   MM    MM
2023 09 28 12 39 190  0.5  1.0    MM    MM    MM  MM 1014.3   7.8    MM   7.7   MM   MM    MM
2023 09 28 12 29  MM  0.0  1.0    MM    MM    MM  MM 1014.2   7.9    MM   7.8   MM   MM    MM
2023 09 28 12 19  30  0.5  1.0    MM    MM    MM  MM 1014.1   7.9    MM   7.8   MM   MM    MM
2023 09 28 12 08  MM  0.0  1.0    MM    MM    MM  MM 1014.1   7.9    MM   7.8   MM   MM    MM
2023 09 28 11 59 160  1.0  1.0    MM    MM    MM  MM 1014.1   7.8    MM   7.7   MM   MM    MM
2023 09 28 11 49 200  1.0  1.5    MM    MM    MM  MM 1014.0   7.8    MM   7.7   MM   MM    MM
2023 09 28 11 39 200  0.5  1.5    MM    MM    MM  MM 1014.0   7.8    MM   7.7   MM   MM    MM
2023 09 28 11 29 190  1.0  1.5    MM    MM    MM  MM 1013.9   7.8    MM   7.7   MM   MM    MM
2023 09 28 11 18 180  1.0  1.5    MM    MM    MM  MM 1013.9   7.8    MM   7.7   MM   MM    MM
2023 09 28 11 09 180  1.0  1.5    MM    MM    MM  MM 1013.8   7.6    MM   7.6   MM   MM    MM
2023 09 28 10 59 170  1.0  1.5    MM    MM    MM  MM 1013.8   7.4    MM   7.3   MM   MM    MM
2023 09 28 10 48 130  0.5  1.5    MM    MM    MM  MM 1013.8   7.6    MM   7.5   MM   MM    MM
2023 09 28 10 39  MM  0.0  1.0    MM    MM    MM  MM 1013.7   7.7    MM   7.6   MM   MM    MM
2023 09 28 10 29 150  1.0  1.5    MM    MM    MM  MM 1013.7   7.6    MM   7.5   MM   MM    MM
2023 09 28 10 19 160  1.0  1.0    MM    MM    MM  MM 1013.6   7.8    MM   7.6   MM   MM    MM
