#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 35 220  3.6  7.7    MM    MM    MM  MM 1013.9   9.0    MM    MM   MM   MM    MM
2023 09 28 21 24 210  5.1  9.8    MM    MM    MM  MM 1013.9   8.8    MM    MM   MM   MM    MM
2023 09 28 21 14 220  5.7 10.8    MM    MM    MM  MM 1013.8   8.8    MM    MM   MM   MM    MM
2023 09 28 21 05 220  6.7 11.3    MM    MM    MM  MM 1013.8   8.6    MM    MM   MM   MM    MM
2023 09 28 20 55 220  7.2 11.3    MM    MM    MM  MM 1013.8   8.4    MM    MM   MM   MM    MM
2023 09 28 20 45 220  6.2 12.4    MM    MM    MM  MM 1013.8   8.4    MM    MM   MM   MM    MM
2023 09 28 20 35 220  7.2 12.9    MM    MM    MM  MM 1013.7   8.0    MM    MM   MM   MM    MM
2023 09 28 20 25 220  7.7 13.4    MM    MM    MM  MM 1013.6   7.9    MM    MM   MM   MM    MM
2023 09 28 20 15 220  6.7 12.9    MM    MM    MM  MM 1013.6   8.0    MM    MM   MM   MM    MM
2023 09 28 20 05 220  7.7 12.4    MM    MM    MM  MM 1013.5   8.0    MM    MM   MM   MM    MM
2023 09 28 19 55 210  7.7 12.4    MM    MM    MM  MM 1013.5   7.9    MM    MM   MM   MM    MM
2023 09 28 19 45 220  8.8 13.4    MM    MM    MM  MM 1013.5   7.9    MM    MM   MM   MM    MM
2023 09 28 19 34 220  8.8 14.4    MM    MM    MM  MM 1013.5   7.7    MM    MM   MM   MM    MM
2023 09 28 19 25 220  9.8 14.4    MM    MM    MM  MM 1013.4   7.5    MM    MM   MM   MM    MM
2023 09 28 19 13 220  9.8 13.9    MM    MM    MM  MM 1013.4   7.5    MM    MM   MM   MM    MM
2023 09 28 19 05 220 10.3 14.9    MM    MM    MM  MM 1013.3   7.5    MM    MM   MM   MM    MM
2023 09 28 18 54 220 10.3 14.9    MM    MM    MM  MM 1013.2   7.6    MM    MM   MM   MM    MM
2023 09 28 18 45 220  9.8 15.4    MM    MM    MM  MM 1013.0   7.5    MM    MM   MM   MM    MM
2023 09 28 18 35 220  9.3 12.9    MM    MM    MM  MM 1012.9   7.4    MM    MM   MM   MM    MM
2023 09 28 18 25 210 10.3 14.4    MM    MM    MM  MM 1012.8   7.1    MM    MM   MM   MM    MM
2023 09 28 18 14 220 10.3 14.9    MM    MM    MM  MM 1012.7   6.8    MM    MM   MM   MM    MM
2023 09 28 18 03 210 10.8 14.9    MM    MM    MM  MM 1012.7   6.8    MM    MM   MM   MM    MM
2023 09 28 17 54 210  9.8 14.4    MM    MM    MM  MM 1012.8   6.6    MM    MM   MM   MM    MM
2023 09 28 17 44 210  9.8 14.9    MM    MM    MM  MM 1012.7   6.5    MM    MM   MM   MM    MM
2023 09 28 17 35 210 10.3 15.4    MM    MM    MM  MM 1012.6   6.8    MM    MM   MM   MM    MM
2023 09 28 17 25 210 10.3 14.9    MM    MM    MM  MM 1012.6   6.9    MM    MM   MM   MM    MM
2023 09 28 17 15 210 10.3 14.9    MM    MM    MM  MM 1012.6   6.8    MM    MM   MM   MM    MM
2023 09 28 17 05 210  9.8 14.4    MM    MM    MM  MM 1012.5   6.6    MM    MM   MM   MM    MM
2023 09 28 16 55 210  9.3 14.4    MM    MM    MM  MM 1012.4   6.7    MM    MM   MM   MM    MM
2023 09 28 16 45 210  9.8 14.9    MM    MM    MM  MM 1012.3   6.9    MM    MM   MM   MM    MM
2023 09 28 16 35 210 10.3 15.4    MM    MM    MM  MM 1012.3   6.9    MM    MM   MM   MM    MM
2023 09 28 16 25 210 10.8 14.9    MM    MM    MM  MM 1012.2   6.7    MM    MM   MM   MM    MM
2023 09 28 16 15 210 10.3 14.4    MM    MM    MM  MM 1012.3   6.8    MM    MM   MM   MM    MM
2023 09 28 16 05 200 10.8 14.9    MM    MM    MM  MM 1012.1   6.7    MM    MM   MM   MM    MM
2023 09 28 15 54 210 10.3 15.4    MM    MM    MM  MM 1012.1   6.6    MM    MM   MM   MM    MM
2023 09 28 15 44 210 10.8 16.5    MM    MM    MM  MM 1012.0   6.7    MM    MM   MM   MM    MM
2023 09 28 15 34 210 10.8 15.4    MM    MM    MM  MM 1011.9   6.8    MM    MM   MM   MM    MM
2023 09 28 15 25 210 10.8 15.4    MM    MM    MM  MM 1011.8   7.0    MM    MM   MM   MM    MM
2023 09 28 15 15 210 10.8 16.0    MM    MM    MM  MM 1011.6   7.0    MM    MM   MM   MM    MM
2023 09 28 15 05 210 10.3 16.0    MM    MM    MM  MM 1011.5   7.1    MM    MM   MM   MM    MM
2023 09 28 14 55 210 10.3 14.9    MM    MM    MM  MM 1011.4   7.2    MM    MM   MM   MM    MM
2023 09 28 14 45 210  9.8 16.0    MM    MM    MM  MM 1011.4   7.1    MM    MM   MM   MM    MM
2023 09 28 14 35 210 10.3 15.4    MM    MM    MM  MM 1011.3   7.1    MM    MM   MM   MM    MM
2023 09 28 14 25 210 10.3 15.4    MM    MM    MM  MM 1011.3   7.1    MM    MM   MM   MM    MM
2023 09 28 14 14 210 10.3 15.4    MM    MM    MM  MM 1011.3   7.0    MM    MM   MM   MM    MM
2023 09 28 14 04 210 11.3 16.5    MM    MM    MM  MM 1011.3   6.8    MM    MM   MM   MM    MM
2023 09 28 13 55 210 11.3 17.5    MM    MM    MM  MM 1011.2   6.7    MM    MM   MM   MM    MM
2023 09 28 13 45 210 11.3 15.4    MM    MM    MM  MM 1011.2   6.8    MM    MM   MM   MM    MM
2023 09 28 13 34 210 11.3 15.4    MM    MM    MM  MM 1011.2   6.9    MM    MM   MM   MM    MM
2023 09 28 13 24 210 11.3 16.5    MM    MM    MM  MM 1011.1   7.3    MM    MM   MM   MM    MM
2023 09 28 13 14 210 10.8 16.5    MM    MM    MM  MM 1011.0   7.2    MM    MM   MM   MM    MM
2023 09 28 13 05 210 10.8 17.5    MM    MM    MM  MM 1010.9   7.1    MM    MM   MM   MM    MM
2023 09 28 12 54 210 10.8 15.4    MM    MM    MM  MM 1010.9   7.2    MM    MM   MM   MM    MM
2023 09 28 12 44 210 10.8 15.4    MM    MM    MM  MM 1010.8   7.3    MM    MM   MM   MM    MM
2023 09 28 12 35 210 10.8 16.5    MM    MM    MM  MM 1010.7   7.2    MM    MM   MM   MM    MM
2023 09 28 12 25 210 10.8 16.0    MM    MM    MM  MM 1010.7   7.2    MM    MM   MM   MM    MM
2023 09 28 12 14 210 10.3 16.0    MM    MM    MM  MM 1010.6   7.1    MM    MM   MM   MM    MM
2023 09 28 12 04 200 10.8 16.0    MM    MM    MM  MM 1010.6   7.3    MM    MM   MM   MM    MM
2023 09 28 11 55 200 10.8 16.0    MM    MM    MM  MM 1010.5   7.4    MM    MM   MM   MM    MM
2023 09 28 11 44 210 10.8 14.9    MM    MM    MM  MM 1010.5   7.6    MM    MM   MM   MM    MM
2023 09 28 11 34 210 11.3 17.0    MM    MM    MM  MM 1010.4   7.6    MM    MM   MM   MM    MM
2023 09 28 11 24 200 10.8 15.4    MM    MM    MM  MM 1010.3   7.7    MM    MM   MM   MM    MM
2023 09 28 11 14 200 10.3 16.5    MM    MM    MM  MM 1010.3   7.7    MM    MM   MM   MM    MM
2023 09 28 11 05 200 10.3 15.4    MM    MM    MM  MM 1010.3   7.7    MM    MM   MM   MM    MM
2023 09 28 10 54 200  9.8 16.0    MM    MM    MM  MM 1010.3   7.9    MM    MM   MM   MM    MM
2023 09 28 10 44 210 10.3 13.9    MM    MM    MM  MM 1010.2   8.1    MM    MM   MM   MM    MM
2023 09 28 10 34 200  9.8 14.4    MM    MM    MM  MM 1010.1   8.4    MM    MM   MM   MM    MM
2023 09 28 10 25 200  9.8 14.4    MM    MM    MM  MM 1009.9   8.4    MM    MM   MM   MM    MM
2023 09 28 10 14 200  9.8 16.0    MM    MM    MM  MM 1009.9   8.4    MM    MM   MM   MM    MM
2023 09 28 10 04 200  8.8 13.9    MM    MM    MM  MM 1009.9   8.2    MM    MM   MM   MM    MM
2023 09 28 09 55 200  8.8 13.9    MM    MM    MM  MM 1009.8   8.4    MM    MM   MM   MM    MM
2023 09 28 09 45 200  9.3 13.4    MM    MM    MM  MM 1009.7   8.6    MM    MM   MM   MM    MM
2023 09 28 09 35 200  9.3 13.9    MM    MM    MM  MM 1009.5   8.6    MM    MM   MM   MM    MM
2023 09 28 09 25 200  9.3 13.4    MM    MM    MM  MM 1009.4   8.6    MM    MM   MM   MM    MM
2023 09 28 09 15 200  9.3 13.4    MM    MM    MM  MM 1009.2   8.7    MM    MM   MM   MM    MM
2023 09 28 09 03 200  9.3 14.4    MM    MM    MM  MM 1009.1   8.7    MM    MM   MM   MM    MM
2023 09 28 08 53 210  8.2 12.9    MM    MM    MM  MM 1009.0   8.8    MM    MM   MM   MM    MM
2023 09 28 08 46 210  8.8 13.9    MM    MM    MM  MM 1008.9   8.8    MM    MM   MM   MM    MM
2023 09 28 08 43 210  8.8 13.9    MM    MM    MM  MM 1008.9   8.8    MM    MM   MM   MM    MM
2023 09 28 08 15 200  7.7 14.4    MM    MM    MM  MM 1008.7   8.9    MM    MM   MM   MM    MM
2023 09 28 08 04 210  8.2 12.9    MM    MM    MM  MM 1008.6   8.9    MM    MM   MM   MM    MM
2023 09 28 07 54 210  7.7 13.4    MM    MM    MM  MM 1008.6   8.8    MM    MM   MM   MM    MM
2023 09 28 07 45 210  8.2 12.9    MM    MM    MM  MM 1008.4   8.8    MM    MM   MM   MM    MM
2023 09 28 07 34 210  8.2 12.9    MM    MM    MM  MM 1008.3   8.8    MM    MM   MM   MM    MM
2023 09 28 07 24 210  8.2 12.4    MM    MM    MM  MM 1008.2   8.9    MM    MM   MM   MM    MM
2023 09 28 07 14 210  8.2 12.4    MM    MM    MM  MM 1008.1   8.9    MM    MM   MM   MM    MM
