#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 00  50  2.1  2.6    MM    MM    MM  MM 1016.8  13.2    MM  11.6   MM -0.7    MM
2023 09 28 20 00  20  0.5  1.0    MM    MM    MM  MM 1017.1  11.8    MM  11.5   MM +0.0    MM
2023 09 28 19 00 180  3.6  4.1    MM    MM    MM  MM 1017.1  13.6    MM  13.4   MM +0.0    MM
2023 09 28 18 00 200  4.1  4.1    MM    MM    MM  MM 1017.5  13.3    MM  12.8   MM +0.5    MM
2023 09 28 17 00 200  5.1  5.7    MM    MM    MM  MM 1017.2  13.0    MM  13.0   MM +0.4    MM
2023 09 28 16 00 190  6.7  7.2    MM    MM    MM  MM 1017.0  13.0    MM  13.0   MM +0.0    MM
2023 09 28 15 00 180  7.2  8.2    MM    MM    MM  MM 1017.0  12.7    MM  12.7   MM -0.6    MM
2023 09 28 14 00 170  9.3 10.3    MM    MM    MM  MM 1016.8  12.7    MM  12.7   MM -1.1    MM
2023 09 28 13 00 180 10.3 10.8    MM    MM    MM  MM 1017.0  12.7    MM  12.7   MM -1.3    MM
2023 09 28 12 00 180  9.3 10.3    MM    MM    MM  MM 1017.6  12.5    MM  12.5   MM -1.1    MM
2023 09 28 11 00 190 10.3 11.3    MM    MM    MM  MM 1017.9  12.8    MM  12.8   MM -1.0    MM
2023 09 28 10 00 180  7.2  8.2    MM    MM    MM  MM 1018.3  13.1    MM  12.8   MM -0.5    MM
2023 09 28 09 00 190  7.7  8.2    MM    MM    MM  MM 1018.7  12.9    MM  12.7   MM +0.0    MM
2023 09 28 08 00 190  6.7  7.2    MM    MM    MM  MM 1018.9  13.3    MM  12.9   MM +0.0    MM
2023 09 28 07 00 180  7.2  8.2    MM    MM    MM  MM 1018.8  13.1    MM  13.1   MM +0.0    MM
