#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 03 13 04  90  7.7 10.3    MM    MM    MM  MM     MM   6.6    MM   3.6   MM   MM    MM
2023 09 03 12 54  90  7.7  9.8    MM    MM    MM  MM     MM   6.5    MM   3.5   MM   MM    MM
2023 09 03 12 44  90  7.2  9.3    MM    MM    MM  MM     MM   6.4    MM   3.5   MM   MM    MM
2023 09 03 12 34  90  7.2  9.8    MM    MM    MM  MM     MM   6.4    MM   3.4   MM   MM    MM
2023 09 03 12 24  90  7.2  9.8    MM    MM    MM  MM     MM   6.4    MM   3.4   MM   MM    MM
2023 09 03 12 14  90  7.2  9.8    MM    MM    MM  MM     MM   6.4    MM   3.4   MM   MM    MM
2023 09 03 12 04  90  7.2  9.8    MM    MM    MM  MM     MM   6.3    MM   3.5   MM   MM    MM
2023 09 03 11 54  90  7.2  9.3    MM    MM    MM  MM     MM   6.3    MM   3.5   MM   MM    MM
2023 09 03 11 44  90  6.7  9.3    MM    MM    MM  MM     MM   6.1    MM   3.5   MM   MM    MM
2023 09 03 11 34  90  6.2  9.3    MM    MM    MM  MM     MM   6.0    MM   3.5   MM   MM    MM
2023 09 03 11 24  90  6.7  8.8    MM    MM    MM  MM     MM   6.2    MM   3.7   MM   MM    MM
2023 09 03 11 14  90  6.7  8.8    MM    MM    MM  MM     MM   6.2    MM   3.7   MM   MM    MM
2023 09 03 11 04  90  6.2  8.8    MM    MM    MM  MM     MM   6.2    MM   3.7   MM   MM    MM
2023 09 03 10 54  90  6.7  8.2    MM    MM    MM  MM     MM   6.2    MM   3.9   MM   MM    MM
2023 09 03 10 44  90  6.2  8.8    MM    MM    MM  MM     MM   6.2    MM   3.9   MM   MM    MM
2023 09 03 10 34  90  5.7  7.2    MM    MM    MM  MM     MM   6.2    MM   3.9   MM   MM    MM
2023 09 03 10 24  90  5.7  7.7    MM    MM    MM  MM     MM   6.3    MM   3.9   MM   MM    MM
2023 09 03 10 17  90  5.7  9.8    MM    MM    MM  MM     MM   6.4    MM   3.9   MM   MM    MM
2023 09 03 10 04  90  7.2 10.8    MM    MM    MM  MM     MM   6.6    MM   4.1   MM   MM    MM
2023 09 03 09 54  90  6.7  9.3    MM    MM    MM  MM     MM   6.6    MM   4.1   MM   MM    MM
2023 09 03 09 44  90  7.2 10.3    MM    MM    MM  MM     MM   6.7    MM   4.2   MM   MM    MM
2023 09 03 09 34  90  7.7 10.3    MM    MM    MM  MM     MM   6.7    MM   4.2   MM   MM    MM
2023 09 03 09 24  90  7.7 10.8    MM    MM    MM  MM     MM   6.7    MM   4.2   MM   MM    MM
2023 09 03 09 14  90  8.2 10.8    MM    MM    MM  MM     MM   6.7    MM   4.2   MM   MM    MM
2023 09 03 09 04  90  7.7 10.8    MM    MM    MM  MM     MM   6.7    MM   4.2   MM   MM    MM
2023 09 03 08 54  90  8.2 10.8    MM    MM    MM  MM     MM   6.7    MM   4.2   MM   MM    MM
2023 09 03 08 44  90  7.7 12.4    MM    MM    MM  MM     MM   6.6    MM   4.1   MM   MM    MM
2023 09 03 08 34  90  7.7 11.8    MM    MM    MM  MM     MM   6.6    MM   3.9   MM   MM    MM
2023 09 03 08 24  90  7.2 10.8    MM    MM    MM  MM     MM   6.7    MM   4.0   MM   MM    MM
2023 09 03 08 14  90  8.2 13.4    MM    MM    MM  MM     MM   6.9    MM   4.0   MM   MM    MM
